Entity,Year,Aviation and shipping,Aviation and shipping (per capita),Buildings,Buildings (per capita),Electricity and heat,Electricity and heat (per capita),Energy,Energy (per capita),Fugitive emissions,Fugitive emissions (per capita),Industry,Industry (per capita),Land-use change and forestry,Land-use change and forestry (per capita),Manufacturing and construction,Manufacturing and construction (per capita),Other fuel combustion,Other fuel combustion (per capita),Total excluding LUCF,Total excluding LUCF (per capita),Total including LUCF,Total including LUCF (per capita),Transport,Transport (per capita)
Italy,1990,13.07,0.2291043630322879,66.98,1.1740941266949232,143.46,2.514713995456161,389.41,6.82597781242565,0.0,0.0,15.85,0.2778350538685358,-34.52,-0.6051019595925463,74.03,1.2976737563336094,8.88,0.1556577462683027,405.26,7.103812866294185,370.74,6.498710906701639,96.07,1.6840134779274598
Italy,1991,13.3,0.2329731445900526,73.06,1.2797757852443044,139.02,2.435182448188656,388.39,6.803341325363199,0.0,0.0,15.69,0.2748382435051072,-34.52,-0.6046791692668134,69.94,1.22512343854348,8.42,0.1474912689810709,404.07,7.07800440109042,369.55,6.473325231823607,97.93,1.715418048849914
Italy,1992,13.0,0.2274902429434801,68.15,1.1925738505075518,138.27,2.4196212224457696,385.84,6.751910410562491,0.0,0.0,16.43,0.2875126685816445,-34.52,-0.6040740912622259,67.79,1.1862741207029632,8.67,0.151718492793844,402.27,7.039423079144135,367.75,6.43534898788191,102.96,1.8017227241123623
Italy,1993,13.11,0.2292053811339319,67.77,1.1848397162049251,134.92,2.3588398186567585,382.86,6.693636325014279,0.0,0.0,14.07,0.2459892992032359,-34.52,-0.6035217205753877,65.81,1.150572550146763,9.51,0.1662656883740422,396.93,6.939625624217515,362.41,6.336103903642129,104.85,1.83311855163179
Italy,1994,13.03,0.2277433008949735,59.22,1.0350697067536707,137.5,2.403277350196382,378.5,6.615567105813313,0.0,0.0,13.79,0.2410268702487862,-34.52,-0.6033537027547572,67.52,1.1801402668018888,9.65,0.1686663740319642,392.29,6.856593976062099,357.76,6.253065489500055,104.61,1.8284134080294077
Italy,1995,13.62,0.2382184533878547,65.77,1.1503397708751248,150.06,2.6246006692644257,401.1,7.0153760391973945,0.0,0.0,15.31,0.2677771307906061,-34.52,-0.6037665940491002,68.52,1.198438210435815,9.87,0.1726296721687317,416.42,7.2833280734045855,381.89,6.6793865759389,106.89,1.8695426198698817
Italy,1996,12.46,0.2183466145961978,67.52,1.183207336880841,145.43,2.5484870112941453,398.16,6.977278336085243,0.0,0.0,13.99,0.2451580367737406,-34.52,-0.6049217605024678,66.9,1.1723425775670655,9.67,0.1694551976842081,412.15,7.222436372858983,377.63,6.617514612356515,108.66,1.904136688765879
Italy,1997,12.97,0.2279292079646303,65.02,1.1426335467895343,147.66,2.594913403859469,401.29,7.05209806199896,0.0,0.0,14.23,0.2500719066566453,-34.52,-0.6066396498796484,68.98,1.2122248855358673,9.37,0.1646643545588732,415.52,7.302169968655604,381.0,6.695530318775956,110.25,1.93748613555131
Italy,1998,14.24,0.2509571486262871,68.71,1.2109034889123729,151.55,2.6708255529714764,411.83,7.257842873508697,0.0,0.0,14.54,0.2562441672068972,-34.52,-0.6083596046755221,68.72,1.21107972286506,9.43,0.1661886173838404,426.37,7.514087040715594,391.85,6.905727436040073,113.42,1.9988454913759472
Italy,1999,12.48,0.2202782004238273,72.94,1.287427238695029,147.45,2.602565757411324,417.73,7.373142040308123,0.0,0.0,15.28,0.2696995915445577,-34.52,-0.6092951505312915,71.91,1.2692472269613315,9.17,0.1618550559203923,433.01,7.64284163185268,398.49,7.033546481321388,116.26,2.0520467613200446
