Entity,Year,Daily ICU occupancy,Daily ICU occupancy per million,Daily hospital occupancy,Daily hospital occupancy per million,Weekly new ICU admissions,Weekly new ICU admissions per million,Weekly new hospital admissions,Weekly new hospital admissions per million
Italy,34,26.0,0.431,127.0,2.104,,,,
Italy,35,35.0,0.58,150.0,2.485,,,,
Italy,36,36.0,0.596,164.0,2.717,,,1203.0,19.928
Italy,37,56.0,0.928,304.0,5.036,,,1429.0,23.672
Italy,38,64.0,1.06,409.0,6.775,,,1684.0,27.896
Italy,39,105.0,1.739,506.0,8.382,,,1952.0,32.335
Italy,40,140.0,2.319,779.0,12.904,,,2244.0,37.172
Italy,41,166.0,2.75,908.0,15.041,,,2721.0,45.074
Italy,42,229.0,3.793,1263.0,20.922,,,3270.0,54.168
Italy,43,295.0,4.887,1641.0,27.184,,,3911.0,64.787
Italy,44,351.0,5.814,2141.0,35.466,,,4689.0,77.674
Italy,45,462.0,7.653,2856.0,47.31,,,5537.0,91.722
Italy,46,567.0,9.392,3218.0,53.307,,,6365.0,105.438
Italy,47,650.0,10.767,4207.0,69.69,,,7084.0,117.348
Italy,48,733.0,12.142,5049.0,83.638,,,7875.0,130.451
Italy,49,877.0,14.528,5915.0,97.983,,,8645.0,143.206
Italy,50,1028.0,17.029,6866.0,113.737,,,9487.0,157.154
Italy,51,1153.0,19.1,7803.0,129.258,,,10297.0,170.572
Italy,52,1328.0,21.999,8754.0,145.012,,,11400.0,188.843
Italy,53,1518.0,25.146,9890.0,163.83,,,12194.0,201.996
Italy,54,1672.0,27.697,11335.0,187.767,,,12938.0,214.321
Italy,55,1851.0,30.662,12876.0,213.294,,,13967.0,231.366
Italy,56,2060.0,34.124,14954.0,247.716,,,15045.0,249.224
Italy,57,2257.0,37.388,16620.0,275.314,,,15992.0,264.911
Italy,58,2498.0,41.38,18255.0,302.398,,,16871.0,279.472
Italy,59,2655.0,43.981,18675.0,309.355,,,17401.0,288.251
Italy,60,2857.0,47.327,20565.0,340.664,,,17946.0,297.279
Italy,61,3009.0,49.845,22855.0,378.598,,,18237.0,302.1
Italy,62,3204.0,53.075,23896.0,395.842,,,18460.0,305.794
Italy,63,3396.0,56.255,25333.0,419.647,,,18415.0,305.048
Italy,64,3489.0,57.796,26601.0,440.651,,,18023.0,298.555
Italy,65,3612.0,59.834,28365.0,469.872,,,17358.0,287.539
Italy,66,3732.0,61.821,29761.0,492.997,,,16729.0,277.119
Italy,67,3856.0,63.875,30532.0,505.769,,,15933.0,263.934
Italy,68,3906.0,64.704,31292.0,518.359,,,15174.0,251.361
Italy,69,3981.0,65.946,31776.0,526.376,,,14141.0,234.249
Italy,70,4023.0,66.642,32215.0,533.648,,,13106.0,217.104
Italy,71,4035.0,66.841,32438.0,537.342,,,12293.0,203.636
Italy,72,4053.0,67.139,32593.0,539.91,,,11632.0,192.687
Italy,73,4068.0,67.387,32809.0,543.488,,,10661.0,176.602
Italy,74,3994.0,66.161,33004.0,546.718,,,9933.0,164.542
Italy,75,3977.0,65.88,32926.0,545.426,,,9332.0,154.587
Italy,76,3898.0,64.571,32874.0,544.565,,,8667.0,143.571
Italy,77,3792.0,62.815,32510.0,538.535,,,8097.0,134.129
Italy,78,3693.0,61.175,32178.0,533.035,,,7632.0,126.426
Italy,79,3605.0,59.718,32004.0,530.153,,,7166.0,118.706
Italy,80,3497.0,57.929,31739.0,525.763,,,6816.0,112.908
Italy,81,3381.0,56.007,31525.0,522.218,,,6613.0,109.546
Italy,82,3343.0,55.378,31190.0,516.669,,,6438.0,106.647
Italy,83,3260.0,54.003,31283.0,518.21,,,6048.0,100.186
Italy,84,3186.0,52.777,31197.0,516.785,,,5870.0,97.238
Italy,85,3079.0,51.004,30722.0,508.916,,,5529.0,91.589
Italy,86,2936.0,48.635,29829.0,494.124,,,5230.0,86.636
Italy,87,2812.0,46.581,28598.0,473.732,,,5025.0,83.24
Italy,88,2733.0,45.273,27740.0,459.519,,,4778.0,79.149
Italy,89,2635.0,43.649,27668.0,458.326,,,4582.0,75.902
Italy,90,2573.0,42.622,27479.0,455.195,,,4609.0,76.349
Italy,91,2471.0,40.933,26605.0,440.717,,,4359.0,72.208
Italy,92,2384.0,39.491,26189.0,433.826,,,4256.0,70.502
Italy,93,2267.0,37.553,25138.0,416.416,,,4136.0,68.514
Italy,94,2173.0,35.996,24241.0,401.557,,,3978.0,65.896
Italy,95,2102.0,34.82,23635.0,391.519,,,3834.0,63.511
Italy,96,2009.0,33.28,23381.0,387.311,,,3724.0,61.689
Italy,97,1956.0,32.402,22309.0,369.553,,,3497.0,57.929
Italy,98,1863.0,30.861,21586.0,357.577,,,3337.0,55.278
Italy,99,1795.0,29.735,21005.0,347.952,,,3151.0,52.197
Italy,100,1694.0,28.061,19843.0,328.704,,,2939.0,48.685
Italy,101,1578.0,26.14,19147.0,317.174,,,2664.0,44.13
Italy,102,1539.0,25.494,18896.0,313.016,,,2476.0,41.015
Italy,103,1501.0,24.864,18743.0,310.482,,,2301.0,38.117
Italy,104,1479.0,24.5,18302.0,303.177,,,2161.0,35.797
Italy,105,1427.0,23.639,17697.0,293.155,,,2015.0,33.379
Italy,106,1333.0,22.081,17102.0,283.298,,,1894.0,31.375
Italy,107,1311.0,21.717,16485.0,273.078,,,1803.0,29.867
Italy,108,1168.0,19.348,15804.0,261.797,,,1806.0,29.917
Italy,109,1034.0,17.128,14868.0,246.292,,,1733.0,28.708
Italy,110,1027.0,17.012,14645.0,242.598,,,1707.0,28.277
Italy,111,999.0,16.549,14538.0,240.825,,,1651.0,27.349
Italy,112,952.0,15.77,13817.0,228.882,,,1545.0,25.593
Italy,113,893.0,14.793,13065.0,216.425,,,1442.0,23.887
Italy,114,855.0,14.163,12308.0,203.885,,,1361.0,22.545
Italy,115,808.0,13.385,11600.0,192.156,,,1278.0,21.17
Italy,116,775.0,12.838,11175.0,185.116,,,1250.0,20.707
Italy,117,762.0,12.623,11073.0,183.427,,,1212.0,20.077
Italy,118,749.0,12.407,10956.0,181.488,,,1135.0,18.802
Italy,119,716.0,11.861,10707.0,177.364,,,1101.0,18.238
Italy,120,676.0,11.198,10300.0,170.622,,,1060.0,17.559
Italy,121,640.0,10.602,9909.0,164.145,,,980.0,16.234
Italy,122,595.0,9.856,9552.0,158.231,,,901.0,14.925
Italy,123,572.0,9.475,9267.0,153.51,,,856.0,14.18
Italy,124,553.0,9.161,9166.0,151.837,,,822.0,13.617
Italy,125,541.0,8.962,8726.0,144.548,,,810.0,13.418
Italy,126,521.0,8.63,8438.0,139.777,,,775.0,12.838
Italy,127,505.0,8.365,8234.0,136.398,,,736.0,12.192
