Entity,Year,"Cereals allocated to food (tonnes) (FAO, 2020)","Cereals allocated to animal feed (tonnes) (FAO, 2020)","Cereals allocated to other uses (tonnes) (FAO, 2020)","Share of cereals allocated to food (FAO, 2020)","Share of cereals allocated to animal feed (FAO, 2020)","Share of cereals allocated to other uses (FAO, 2020)"
Italy,1961,9042,6325.0,181.0,58.15538976,40.68047337,1.164136866
Italy,1962,9022,7155.0,195.0,55.10627901,43.70266308,1.191057904
Italy,1963,9067,8725.0,209.0,50.36942392,48.46952947,1.161046609
Italy,1964,9157,8186.0,226.0,52.12021174,46.59343161,1.286356651
Italy,1965,9297,9093.0,254.0,49.8659086,48.77172281,1.36236859
Italy,1966,9323,9338.0,273.0,49.2394634,49.31868596,1.441850639
Italy,1967,9578,9972.0,303.0,48.24459779,50.22918451,1.5262177
Italy,1968,9775,10065.0,187.0,48.8091077,50.25715284,0.933739452
Italy,1969,9787,10101.0,222.0,48.66732969,50.22874192,1.103928394
Italy,1970,10043,10490.0,297.0,48.21411426,50.36005761,1.425828133
Italy,1971,10199,10665.0,432.0,47.89162284,50.0798272,2.028549962
Italy,1972,9923,10741.0,356.0,47.2074215,51.09895338,1.693625119
Italy,1973,10376,11535.0,397.0,46.5124619,51.70790748,1.779630626
Italy,1974,9805,10261.0,379.0,47.95793593,50.1883101,1.853753974
Italy,1975,9970,10825.0,361.0,47.1261108,51.16751749,1.706371715
Italy,1976,9703,11088.0,378.0,45.83589211,52.37847796,1.785629931
Italy,1977,9788,11124.0,357.0,46.02002915,52.30147163,1.678499224
Italy,1978,10094,12110.0,294.0,44.86621033,53.82700685,1.306782825
Italy,1979,10600,11993.0,153.0,46.60160028,52.72575398,0.67264574
Italy,1980,10341,11335.0,269.0,47.12235133,51.65185692,1.225791752
Italy,1981,9906,11221.0,198.0,46.45252052,52.61899179,0.928487691
Italy,1982,8999,9754.0,345.0,47.12011729,51.07341083,1.806471882
Italy,1983,8668,11311.0,378.0,42.57994793,55.56319693,1.856855136
Italy,1984,9203,12556.0,426.0,41.482984,56.59679964,1.920216362
Italy,1985,8938,10634.0,435.0,44.67436397,53.15139701,2.174239016
Italy,1986,9196,11104.0,389.0,44.44874088,53.67103292,1.880226207
Italy,1987,9075,11231.0,304.0,44.03202329,54.49296458,1.47501213
Italy,1988,9074,10475.0,284.0,45.75202945,52.81601371,1.43195684
Italy,1989,9100,10309.0,219.0,46.36233951,52.52190748,1.115753006
Italy,1990,8946,9964.0,91.0,47.08173254,52.4393453,0.478922162
Italy,1991,9139,10792.0,148.0,45.5152149,53.7476966,0.7370885
Italy,1992,8845,11080.0,234.0,43.87618433,54.9630438,1.160771864
Italy,1993,8685,11649.0,150.0,42.39894552,56.86877563,0.732278852
Italy,1994,8604,10750.0,154.0,44.10498257,55.1055977,0.789419725
Italy,1995,9062,12009.0,105.0,42.79372875,56.7104269,0.495844352
Italy,1996,9097,13135.0,99.0,40.73709193,58.81957816,0.4433299
Italy,1997,9166,12385.0,103.0,42.32936178,57.19497552,0.475662695
Italy,1998,9197,12985.0,108.0,41.260655,58.25482279,0.484522207
Italy,1999,9266,13219.0,96.0,41.03449803,58.54036579,0.425136176
Italy,2000,9210,12940.0,122.0,41.35237069,58.09985632,0.547772989
Italy,2001,9321,13246.0,100.0,41.1214541,58.43737592,0.441169983
Italy,2002,9324,14044.0,198.0,39.56547569,59.59433082,0.840193499
Italy,2003,9336,12085.0,150.0,43.28033007,56.02429187,0.695378054
Italy,2004,9303,15666.0,314.0,36.79547522,61.96258355,1.241941225
Italy,2005,9177,13893.0,271.0,39.31708153,59.52187139,1.161047085
Italy,2006,9264,13786.0,215.0,39.81947131,59.25639372,0.924134967
Italy,2007,9312,14760.0,342.0,38.14204964,60.45711477,1.400835586
Italy,2008,9353,13983.0,398.0,39.40760091,58.9154799,1.676919188
Italy,2009,9526,11867.0,327.0,43.85819521,54.63627993,1.505524862
Italy,2010,9358,12983.0,417.0,41.11960629,57.04807101,1.8323227
Italy,2011,9414,14082.0,371.0,39.44358319,59.00196925,1.554447564
Italy,2012,9552,14452.0,375.0,39.18126256,59.28052832,1.538209114
Italy,2013,9647,14520.0,403.0,39.26332926,59.0964591,1.64021164
Italy,2014,9494,16007.0,383.0,36.67902952,61.84129192,1.479678566
Italy,2015,9807,13798.0,406.0,40.84377993,57.46532839,1.690891675
Italy,2016,9828,14211.0,430.0,40.16510687,58.07756753,1.757325596
Italy,2017,9765,14194.0,440.0,40.02213205,58.17451535,1.803352596
