Entity,Year,"Child mortality (Select Gapminder, v10) (2017)"
Italy,1863,448.816
Italy,1864,448.393
Italy,1865,447.97
Italy,1866,447.547
Italy,1867,447.125
Italy,1868,446.703
Italy,1869,446.282
Italy,1870,445.861
Italy,1871,445.44
Italy,1872,445.02
Italy,1873,409.89
Italy,1874,405.41
Italy,1875,404.24
Italy,1876,377.62
Italy,1877,366.56
Italy,1878,370.92
Italy,1879,373.24
Italy,1880,386.5
Italy,1881,385.78
Italy,1882,391.09
Italy,1883,374.88
Italy,1884,351.31
Italy,1885,356.51
Italy,1886,365.43
Italy,1887,358.65
Italy,1888,348.38
Italy,1889,329.13
Italy,1890,332.92
Italy,1891,336.4
Italy,1892,323.94
Italy,1893,316.53
Italy,1894,316.25
Italy,1895,322.33
Italy,1896,308.52
Italy,1897,282.36
Italy,1898,290.65
Italy,1899,272.93
Italy,1900,296.64
Italy,1901,277.03
Italy,1902,291.96
Italy,1903,280.02
Italy,1904,268.44
Italy,1905,273.03
Italy,1906,266.0
Italy,1907,254.74
Italy,1908,275.91
Italy,1909,261.48
Italy,1910,243.44
Italy,1911,260.11
Italy,1912,221.49
Italy,1913,228.94
Italy,1914,209.48
Italy,1915,245.7
Italy,1916,255.25
Italy,1917,233.48
Italy,1918,354.98
Italy,1919,242.93
Italy,1920,243.46
Italy,1921,219.9
Italy,1922,205.49
Italy,1923,198.21
Italy,1924,189.97
Italy,1925,192.12
Italy,1926,200.91
Italy,1927,185.65
Italy,1928,185.21
Italy,1929,185.87
Italy,1930,165.94
Italy,1931,164.782
Italy,1932,163.395
Italy,1933,149.794
Italy,1934,148.18
Italy,1935,150.513
Italy,1936,145.183
Italy,1937,161.39
Italy,1938,156.938
Italy,1939,140.217
Italy,1940,141.821
Italy,1941,152.836
Italy,1942,153.519
Italy,1943,156.856
Italy,1944,136.747
Italy,1945,141.153
Italy,1946,137.728
Italy,1947,112.038
Italy,1948,94.463
Italy,1949,93.241
Italy,1950,88.8
Italy,1951,81.6
Italy,1952,75.3
Italy,1953,69.8
Italy,1954,65.3
Italy,1955,61.9
Italy,1956,59.4
Italy,1957,57.5
Italy,1958,55.8
Italy,1959,53.9
Italy,1960,51.9
Italy,1961,49.8
Italy,1962,47.6
Italy,1963,45.4
Italy,1964,43.1
Italy,1965,41.1
Italy,1966,39.3
Italy,1967,37.8
Italy,1968,36.4
Italy,1969,35.1
Italy,1970,33.6
Italy,1971,31.8
Italy,1972,29.8
Italy,1973,27.6
Italy,1974,25.3
Italy,1975,23.1
Italy,1976,21.1
Italy,1977,19.5
Italy,1978,18.1
Italy,1979,17.0
Italy,1980,16.1
Italy,1981,15.2
Italy,1982,14.3
Italy,1983,13.5
Italy,1984,12.7
Italy,1985,12.0
Italy,1986,11.3
Italy,1987,10.8
Italy,1988,10.4
Italy,1989,10.0
Italy,1990,9.7
Italy,1991,9.3
Italy,1992,8.9
Italy,1993,8.5
Italy,1994,8.0
Italy,1995,7.5
Italy,1996,7.0
Italy,1997,6.6
Italy,1998,6.2
Italy,1999,5.9
Italy,2000,5.6
Italy,2001,5.3
Italy,2002,5.1
Italy,2003,4.8
Italy,2004,4.6
Italy,2005,4.5
Italy,2006,4.3
Italy,2007,4.2
Italy,2008,4.1
Italy,2009,4.1
Italy,2010,4.0
Italy,2011,3.9
Italy,2012,3.8
Italy,2013,3.7
Italy,2014,3.6
Italy,2015,3.4
Italy,2016,3.3
