Entity,Year,First 28 days (number of deaths),29 days - 1 year (number of deaths),1-4 years (number of deaths)
Italy,1961,21534,16984,6300
Italy,1962,21406,16162,5931
Italy,1963,21437,14991,5583
Italy,1964,21556,13601,5259
Italy,1965,21616,12189,4950
Italy,1966,21379,11097,4667
Italy,1967,20727,10520,4411
Italy,1968,19836,10228,4171
Italy,1969,19183,9609,3933
Italy,1970,18869,8481,3683
Italy,1971,18413,7213,3419
Italy,1972,17425,6182,3131
Italy,1973,16022,5357,2839
Italy,1974,14480,4613,2547
Italy,1975,12981,3918,2274
Italy,1976,11633,3290,2030
Italy,1977,10479,2762,1825
Italy,1978,9465,2377,1653
Italy,1979,8507,2165,1506
Italy,1980,7594,2087,1380
Italy,1981,6802,2019,1267
Italy,1982,6186,1863,1165
Italy,1983,5703,1656,1073
Italy,1984,5277,1473,991
Italy,1985,4880,1349,923
Italy,1986,4540,1252,866
Italy,1987,4272,1162,821
Italy,1988,4048,1094,786
Italy,1989,3828,1076,760
Italy,1990,3589,1106,741
Italy,1991,3341,1141,722
Italy,1992,3104,1137,696
Italy,1993,2888,1089,666
Italy,1994,2697,1012,633
Italy,1995,2529,922,599
Italy,1996,2375,836,564
Italy,1997,2231,764,530
Italy,1998,2095,711,499
Italy,1999,1965,682,472
Italy,2000,1846,671,448
Italy,2001,1745,663,427
Italy,2002,1671,642,409
Italy,2003,1615,616,393
Italy,2004,1563,599,380
Italy,2005,1510,592,370
Italy,2006,1459,592,362
Italy,2007,1418,584,356
Italy,2008,1382,570,350
Italy,2009,1343,550,343
Italy,2010,1297,527,335
Italy,2011,1247,503,324
Italy,2012,1196,479,313
Italy,2013,1145,460,301
Italy,2014,1094,448,289
Italy,2015,1044,443,277
Italy,2016,999,437,267
Italy,2017,959,430,257
