Entity,Year,Child mortality (Gapminder (2013))
Italy,1800,457.41
Italy,1801,457.41
Italy,1802,457.41
Italy,1803,457.41
Italy,1804,457.41
Italy,1805,456.05
Italy,1806,456.05
Italy,1807,456.05
Italy,1808,456.05
Italy,1809,456.05
Italy,1810,456.05
Italy,1811,456.05
Italy,1812,456.05
Italy,1813,456.05
Italy,1814,456.05
Italy,1815,454.69
Italy,1816,454.69
Italy,1817,454.69
Italy,1818,454.69
Italy,1819,454.69
Italy,1820,454.69
Italy,1821,454.69
Italy,1822,454.69
Italy,1823,454.69
Italy,1824,454.69
Italy,1825,454.69
Italy,1826,453.33
Italy,1827,453.33
Italy,1828,453.33
Italy,1829,453.33
Italy,1830,453.33
Italy,1831,453.33
Italy,1832,453.33
Italy,1833,453.33
Italy,1834,453.33
Italy,1835,453.33
Italy,1836,451.96
Italy,1837,451.96
Italy,1838,451.96
Italy,1839,451.96
Italy,1840,451.96
Italy,1841,451.96
Italy,1842,451.96
Italy,1843,451.96
Italy,1844,451.96
Italy,1845,451.96
Italy,1846,451.96
Italy,1847,450.6
Italy,1848,450.6
Italy,1849,450.6
Italy,1850,450.6
Italy,1851,450.6
Italy,1852,450.6
Italy,1853,450.6
Italy,1854,450.6
Italy,1855,450.6
Italy,1856,450.6
Italy,1857,450.6
Italy,1858,449.24
Italy,1859,449.24
Italy,1860,449.24
Italy,1861,449.24
Italy,1862,449.24
Italy,1872,445.02
Italy,1873,409.89
Italy,1874,405.41
Italy,1875,404.24
Italy,1876,377.62
Italy,1877,366.56
Italy,1878,370.92
Italy,1879,373.24
Italy,1880,386.5
Italy,1881,385.78
Italy,1882,391.09
Italy,1883,374.88
Italy,1884,351.31
Italy,1885,356.51
Italy,1886,365.43
Italy,1887,358.65
Italy,1888,348.38
Italy,1889,329.13
Italy,1890,332.92
Italy,1891,336.4
Italy,1892,323.94
Italy,1893,316.53
Italy,1894,316.25
Italy,1895,322.33
Italy,1896,308.52
Italy,1897,282.36
Italy,1898,290.65
Italy,1899,272.93
Italy,1900,296.64
Italy,1901,277.03
Italy,1902,291.96
Italy,1903,280.02
Italy,1904,268.44
Italy,1905,273.03
Italy,1906,266.0
Italy,1907,254.74
Italy,1908,275.91
Italy,1909,261.48
Italy,1910,243.44
Italy,1911,260.11
Italy,1912,221.49
Italy,1913,228.94
Italy,1914,209.48
Italy,1915,245.7
Italy,1916,255.25
Italy,1917,233.48
Italy,1918,354.98
Italy,1919,242.93
Italy,1920,243.46
Italy,1921,219.9
Italy,1922,205.49
Italy,1923,198.21
Italy,1924,189.97
Italy,1925,192.12
Italy,1926,200.91
Italy,1927,185.65
Italy,1928,185.21
Italy,1929,185.87
Italy,1930,165.94
Italy,1931,164.81
Italy,1932,163.45
Italy,1933,149.87
Italy,1934,148.28
Italy,1935,150.64
Italy,1936,145.33
Italy,1937,161.58
Italy,1938,157.15
Italy,1939,140.43
Italy,1940,142.06
Italy,1941,153.12
Italy,1942,153.83
Italy,1943,157.2
Italy,1944,137.07
Italy,1945,141.51
Italy,1946,138.1
Italy,1947,112.36
Italy,1948,94.75
Italy,1949,93.54
Italy,1950,89.1
Italy,1951,81.8
Italy,1952,75.4
Italy,1953,69.8
Italy,1954,65.1
Italy,1955,61.7
Italy,1956,59.4
Italy,1957,57.5
Italy,1958,55.8
Italy,1959,53.9
Italy,1960,52.0
Italy,1961,49.9
Italy,1962,47.7
Italy,1963,45.4
Italy,1964,43.1
Italy,1965,41.0
Italy,1966,39.3
Italy,1967,37.8
Italy,1968,36.4
Italy,1969,35.1
Italy,1970,33.6
Italy,1971,31.9
Italy,1972,29.9
Italy,1973,27.6
Italy,1974,25.3
Italy,1975,23.0
Italy,1976,21.1
Italy,1977,19.5
Italy,1978,18.1
Italy,1979,17.0
Italy,1980,16.1
Italy,1981,15.2
Italy,1982,14.4
Italy,1983,13.5
Italy,1984,12.7
Italy,1985,12.0
Italy,1986,11.3
Italy,1987,10.8
Italy,1988,10.4
Italy,1989,10.0
Italy,1990,9.6
Italy,1991,9.3
Italy,1992,8.9
Italy,1993,8.5
Italy,1994,8.0
Italy,1995,7.5
Italy,1996,7.0
Italy,1997,6.6
Italy,1998,6.2
Italy,1999,5.9
Italy,2000,5.5
Italy,2001,5.2
Italy,2002,5.0
Italy,2003,4.7
Italy,2004,4.5
Italy,2005,4.4
Italy,2006,4.3
Italy,2007,4.2
Italy,2008,4.1
Italy,2009,4.1
Italy,2010,4.0
Italy,2011,3.9
Italy,2012,3.7
Italy,2013,3.6
