Entity,Year,Children that survived past 5 years of age per woman (based on Gapminder (2017))
Italy,1872,2.7138522
Italy,1873,2.8797368
Italy,1874,2.9075451
Italy,1875,2.919224
Italy,1876,3.049662
Italy,1877,3.1101904
Italy,1878,3.0950736
Italy,1879,3.102462
Italy,1880,3.05523
Italy,1881,3.0711
Italy,1882,3.0628173
Italy,1883,3.1631072
Italy,1884,3.2758845
Italy,1885,3.2431896
Italy,1886,3.1982328
Italy,1887,3.2259905
Italy,1888,3.2711324
Italy,1889,3.3409326
Italy,1890,3.302046
Italy,1891,3.258276
Italy,1892,3.2991728
Italy,1893,3.3079948
Italy,1894,3.2751625
Italy,1895,3.2121558
Italy,1896,3.2430412
Italy,1897,3.3298496
Italy,1898,3.2559165
Italy,1899,3.3154392
Italy,1900,3.1862208
Italy,1901,3.2461353
Italy,1902,3.1578584
Italy,1903,3.1895114
Italy,1904,3.2481264
Italy,1905,3.2350165
Italy,1906,3.2663
Italy,1907,3.3238596
Italy,1908,3.2366823
Italy,1909,3.2716436
Italy,1910,3.3212984
Italy,1911,3.2259204
Italy,1912,3.3631632
Italy,1913,3.3001368
Italy,1914,3.1937008
Italy,1915,2.86634
Italy,1916,2.65131
Italy,1917,2.5448464
Italy,1918,1.9866616
Italy,1919,2.4529068
Italy,1920,2.5798014
Italy,1921,2.784957
Italy,1922,2.9714674
Italy,1923,3.126981
Italy,1924,3.0862143
Italy,1925,3.0053136
Italy,1926,2.9086876
Italy,1927,2.8909425
Italy,1928,2.8191734
Italy,1929,2.7843246
Italy,1930,2.8191228
Italy,1931,2.68104978
Italy,1932,2.5600113
Italy,1933,2.58462624
Italy,1934,2.55546
Italy,1935,2.53147126
Italy,1936,2.45332479
Italy,1937,2.4571273
Italy,1938,2.5713391
Italy,1939,2.63953381
Italy,1940,2.63460953
Italy,1941,2.32122936
Italy,1942,2.27703389
Italy,1943,2.20060584
Italy,1944,2.06317467
Italy,1945,2.03546739
Italy,1946,2.59543872
Italy,1947,2.5750898
Italy,1948,2.57172508
Italy,1949,2.38477617
Italy,1950,2.23244
Italy,1951,2.222528
Italy,1952,2.191539
Italy,1953,2.158064
Italy,1954,2.140463
Italy,1955,2.138868
Italy,1956,2.144568
Italy,1957,2.158325
Italy,1958,2.190544
Italy,1959,2.223335
Italy,1960,2.265959
Italy,1961,2.308986
Italy,1962,2.352428
Italy,1963,2.3865
Italy,1964,2.411388
Italy,1965,2.426017
Italy,1966,2.430571
Italy,1967,2.424744
Italy,1968,2.409
Italy,1969,2.392952
Italy,1970,2.358016
Italy,1971,2.32368
Italy,1972,2.27997
Italy,1973,2.217072
Italy,1974,2.14434
Italy,1975,2.071028
Italy,1976,1.987167
Italy,1977,1.90217
Italy,1978,1.816515
Italy,1979,1.73008
Italy,1980,1.662791
Italy,1981,1.595376
Italy,1982,1.527835
Italy,1983,1.47975
Italy,1984,1.431585
Italy,1985,1.40296
Italy,1986,1.364406
Italy,1987,1.345312
Italy,1988,1.326064
Italy,1989,1.3068
Italy,1990,1.28739
Italy,1991,1.278003
Italy,1992,1.258697
Italy,1993,1.24929
Italy,1994,1.24
Italy,1995,1.2307
Italy,1996,1.22139
Italy,1997,1.221882
Italy,1998,1.222374
Italy,1999,1.232684
Italy,2000,1.243
Italy,2001,1.263269
Italy,2002,1.283421
Italy,2003,1.303712
Italy,2004,1.333836
Italy,2005,1.35388
Italy,2006,1.374066
Italy,2007,1.39412
Italy,2008,1.404219
Italy,2009,1.414178
Italy,2010,1.42428
Italy,2011,1.424423
Italy,2012,1.424566
Italy,2013,1.434672
Italy,2014,1.44478
Italy,2015,1.455036
Italy,2016,1.465149
