Entity,Year,Coal production (The SHIFT Project)
Italy,1900,1.170350172
Italy,1901,1.038685777
Italy,1902,1.020832564
Italy,1903,0.863173956
Italy,1904,0.664065447
Italy,1905,1.018394335
Italy,1906,1.176093647
Italy,1907,1.133031827
Italy,1908,1.179317483
Italy,1909,1.364622927
Italy,1910,1.387393304
Italy,1911,1.377640386
Italy,1912,1.630389945
Italy,1913,1.707586978
Italy,1914,1.90508357
Italy,1915,2.362766524
Italy,1916,3.282927481
Italy,1917,4.406491325
Italy,1918,5.422243905
Italy,1919,2.933515757
Italy,1920,5.070328824
Italy,1921,3.437012189
Italy,1922,3.418605388
Italy,1923,3.754796127
Italy,1924,3.277078172
Italy,1925,4.240207328
Italy,1926,4.607838609
Italy,1927,1.436784752
Italy,1928,2.758561595
Italy,1929,3.724576735
Italy,1930,3.289867683
Italy,1931,2.811229795
Italy,1932,2.995167551
Italy,1933,3.655374164
Italy,1934,4.47344291
Italy,1935,5.567031591
Italy,1936,9.722963286
Italy,1937,12.9398754
Italy,1938,15.31346945
Italy,1939,21.38066373
Italy,1940,26.89456309
Italy,1941,27.40078269
Italy,1942,29.16049649
Italy,1943,16.70485592
Italy,1944,7.301874638
Italy,1945,9.769704838
Italy,1946,13.43341132
Italy,1947,15.5482681
Italy,1948,10.11803788
Italy,1949,11.09185617
Italy,1950,10.29762834
Italy,1951,11.64375085
Italy,1952,10.94535887
Italy,1953,11.05564907
Italy,1954,10.3136539
Italy,1955,10.26165326
Italy,1956,9.752901814
Italy,1957,9.297046514
Italy,1958,7.920252792
Italy,1959,8.995715538
Italy,1960,7.935871301
Italy,1961,9.758922084
Italy,1962,9.97200869
Italy,1963,8.101247577
Italy,1964,6.767601155
Italy,1965,5.819642753
Italy,1966,6.026473001
Italy,1967,8.704353215
Italy,1968,7.187163876
Italy,1969,7.179820694
Italy,1970,5.997983572
Italy,1971,7.46283035
Italy,1972,4.643638657
Italy,1973,5.285336707
Italy,1974,4.787897179
Italy,1975,5.014652524
Italy,1976,4.952870475
Italy,1977,4.504236242
Italy,1978,4.554612751
Italy,1979,3.442780088
Italy,1980,3.419198142
Italy,1981,3.229242709
Italy,1982,5.052287403
Italy,1983,4.6433555
Italy,1984,4.739652378
Italy,1985,5.103733673
Italy,1986,2.738524452
Italy,1987,2.62244055
Italy,1988,2.902097185
Italy,1989,3.12635016
Italy,1990,2.904735471
Italy,1991,2.61848316
Italy,1992,2.615844876
Italy,1993,1.701684273
Italy,1994,0.686196695
Italy,1995,0.420799806
Italy,1996,0.167515712
Italy,1997,0.277315121
Italy,1998,0.242650739
Italy,1999,0.147644631
Italy,2000,0.01797413
Italy,2001,0.980054327
Italy,2002,1.146563904
Italy,2003,1.758533611
Italy,2004,0.689345155
Italy,2005,0.668242777
Italy,2006,0.147716833
Italy,2007,1.111393211
Italy,2008,0.822993736
Italy,2009,0.506457693
Italy,2010,0.710447596
Italy,2011,0.6471404
Italy,2012,0.56272938
Italy,2013,0.56272938
Italy,2014,0.56272938
