Entity,Year,Iron and steel production (Correlates of War: National Material Capabilities (v4.0)),"Military expenditure (1816-1913, current prices) (Correlates of War: National Material Capabilities (v4.0))","Military expenditure (1914-2007, current prices) (Correlates of War: National Material Capabilities (v4.0))",Military personnel (Correlates of War: National Material Capabilities (v4.0))
Italy,1816,,836.0,,19.0
Italy,1817,,859.0,,39.0
Italy,1818,,867.0,,39.0
Italy,1819,,893.0,,39.0
Italy,1820,,908.0,,41.0
Italy,1821,10.0,931.0,,43.0
Italy,1822,10.0,967.0,,56.0
Italy,1823,10.0,983.0,,19.0
Italy,1824,10.0,1004.0,,27.0
Italy,1825,10.0,1024.0,,27.0
Italy,1826,10.0,1046.0,,27.0
Italy,1827,10.0,1067.0,,27.0
Italy,1828,10.0,1082.0,,31.0
Italy,1829,10.0,1109.0,,31.0
Italy,1830,10.0,1124.0,,31.0
Italy,1831,10.0,1468.0,,31.0
Italy,1832,10.0,1327.0,,31.0
Italy,1833,10.0,1238.0,,31.0
Italy,1834,10.0,1325.0,,31.0
Italy,1835,10.0,1247.0,,38.0
Italy,1836,10.0,1148.0,,38.0
Italy,1837,10.0,1138.0,,38.0
Italy,1838,10.0,1143.0,,38.0
Italy,1839,20.0,1171.0,,35.0
Italy,1840,20.0,1322.0,,38.0
Italy,1841,20.0,1228.0,,35.0
Italy,1842,20.0,1161.0,,31.0
Italy,1843,20.0,1129.0,,28.0
Italy,1844,20.0,1245.0,,28.0
Italy,1845,20.0,1241.0,,28.0
Italy,1846,20.0,1290.0,,32.0
Italy,1847,20.0,1270.0,,36.0
Italy,1848,20.0,3985.0,,70.0
Italy,1849,20.0,3646.0,,70.0
Italy,1850,20.0,1612.0,,41.0
Italy,1851,20.0,1538.0,,55.0
Italy,1852,20.0,1490.0,,55.0
Italy,1853,20.0,1444.0,,51.0
Italy,1854,20.0,1448.0,,51.0
Italy,1855,20.0,2241.0,,53.0
Italy,1856,20.0,2564.0,,52.0
Italy,1857,20.0,1665.0,,51.0
Italy,1858,20.0,1641.0,,51.0
Italy,1859,20.0,5716.0,,53.0
Italy,1860,20.0,10808.0,,184.0
Italy,1861,27.0,11509.0,,201.0
Italy,1862,29.0,14639.0,,185.0
Italy,1863,24.0,12828.0,,275.0
Italy,1864,21.0,12750.0,,365.0
Italy,1865,17.0,9102.0,,209.0
Italy,1866,20.0,22345.0,,233.0
Italy,1867,22.0,7084.0,,394.0
Italy,1868,18.0,6786.0,,294.0
Italy,1869,20.0,6746.0,,204.0
Italy,1870,20.0,8053.0,,174.0
Italy,1871,17.0,6531.0,,353.0
Italy,1872,24.0,7052.0,,175.0
Italy,1873,29.0,8055.0,,161.0
Italy,1874,29.0,7198.0,,177.0
Italy,1875,28.0,7677.0,,179.0
Italy,1876,19.0,8066.0,,156.0
Italy,1877,16.0,8933.0,,152.0
Italy,1878,19.0,8909.0,,203.0
Italy,1879,12.0,8073.0,,167.0
