Entity,Year,"Crude marriage rate (per 1,000 inhabitants)"
Italy,1960,7.7
Italy,1961,7.9
Italy,1962,8.0
Italy,1963,8.2
Italy,1964,8.1
Italy,1965,7.7
Italy,1966,7.3
Italy,1967,7.2
Italy,1968,7.0
Italy,1969,7.2
Italy,1970,7.3
Italy,1971,7.5
Italy,1972,7.7
Italy,1973,7.6
Italy,1974,7.3
Italy,1975,6.7
Italy,1976,6.4
Italy,1977,6.2
Italy,1978,5.9
Italy,1979,5.8
Italy,1980,5.7
Italy,1981,5.6
Italy,1982,5.5
Italy,1983,5.4
Italy,1984,5.3
Italy,1985,5.3
Italy,1986,5.3
Italy,1987,5.4
Italy,1988,5.6
Italy,1989,5.7
Italy,1990,5.6
Italy,1991,5.5
Italy,1992,5.5
Italy,1993,5.3
Italy,1994,5.1
Italy,1995,5.1
Italy,1996,4.9
Italy,1997,4.9
Italy,1998,4.9
Italy,1999,4.9
Italy,2000,5.0
Italy,2001,4.6
Italy,2002,4.7
Italy,2003,4.6
Italy,2004,4.3
Italy,2005,4.3
Italy,2006,4.2
Italy,2007,4.3
Italy,2008,4.2
Italy,2009,3.9
Italy,2010,3.7
Italy,2011,3.4
Italy,2012,3.5
Italy,2013,3.2
Italy,2014,3.1
Italy,2015,3.2
Italy,2016,3.4
Italy,2017,3.2
