Entity,Year,Daily fat supply (FAO (2017))
Italy,1961,77.17
Italy,1962,85.61
Italy,1963,89.71
Italy,1964,87.23
Italy,1965,90.88
Italy,1966,91.92
Italy,1967,97.86
Italy,1968,100.0
Italy,1969,102.93
Italy,1970,112.43
Italy,1971,113.54
Italy,1972,117.06
Italy,1973,116.94
Italy,1974,117.22
Italy,1975,115.34
Italy,1976,115.43
Italy,1977,110.82
Italy,1978,125.08
Italy,1979,128.93
Italy,1980,129.31
Italy,1981,128.95
Italy,1982,128.83
Italy,1983,130.44
Italy,1984,131.31
Italy,1985,137.47
Italy,1986,142.7
Italy,1987,147.21
Italy,1988,147.58
Italy,1989,148.17
Italy,1990,150.81
Italy,1991,152.36
Italy,1992,144.77
Italy,1993,144.4
Italy,1994,147.07
Italy,1995,146.75
Italy,1996,148.71
Italy,1997,149.75
Italy,1998,156.85
Italy,1999,159.16
Italy,2000,153.68
Italy,2001,155.24
Italy,2002,155.36
Italy,2003,152.49
Italy,2004,150.1
Italy,2005,147.86
Italy,2006,156.45
Italy,2007,156.4
Italy,2008,155.89
Italy,2009,152.73
Italy,2010,156.5
Italy,2011,157.54
Italy,2012,157.9
Italy,2013,154.74
