Entity,Year,Daily caloric supply (OWID based on UN FAO & historical sources)
Italy,1870,2647.0
Italy,1880,2197.0
Italy,1890,2119.0
Italy,1910,2617.0
Italy,1930,2627.0
Italy,1947,2249.0
Italy,1948,2398.0
Italy,1961,2958.0
Italy,1962,3021.0
Italy,1963,3092.0
Italy,1964,3086.0
Italy,1965,3131.0
Italy,1966,3157.0
Italy,1967,3234.0
Italy,1968,3298.0
Italy,1969,3340.0
Italy,1970,3463.0
Italy,1971,3445.0
Italy,1972,3487.0
Italy,1973,3572.0
Italy,1974,3482.0
Italy,1975,3393.0
Italy,1976,3388.0
Italy,1977,3326.0
Italy,1978,3504.0
Italy,1979,3610.0
Italy,1980,3603.0
Italy,1981,3512.0
Italy,1982,3393.0
Italy,1983,3359.0
Italy,1984,3407.0
Italy,1985,3414.0
Italy,1986,3495.0
Italy,1987,3524.0
Italy,1988,3537.0
Italy,1989,3555.0
Italy,1990,3587.0
Italy,1991,3648.0
Italy,1992,3543.0
Italy,1993,3473.0
Italy,1994,3489.0
Italy,1995,3508.0
Italy,1996,3567.0
Italy,1997,3582.0
Italy,1998,3674.0
Italy,1999,3695.0
Italy,2000,3668.0
Italy,2001,3671.0
Italy,2002,3661.0
Italy,2003,3621.0
Italy,2004,3626.0
Italy,2005,3567.0
Italy,2006,3625.0
Italy,2007,3618.0
Italy,2008,3595.0
Italy,2009,3599.0
Italy,2010,3583.0
Italy,2011,3575.0
Italy,2012,3575.0
Italy,2013,3579.0
Italy,2014,3487.0
Italy,2015,3483.0
Italy,2016,3472.0
Italy,2017,3477.0
Italy,2018,3503.0
