Entity,Year,democracy_satisf_claassen,democracy_satisf_high_claassen,democracy_satisf_low_claassen
Italy,1973,-1.3372816,-0.66166079,-2.1621275
Italy,1974,-1.5245053,-0.77307302,-2.4688976
Italy,1975,-1.7139997,-0.94268227,-2.7164176
Italy,1976,-1.9038116,-1.1645025,-2.9441683
Italy,1977,-1.8954921,-1.1515096,-2.9123962
Italy,1978,-1.7873225,-1.0550658,-2.780632
Italy,1979,-1.790044,-1.0574874,-2.7299235
Italy,1980,-1.7420322,-1.0298336,-2.6859956
Italy,1981,-1.7151524,-1.0008067,-2.7023501
Italy,1982,-1.6688837,-0.95077908,-2.6304176
Italy,1983,-1.6163124,-0.93244773,-2.536428
Italy,1984,-1.473622,-0.81036651,-2.3538458
Italy,1985,-1.3331718,-0.680722,-2.1560497
Italy,1986,-1.2737993,-0.61689621,-2.0874231
Italy,1987,-1.2493602,-0.6076827,-2.0744195
Italy,1988,-1.2552067,-0.61134505,-2.0489058
Italy,1989,-1.2970278,-0.63910812,-2.1470771
Italy,1990,-1.4064642,-0.74521315,-2.2916267
Italy,1991,-1.5402535,-0.87206465,-2.4440219
Italy,1992,-1.8031305,-1.0800232,-2.8065059
Italy,1993,-1.8750529,-1.1434666,-2.8846052
Italy,1994,-1.7009625,-0.99293524,-2.692786
Italy,1995,-1.6108131,-0.90805882,-2.559504
Italy,1996,-1.4364955,-0.73115045,-2.3634722
Italy,1997,-1.2610683,-0.61944914,-2.0763843
Italy,1998,-1.107253,-0.49844453,-1.9026251
Italy,1999,-0.93180454,-0.35234237,-1.630066
Italy,2000,-0.81884736,-0.23171702,-1.5232651
Italy,2001,-0.76433164,-0.16829145,-1.4324744
Italy,2002,-0.65441138,-0.11679054,-1.2675731
Italy,2003,-0.60034168,-0.032150615,-1.2643025
Italy,2004,-0.47170433,0.10948801,-1.1116956
Italy,2005,-0.35295874,0.22808842,-0.96426314
Italy,2006,-0.29344192,0.23508939,-0.87676001
Italy,2007,-0.42061898,0.1503408,-1.0414444
Italy,2008,-0.51696277,0.13416132,-1.2474216
Italy,2009,-0.61027634,0.0065010539,-1.293891
Italy,2010,-0.55214304,0.053213783,-1.2198954
Italy,2011,-0.7809428,-0.19891471,-1.4633393
Italy,2012,-1.0121458,-0.43319121,-1.7408814
Italy,2013,-1.0284053,-0.42552239,-1.7834444
Italy,2014,-0.97577888,-0.37747243,-1.6949035
Italy,2015,-0.83422339,-0.25970271,-1.5459331
Italy,2016,-0.71347743,-0.19887139,-1.3484455
Italy,2017,-0.50812608,-0.018258097,-1.0747018
Italy,2018,-0.33152804,0.14950316,-0.85423416
Italy,2019,-0.12252013,0.4345572,-0.69771814
Italy,2020,0.018557351,0.66055632,-0.61721557
