Entity,Year,Cereals and Grains (FAO (2017)) (kilocalories per person per day),Pulses (FAO (2017)) (kilocalories per person per day),Starchy Roots (FAO (2017)) (kilocalories per person per day),Sugar (FAO (2017)) (kilocalories per person per day),Oils & Fats (FAO (2017)) (kilocalories per person per day),Meat (FAO (2017)) (kilocalories per person per day),Dairy & Eggs (FAO (2017)) (kilocalories per person per day),Fruit and Vegetables (FAO (2017)) (kilocalories per person per day),Other (FAO (2017)) (kilocalories per person per day),Alcoholic Beverages (FAO (2017)) (kilocalories per person per day)
Italy,1961,1323,46,101,243,409,168,218,212,15,223.0
Italy,1962,1309,51,90,248,473,185,217,207,15,226.0
Italy,1963,1290,55,96,258,491,200,230,232,14,226.0
Italy,1964,1295,56,87,270,465,210,229,242,12,220.0
Italy,1965,1302,56,79,266,488,215,237,242,13,233.0
Italy,1966,1295,54,83,271,494,234,225,253,14,234.0
Italy,1967,1304,54,84,278,528,249,235,254,15,233.0
Italy,1968,1325,53,88,280,542,256,239,257,13,245.0
Italy,1969,1313,53,90,294,565,264,232,267,17,245.0
Italy,1970,1339,49,81,299,616,285,265,270,15,244.0
Italy,1971,1331,45,77,300,617,294,268,254,17,242.0
Italy,1972,1322,47,74,323,648,295,280,243,15,240.0
Italy,1973,1374,43,71,342,628,315,287,248,21,243.0
Italy,1974,1289,36,71,351,636,314,274,245,22,244.0
Italy,1975,1305,35,70,287,622,309,277,240,19,229.0
Italy,1976,1263,36,66,317,619,320,281,247,19,220.0
Italy,1977,1268,34,77,310,571,328,287,222,17,212.0
Italy,1978,1302,33,70,317,682,344,297,228,18,213.0
Italy,1979,1347,36,75,330,697,357,312,224,20,212.0
Italy,1980,1308,36,74,339,686,377,315,239,21,208.0
Italy,1981,1250,32,69,338,684,371,316,236,20,196.0
Italy,1982,1135,33,73,310,680,372,327,251,21,191.0
Italy,1983,1094,33,68,299,681,394,325,251,21,193.0
Italy,1984,1156,34,69,290,693,395,313,247,22,188.0
Italy,1985,1123,34,68,272,737,399,333,241,28,179.0
Italy,1986,1152,38,76,277,778,405,327,249,24,169.0
Italy,1987,1141,39,75,277,814,419,318,253,25,163.0
Italy,1988,1153,41,75,277,818,423,312,254,24,160.0
Italy,1989,1154,42,76,280,818,430,309,264,25,157.0
Italy,1990,1142,47,77,291,824,437,331,260,23,155.0
Italy,1991,1170,53,75,298,837,444,325,265,25,156.0
Italy,1992,1121,50,81,295,775,441,316,292,25,147.0
Italy,1993,1096,50,77,294,782,443,299,261,26,145.0
Italy,1994,1087,54,79,289,808,442,298,259,28,145.0
Italy,1995,1143,50,66,291,824,423,290,249,25,147.0
Italy,1996,1150,49,68,294,818,439,314,265,24,146.0
Italy,1997,1160,52,69,306,839,429,309,247,27,144.0
Italy,1998,1165,53,73,310,876,443,331,253,30,140.0
Italy,1999,1175,52,69,281,887,443,347,274,27,140.0
Italy,2000,1163,51,77,295,850,440,323,296,29,144.0
Italy,2001,1173,52,73,305,861,447,326,261,28,145.0
Italy,2002,1167,52,71,300,860,444,337,268,29,133.0
Italy,2003,1162,52,65,299,843,435,325,270,30,140.0
Italy,2004,1148,52,73,306,822,432,325,304,27,137.0
Italy,2005,1125,51,69,304,802,429,333,295,29,130.0
Italy,2006,1133,52,69,284,878,434,328,296,28,123.0
Italy,2007,1134,50,69,282,877,440,316,296,30,124.0
Italy,2008,1129,49,66,282,873,430,335,290,27,114.0
Italy,2009,1140,50,70,281,844,436,319,325,28,106.0
Italy,2010,1119,52,70,286,868,444,334,281,26,103.0
Italy,2011,1120,45,67,294,888,429,333,267,28,104.0
Italy,2012,1133,47,66,302,890,427,331,248,29,102.0
Italy,2013,1147,52,66,308,875,415,324,261,30,101.0
