Entity,Year,Economic Complexity Index (ECI) (Observatory of Economic Complexity (2016)),ECI+ (Observatory of Economic Complexity (2016)),Economic Complexity Index (ECI) (Atlas of Economic Complexity (2016)),OEC ECI Ranking (Observatory of Economic Complexity (2016)),Atlas of Economic Complexity ECI Ranking (Atlas of Economic Complexity (2016))
Italy,1964,1.8133399,1.6193399,,7.0,
Italy,1965,1.80755,1.61024,,7.0,
Italy,1966,1.7443399,1.56207,,7.0,
Italy,1967,1.86891,1.58013,,6.0,
Italy,1968,1.8156199,1.5881799,,7.0,
Italy,1969,1.80442,1.5842,,8.0,
Italy,1970,1.84658,1.59045,,7.0,
Italy,1971,1.8194799,1.5868,,7.0,
Italy,1972,1.8205,1.56352,,7.0,
Italy,1973,1.79484,1.55202,,7.0,
Italy,1974,1.73502,1.54145,,7.0,
Italy,1975,1.6601501,1.51343,,7.0,
Italy,1976,1.55495,1.42485,,7.0,
Italy,1977,1.57614,1.40947,,7.0,
Italy,1978,1.6234,1.39375,,8.0,
Italy,1979,1.69198,1.45279,,7.0,
Italy,1980,1.64847,1.42382,,8.0,
Italy,1981,1.62263,1.38422,,7.0,
Italy,1982,1.64022,1.35386,,8.0,
Italy,1983,1.65406,1.32863,,7.0,
Italy,1984,1.67749,1.41545,,7.0,
Italy,1985,1.78471,1.50073,,7.0,
Italy,1986,1.71372,1.49034,,7.0,
Italy,1987,1.73112,1.4769,,7.0,
Italy,1988,1.70263,1.45875,,7.0,
Italy,1989,1.6687,1.45505,,8.0,
Italy,1990,1.7199301,1.44714,,8.0,
Italy,1991,1.71832,1.44915,,8.0,
Italy,1992,1.80255,1.47664,,8.0,
Italy,1993,1.73817,1.41783,,9.0,
Italy,1994,1.73744,1.399,,10.0,
Italy,1995,1.68699,1.36494,1.6296,10.0,11.0
Italy,1996,1.63958,1.32108,1.5441,9.0,14.0
Italy,1997,1.55468,1.30124,1.5551,10.0,11.0
Italy,1998,1.4799401,1.25811,1.502,13.0,13.0
Italy,1999,1.49433,1.26367,1.4658999,11.0,13.0
Italy,2000,1.48962,1.29476,1.4327,13.0,14.0
Italy,2001,1.52985,1.30586,1.4040999,11.0,14.0
Italy,2002,1.48036,1.29453,1.4401,14.0,14.0
Italy,2003,1.37375,1.2841001,1.434,16.0,15.0
Italy,2004,1.3861001,1.2736501,1.3895,15.0,16.0
Italy,2005,1.3980401,1.24726,1.391,15.0,14.0
Italy,2006,1.34865,1.2280101,1.2259001,16.0,18.0
Italy,2007,1.29984,1.22322,1.2819,16.0,17.0
Italy,2008,1.3267,1.21155,1.2826,17.0,17.0
Italy,2009,1.35289,1.19917,1.2686,15.0,17.0
Italy,2010,1.34589,1.19293,1.1908,16.0,19.0
Italy,2011,1.33488,1.22396,1.1842999,16.0,19.0
Italy,2012,1.31024,1.20026,1.1579,16.0,17.0
Italy,2013,1.21525,1.19358,1.2321,19.0,17.0
Italy,2014,1.24155,1.1907099,1.2786,15.0,17.0
Italy,2015,1.24787,1.19612,1.2093,17.0,16.0
Italy,2016,0.94901502,,1.2381001,17.0,17.0
