Entity,Year,Earthquake deaths (NGDC-NOAA)
Italy,-2000,0
Italy,-426,0
Italy,-186,0
Italy,-70,0
Italy,-33,0
Italy,-26,0
Italy,79,3500
Italy,115,0
Italy,294,0
Italy,342,0
Italy,344,0
Italy,365,0
Italy,458,0
Italy,512,0
Italy,525,0
Italy,528,0
Italy,533,0
Italy,551,0
Italy,587,0
Italy,600,0
Italy,649,0
Italy,734,0
Italy,744,0
Italy,777,0
Italy,811,0
Italy,814,0
Italy,820,0
Italy,847,0
Italy,850,0
Italy,851,0
Italy,854,0
Italy,856,0
Italy,871,0
Italy,885,0
Italy,887,0
Italy,893,0
Italy,978,0
Italy,1000,0
Italy,1001,0
Italy,1008,0
Italy,1013,0
Italy,1026,0
Italy,1033,0
Italy,1037,0
Italy,1042,0
Italy,1057,0
Italy,1072,0
Italy,1101,0
Italy,1139,0
Italy,1143,0
Italy,1156,0
Italy,1157,0
Italy,1158,0
Italy,1169,16000
Italy,1202,0
Italy,1209,0
Italy,1219,0
Italy,1222,12000
Italy,1268,0
Italy,1269,0
Italy,1289,0
Italy,1290,0
Italy,1291,0
Italy,1293,0
Italy,1303,0
Italy,1305,0
Italy,1306,0
Italy,1310,0
Italy,1314,0
Italy,1319,0
Italy,1340,0
Italy,1341,0
Italy,1344,0
Italy,1349,2000
Italy,1361,0
Italy,1372,0
Italy,1440,0
Italy,1456,30000
Italy,1458,0
Italy,1463,0
Italy,1487,0
Italy,1490,0
Italy,1491,0
Italy,1494,0
Italy,1495,0
Italy,1498,0
Italy,1499,0
Italy,1500,0
Italy,1501,0
Italy,1502,0
Italy,1509,0
Italy,1511,3000
Italy,1515,0
Italy,1531,0
Italy,1542,113
Italy,1551,0
Italy,1556,0
Italy,1560,0
Italy,1561,0
Italy,1564,0
Italy,1568,0
Italy,1570,0
Italy,1575,0
Italy,1579,0
Italy,1584,0
Italy,1586,0
Italy,1587,0
Italy,1596,0
Italy,1597,0
Italy,1600,0
Italy,1601,0
Italy,1604,0
Italy,1605,0
Italy,1606,0
Italy,1609,0
Italy,1611,0
Italy,1613,103
Italy,1616,0
Italy,1618,0
Italy,1619,0
Italy,1622,0
Italy,1626,0
Italy,1627,5000
Italy,1628,0
Italy,1631,4000
Italy,1633,0
Italy,1634,0
Italy,1636,0
Italy,1638,9633
Italy,1640,300
Italy,1644,0
Italy,1645,0
Italy,1647,0
Italy,1649,0
Italy,1652,0
Italy,1654,0
Italy,1657,0
Italy,1659,2035
Italy,1660,0
Italy,1662,0
Italy,1664,0
Italy,1666,0
Italy,1667,0
Italy,1668,0
Italy,1672,1500
Italy,1673,0
Italy,1674,0
Italy,1677,0
Italy,1679,0
Italy,1680,0
Italy,1683,0
Italy,1687,0
Italy,1688,5311
Italy,1692,0
Italy,1693,60000
Italy,1694,0
Italy,1695,0
Italy,1700,0
Italy,1703,50000
Italy,1704,0
Italy,1707,0
Italy,1709,0
Italy,1711,0
Italy,1713,0
Italy,1714,0
Italy,1716,0
Italy,1718,0
Italy,1721,0
Italy,1725,0
Italy,1726,250
Italy,1727,0
Italy,1730,0
Italy,1732,1940
Italy,1736,0
Italy,1737,0
Italy,1738,0
Italy,1739,0
Italy,1746,0
Italy,1748,0
Italy,1750,0
Italy,1751,0
Italy,1754,0
Italy,1755,0
Italy,1757,0
Italy,1758,0
Italy,1761,0
Italy,1762,0
Italy,1763,0
Italy,1765,0
Italy,1766,0
Italy,1770,0
Italy,1771,0
Italy,1773,0
Italy,1780,0
Italy,1781,0
Italy,1782,0
Italy,1783,31500
Italy,1784,0
Italy,1785,0
Italy,1786,0
Italy,1787,0
Italy,1788,0
Italy,1790,0
Italy,1791,0
Italy,1792,0
Italy,1793,0
Italy,1797,0
Italy,1799,0
Italy,1802,0
Italy,1804,0
Italy,1808,2
Italy,1810,0
Italy,1811,0
Italy,1812,0
Italy,1814,0
Italy,1815,0
Italy,1816,0
Italy,1818,172
Italy,1819,0
Italy,1820,0
Italy,1821,0
Italy,1822,0
Italy,1825,0
Italy,1827,0
Italy,1828,28
Italy,1829,0
Italy,1830,0
Italy,1831,0
Italy,1833,0
Italy,1834,0
Italy,1835,0
Italy,1837,0
Italy,1839,0
Italy,1840,0
Italy,1842,0
Italy,1843,0
Italy,1844,0
Italy,1845,0
Italy,1846,56
Italy,1847,0
Italy,1848,0
Italy,1850,0
Italy,1851,671
Italy,1852,0
Italy,1853,0
Italy,1854,0
Italy,1855,0
Italy,1856,0
Italy,1857,0
Italy,1858,0
Italy,1859,0
Italy,1861,0
Italy,1862,0
Italy,1863,0
Italy,1864,0
Italy,1865,0
Italy,1866,0
Italy,1867,0
Italy,1868,0
Italy,1869,0
Italy,1870,0
Italy,1872,0
Italy,1874,0
Italy,1875,0
Italy,1877,0
Italy,1878,0
Italy,1879,0
Italy,1880,0
Italy,1881,0
Italy,1882,0
Italy,1883,2313
Italy,1884,0
Italy,1885,0
Italy,1886,0
Italy,1887,0
Italy,1888,0
Italy,1889,0
Italy,1890,0
Italy,1891,0
Italy,1893,0
Italy,1894,101
Italy,1895,0
Italy,1896,0
Italy,1897,0
Italy,1898,0
Italy,1899,0
Italy,1900,0
Italy,1901,0
Italy,1902,0
Italy,1903,0
Italy,1904,0
Italy,1905,557
Italy,1906,0
Italy,1907,158
Italy,1908,80000
Italy,1909,0
Italy,1910,0
Italy,1911,0
Italy,1912,0
Italy,1913,0
Italy,1914,120
Italy,1915,29978
Italy,1916,0
Italy,1917,0
Italy,1918,0
Italy,1920,1400
Italy,1922,0
Italy,1923,0
Italy,1924,0
Italy,1925,0
Italy,1926,0
Italy,1927,0
Italy,1928,0
Italy,1929,0
Italy,1930,18
Italy,1931,0
Italy,1932,0
Italy,1933,0
Italy,1934,0
Italy,1935,0
Italy,1936,0
Italy,1937,0
Italy,1938,0
Italy,1939,0
Italy,1940,0
Italy,1941,0
Italy,1942,0
Italy,1943,0
Italy,1944,0
Italy,1945,0
Italy,1946,0
Italy,1947,0
Italy,1948,0
Italy,1949,0
Italy,1950,0
Italy,1951,0
Italy,1952,0
Italy,1953,0
Italy,1954,0
Italy,1955,0
Italy,1956,0
Italy,1957,0
Italy,1958,0
Italy,1959,0
Italy,1960,0
Italy,1961,0
Italy,1962,0
Italy,1963,0
Italy,1964,0
Italy,1965,0
Italy,1966,0
Italy,1967,0
Italy,1968,224
Italy,1969,0
Italy,1970,0
Italy,1971,26
Italy,1972,0
Italy,1973,0
Italy,1974,0
Italy,1975,0
Italy,1976,994
Italy,1977,0
Italy,1978,0
Italy,1979,5
Italy,1980,4689
Italy,1981,12
Italy,1982,0
Italy,1983,0
Italy,1984,9
Italy,1985,1
Italy,1986,0
Italy,1987,0
Italy,1988,0
Italy,1989,0
Italy,1990,21
Italy,1991,0
Italy,1992,0
Italy,1993,0
Italy,1994,0
Italy,1995,0
Italy,1996,0
Italy,1997,14
Italy,1998,0
Italy,1999,0
Italy,2000,0
Italy,2001,0
Italy,2002,31
Italy,2003,0
Italy,2004,0
Italy,2005,0
Italy,2006,0
Italy,2007,0
Italy,2008,0
Italy,2009,310
Italy,2010,0
Italy,2011,0
Italy,2012,24
Italy,2013,0
Italy,2014,0
Italy,2015,0
Italy,2016,300
Italy,2017,31
