Entity,Year,Economic Freedom of the World,Economic Freedom Rank
Italy,1950,5.87894413,12
Italy,1955,5.580283213,22
Italy,1960,5.842926391,21
Italy,1965,5.960322259,19
Italy,1970,6.37,23
Italy,1975,5.37,36
Italy,1980,5.58,41
Italy,1985,5.78,37
Italy,1990,6.75,27
Italy,1995,6.62,45
Italy,2000,7.59,24
Italy,2001,7.47,26
Italy,2002,7.49,25
Italy,2003,7.2,40
Italy,2004,7.29,37
Italy,2005,7.37,40
Italy,2006,7.25,48
Italy,2007,7.15,57
Italy,2008,7.07,62
Italy,2009,6.97,65
Italy,2010,7.19,57
Italy,2011,7.22,55
Italy,2012,7.22,57
Italy,2013,7.16,62
Italy,2014,7.25,61
Italy,2015,7.31,54
Italy,2016,7.272612388,55
