Entity,Year,Electricity from bioenergy (TWh),Electricity from coal (TWh),Electricity generation (TWh),Electricity from fossil fuels (TWh),Electricity from gas (TWh),Electricity from hydro (TWh),Low-carbon electricity (TWh),Electricity from nuclear (TWh),Electricity from oil (TWh),Electricity from other renewables excluding bioenergy (TWh),Electricity from other renewables including bioenergy (TWh),Electricity from renewables (TWh),Electricity from solar (TWh),Electricity from wind (TWh),Per capita electricity (kWh),Coal electricity per capita (kWh),Oil electricity per capita (kWh),Gas electricity per capita (kWh),Fossil fuel electricity per capita (kWh),Renewable electricity per capita (kWh),Low-carbon electricity per capita (kWh),Nuclear electricity per capita (kWh),Solar electricity per capita (kWh),Wind electricity per capita (kWh),Hydro electricity per capita (kWh),Bioenergy electricity per capita (kWh),Other renewable electricity excluding bioenergy per capita (kWh),Other renewable electricity including bioenergy per capita (kWh),Electricity as share of primary energy,Coal (% electricity),Oil (% electricity),Gas (% electricity),Fossil fuels (% electricity),Renewables (% electricity),Low-carbon electricity (% electricity),Nuclear (% electricity),Solar (% electricity),Wind (% electricity),Hydro (% electricity),Bioenergy (% electricity),Other renewables excluding bioenergy (% electricity),Other renewables including bioenergy (% electricity),Carbon intensity of electricity (gCO2/kWh),Electricity demand (TWh),Net imports (TWh),Net electricity imports as a share of demand
Italy,1965,,,,,,42.634,48.82,3.51,,,2.676,45.31,0.0,0.0,,,,,,876.788,944.71,67.922,0.0,0.0,825.005,,,51.783,,,,,,,,,,,,,,,,,,
Italy,1966,,,,,,43.72,50.934,3.863,,,3.351,47.071,0.0,0.0,,,,,,904.12,978.319,74.199,0.0,0.0,839.756,,,64.365,,,,,,,,,,,,,,,,,,
Italy,1967,,,,,,42.34,48.967,3.152,,,3.475,45.815,0.0,0.0,,,,,,873.774,933.888,60.114,0.0,0.0,807.499,,,66.274,,,,,,,,,,,,,,,,,,
Italy,1968,,,,,,42.677,48.87,2.576,,,3.617,46.294,0.0,0.0,,,,,,876.871,925.664,48.793,0.0,0.0,808.36,,,68.511,,,,,,,,,,,,,,,,,,
Italy,1969,,,,,,41.166,46.657,1.679,,,3.812,44.978,0.0,0.0,,,,,,846.174,877.761,31.587,0.0,0.0,774.458,,,71.715,,,,,,,,,,,,,,,,,,
Italy,1970,,,,,,40.373,47.777,3.176,,,4.228,44.601,0.0,0.0,,,,,,833.368,892.712,59.343,0.0,0.0,754.368,,,79.0,,,,,,,,,,,,,,,,,,
Italy,1971,,,,,,39.079,46.653,3.365,,,4.209,43.288,0.0,0.0,,,,,,803.283,865.726,62.443,0.0,0.0,725.177,,,78.105,,,,,,,,,,,,,,,,,,
Italy,1972,,,,,,41.348,48.781,3.626,,,3.807,45.155,0.0,0.0,,,,,,832.216,899.044,66.828,0.0,0.0,762.052,,,70.164,,,,,,,,,,,,,,,,,,
Italy,1973,,,,,,37.523,44.51,3.142,,,3.845,41.368,0.0,0.0,,,,,,757.389,814.914,57.526,0.0,0.0,686.992,,,70.396,,,,,,,,,,,,,,,,,,
Italy,1974,,,,,,37.795,45.45,3.41,,,4.245,42.04,0.0,0.0,,,,,,764.951,826.998,62.048,0.0,0.0,687.71,,,77.241,,,,,,,,,,,,,,,,,,
