Entity,Year,Energy imports (World Bank (2014))
Italy,1960,65.31670162
Italy,1961,68.62996599
Italy,1962,72.57889866
Italy,1963,74.40747074
Italy,1964,74.87700284
Italy,1965,76.62542372
Italy,1966,77.78895991
Italy,1967,79.29651297
Italy,1968,80.56229872
Italy,1969,81.14693754
Italy,1970,81.78305685
Italy,1971,81.46970386
Italy,1972,81.95908706
Italy,1973,82.88762603
Italy,1974,82.59886135
Italy,1975,82.03147271
Italy,1976,82.7663496
Italy,1977,83.05379768
Italy,1978,83.40551472
Italy,1979,84.39997526
Italy,1980,84.79396884
Italy,1981,83.73066888
Italy,1982,81.90729019
Italy,1983,82.77317122
Italy,1984,82.24245502
Italy,1985,82.3905161
Italy,1986,81.03494543
Italy,1987,82.24570295
Italy,1988,81.73559446
Italy,1989,82.65964036
Italy,1990,82.72796816
Italy,1991,82.63412125
Italy,1992,81.7361865
Italy,1993,80.93875062
Italy,1994,79.87048442
Italy,1995,81.51230787
Italy,1996,80.96096133
Italy,1997,81.1459931
Italy,1998,81.72860173
Italy,1999,82.63902249
Italy,2000,83.57703847
Italy,2001,84.42306961
Italy,2002,83.70034231
Italy,2003,83.53825705
Italy,2004,84.06483707
Italy,2005,83.7920833
Italy,2006,83.71512534
Italy,2007,83.08543016
Italy,2008,81.88238606
Italy,2009,81.33076624
Italy,2010,81.00267182
Italy,2011,80.9821354
Italy,2012,78.33384766
Italy,2013,76.33877419
Italy,2014,75.0013037
