Entity,Year,Primary energy (TWh),Fossil Fuels (TWh),Low-carbon energy (TWh),Coal (% primary direct energy),Gas (% primary direct energy),Oil (% primary direct energy),Nuclear (% primary direct energy),Hydro (% primary direct energy),Renewables (% primary direct energy),Solar (% primary direct energy),Wind (% primary direct energy),Other renewables (% primary direct energy),Coal (% sub energy),Gas (% sub energy),Oil (% sub energy),Nuclear (% sub energy),Hydro (% sub energy),Renewables (% sub energy),Solar (% sub energy),Wind (% sub energy),Other renewables (% sub energy),Fossil fuels (% sub energy),Low-carbon energy (% sub energy),Coal (% growth),Coal (TWh growth – sub method),Gas (% growth),Gas (TWh growth – sub method),Oil (% growth),Oil (TWh growth – sub method),Nuclear (% growth),Nuclear (TWh growth – sub method),Hydro (% growth),Hydro (TWh growth – sub method),Solar (% growth),Solar (TWh growth – sub method),Wind (% growth),Wind (TWh growth – sub method),Other renewables (% growth),Other renewables (TWh growth – sub method),Renewables (% growth),Renewables ((TWh growth – sub method),Fossil fuels (% growth),Fossil fuels (TWh growth – sub method),Low-carbon energy (% growth),Low-carbon energy (TWh growth – sub method),Fossil Fuels (% primary direct energy),Low-carbon energy (% primary direct energy),Coal per capita (kWh),Oil per capita (kWh),Gas per capita (kWh),Nuclear per capita (kWh),Solar per capita (kWh),Wind per capita (kWh),Hydro per capita (kWh),Renewables per capita (kWh),Fossil fuels per capita (kWh),Low-carbon energy per capita(kWh),Other renewables per capita (kWh),Hydro (TWh – sub method),Nuclear (TWh – sub method),Renewables (TWh – sub method),Solar (TWh – sub method),Wind (TWh – sub method),Other renewables (TWh – sub method),Low-carbon energy (TWh – sub method),Primary energy – direct (TWh),Biofuels (TWh),Biofuels (% primary direct energy),Biofuels (% sub energy),Biofuels (% growth),Biofuels (TWh growth – sub method),Biofuels per capita (kWh)
Italy,1965,,784.8062895111962,,,,,,,,,,,10.899451527511548,8.012348555691219,66.35453630679558,1.059302729846494,12.866755722015784,,0.0,0.0,0.8076051581393783,85.26633638999836,,,,,,,,,,,,,,,,,,,,,,,,,,1941.298067927782,11818.386714733677,1427.0770168082518,188.67209396830316,0.0,0.0,2291.694032548329,,15186.76179946971,,143.84231437583452,118.42787252,9.7500078,,0.0,0.0,7.433339280000001,,,,,,,,
Italy,1966,,858.3009808069021,,,,,,,,,,,10.436694213618738,8.053867635474957,67.35804284479211,1.0732877855169274,12.14707273694022,,0.0,0.0,0.9310347836570604,85.8486046938858,,4.011129144447034,4.023983219184018,9.18579738836831,6.774255419399978,10.265674247388825,62.696452657122,10.05698005698006,0.9805563399999996,2.54726274804149,3.016669080000014,,0.0,,0.0,25.22421524663678,1.8750015000000009,,,9.36469193455125,73.49469129570593,,,,,2004.195752751244,12935.006106340668,1546.6130345350823,206.10729577627103,0.0,0.0,2332.645863665175,,16485.814893626994,,178.7899425695792,121.4445416,10.73056414,,0.0,0.0,9.308340780000002,,,,,,,,
Italy,1967,,947.665060353664,,,,,,,,,,,10.551617143998012,8.116136305498525,68.78066543997832,0.8079437919491747,10.852899794139612,,0.0,0.0,0.8907375244363522,87.44841888947485,,9.585376727596962,10.001808001439995,9.229861682475129,7.432005945600011,10.68109643692685,71.9302655997219,-18.405384416256787,-1.975001579999999,-3.1564501372369547,-3.833336399999993,,0.0,,0.0,3.700387943897354,0.3444447200000002,,,10.411741515517026,89.36407954676201,,,,,2180.80696273202,14215.579663840252,1677.4420758415504,166.98572578338073,0.0,0.0,2243.0760246409704,,18073.828702413823,,184.09752445978685,117.6112052,8.755562560000001,,0.0,0.0,9.652785500000002,,,,,,,,
Italy,1968,,1035.889521488732,,,,,,,,,,,9.451792662928382,8.816156434293475,70.14571453160922,0.6107305605101534,10.118069926588438,,0.0,0.0,0.8575358840703512,88.41366362883107,,-3.1529698942229456,-3.605302884240004,17.441367999476974,15.340262272199992,10.262012787791884,76.48950174710808,-18.274111675126917,-1.6000012800000007,0.7959376476145419,0.9361118599999828,,0.0,,0.0,4.086330935251792,0.3944447599999989,,,9.309666972647811,88.22446113506794,,,,,2097.565083676257,15566.909560777423,1956.5031278492283,135.53482867695806,0.0,0.0,2245.426973387632,,19620.977772302907,,190.30647334027844,118.54731706,7.155561280000001,,0.0,0.0,10.04723026,,,,,,,,
Italy,1969,,1132.3545725496,,,,,,,,,,,9.007570784270772,8.986978155963826,71.7354628721118,0.369576058620794,9.061326997726988,,0.0,0.0,0.8390851313058171,89.73001181234639,,2.6465028355387554,2.9307623446079987,9.79563089642619,10.118258094599994,10.149726120801962,83.41603062165996,-34.82142857142857,-2.49166866,-3.540548773343944,-4.19722557999998,,0.0,,0.0,5.391208183577545,0.5416670999999997,,,9.31229142295338,96.46505106086806,,,,,2138.495173310056,17030.778306516866,2133.6062596068105,87.74137183708025,0.0,0.0,2151.257482456966,,21302.87973943373,,199.20792700592608,114.35009148000002,4.66389262,,0.0,0.0,10.58889736,,,,,,,,
Italy,1970,,1261.200287014978,,,,,,,,,,,8.234953419058632,8.77759123749467,73.4664972209399,0.6329104589463886,8.045495579043623,,0.0,0.0,0.8425520845167918,90.47904187749324,,0.9821976672805376,1.11648089318399,7.883001540845669,8.940257152200033,13.12192411772335,118.78897641999411,89.1602144133413,4.158336660000002,-1.9263469853762816,-2.2027795399999945,,0.0,,0.0,10.912906610703033,1.1555564799999996,,,11.378566183140858,128.84571446537802,,,,,2144.811970150414,19134.512926304644,2286.1431992675502,164.84293951680715,0.0,0.0,2095.4672534987576,,23565.468095722605,,219.4445680973112,112.14731194000002,8.822229280000002,,0.0,0.0,11.74445384,,,,,,,,
Italy,1971,,1338.661262039264,,,,,,,,,,,7.552658585962006,8.608706968796524,75.01237851509023,0.636622536706297,7.393334951543948,,0.0,0.0,0.796298441900982,91.17374406984877,,-3.394123606889554,-3.896053116839994,3.3064437034130867,4.0455032363999806,7.549511269685749,77.31152490472596,5.950881612090653,0.5250004199999978,-3.205112327545645,-3.5944473200000147,,0.0,,0.0,-0.4493850520340681,-0.052777820000001,,,6.14184565463598,77.46097502428597,,,,,2057.788021927295,20437.779921832363,2345.517658854312,173.4533893744549,0.0,0.0,2014.378901445564,,24841.085602613966,,216.95848911651728,108.55286462,9.3472297,,0.0,0.0,11.69167602,,,,,,,,
Italy,1972,,1404.391989623804,,,,,,,,,,,6.7013063148565015,9.41274422264312,75.08646007467648,0.6540855767665592,7.458668071743984,,0.0,0.0,0.6867357393133731,91.20051061217612,,-6.94284216046146,-7.699066159248005,14.674934235249882,18.54876483899997,4.982971485841814,54.881028904787854,7.756315007429437,0.7250005800000014,5.806187466414192,6.3027828200000044,,0.0,,0.0,-9.550962223806112,-1.116667559999998,,,4.910183737176954,65.73072758453986,,,,,1901.8609365154537,21309.87580147832,2671.3792358318437,185.6324348034428,0.0,0.0,2116.80361672718,,25883.115973825614,,194.8986980961684,114.85564744,10.07223028,,0.0,0.0,10.57500846,,,,,,,,
Italy,1973,,1484.5587112571302,,,,,,,,,,,6.510702871002703,10.125209130821885,75.67604144317237,0.5427059599150659,6.4812080629831375,,0.0,0.0,0.6641325321048467,92.31195344499696,,1.4651189000338238,1.5119012095200048,12.34043654113166,17.887014309600033,5.255582446563478,60.76780611420622,-13.3480419194705,-1.3444455200000007,-9.25074973396537,-10.625008500000009,,0.0,,0.0,0.9981612818492192,0.1055556399999986,,,5.708286733734536,80.16672163332623,,,,,1917.0064220127065,22281.99632411099,2981.258907460774,159.79393178198063,0.0,0.0,1908.3219930793316,,27180.26165358447,,195.54667972683495,104.23063894,8.72778476,,0.0,0.0,10.6805641,,,,,,,,
Italy,1974,,1481.234949153678,,,,,,,,,,,7.093105544310689,11.392665610836753,73.66033925577486,0.5892577227448828,6.531083762798488,,0.0,0.0,0.7335481035343189,92.1461104109223,,8.897034321892704,9.315637452504006,12.467969533249512,20.3020162416,-2.7067267693552832,-32.94141579755615,8.52959898154042,0.7444450400000004,0.724888734909257,0.7555561599999976,,0.0,,0.0,10.403120936280908,1.111112000000002,,,-0.2238888956191842,-3.3237621034520544,,,,,2074.686328039885,21545.16069414939,3332.2791314858623,172.35397576331016,0.0,0.0,1910.2986844499435,,26952.126153675137,,214.55795516576296,104.9861951,9.4722298,,0.0,0.0,11.791676100000002,,,,,,,,
Italy,1975,,1437.429635220566,,,,,,,,,,,7.267809707351769,13.415847579176452,70.69748069130283,0.6710446387657902,7.243926875476705,,0.0,0.0,0.7038905079264315,91.38113797783105,,0.2651978784169673,0.3023802419039896,15.232731000722133,27.89652231719998,-6.081031760037414,-72.00421649221607,11.436950146627556,1.0833341999999997,8.535520571504174,8.961118280000008,,0.0,,0.0,-6.101295641931703,-0.719445020000002,,,-2.957350821227977,-43.80531393311208,,,,,2068.6327957716458,20122.58617455616,3818.545531989505,190.999077173618,0.0,0.0,2061.8350380892066,,26009.76450231731,,200.34797937211616,113.94731338,10.555564,,0.0,0.0,11.07223108,,,,,,,,
