Entity,Year,"Estimated average age at marriage, men (UN)","Estimated average age at marriage, women (UN)"
Italy,1972,27.1,22.4
Italy,1973,27.1,22.5
Italy,1999,31.5,28.4
Italy,2000,31.799999,28.6
Italy,2002,32.400002,29.200001
Italy,2004,32.700001,29.5
Italy,2006,33.299999,30.0
Italy,2007,33.5,30.200001
Italy,2008,32.0,28.5
Italy,2009,33.799999,30.4
Italy,2010,34.0,30.6
Italy,2012,34.299999,31.0
Italy,2013,34.5,31.200001
Italy,2014,34.599998,31.299999
Italy,2016,35.099998,31.9
Italy,2017,35.200001,32.099998
Italy,2018,35.299999,32.200001
