Entity,Year,total_passenger_vehicle_sales,share_european_car_sales,vehicle_price_eur,diesel_share,gas_share,full_hybrid_share,plugin_hybrid_share,mild_hybrid_share,battery_electric_share,petrol_share,co2_per_km,fuel_efficiency_per_km,diesel_number,gas_number,full_hybrid_number,plugin_hybrid_number,mild_hybrid_number,battery_electric_number,petrol_number,all_hybrid_share,all_hybrid_number,full_mild_hybrid_share,diesel_gas_share,full_mild_hybrid_number,diesel_gas_number,battery_plugin_electric_share,battery_plugin_electric_number
Italy,2001,2445319,0.159135921,16573.55135,36.31542551,0.0,0.000940573,0.0,0.0,0.006011486,63.67762243,158.4855445,6.393353878,888028.0,0.0,23.0,0.0,0.0,147.0,1557121.0,0.000940573,23.0,0.000940573,36.31542551,23.0,888028.0,0.006011486,147.0
Italy,2002,2336432,0.155618694,17474.36813,43.34686394,0.0,0.000642005,0.0,0.0,0.00539,56.64710122,157.0861475,6.281993594,1012770.0,0.0,15.0,0.0,0.0,126.0,1323521.0,0.000642005,15.0,0.000642005,43.34686394,15.0,1012770.0,0.005392838,126.0
Italy,2003,2276953,0.152441991,17541.69135,48.57372989,0.0,0.000483102,0.0,0.0,0.006016813,51.41977019,154.6813084,6.16256183,1106001.0,0.0,11.0,0.0,0.0,137.0,1170804.0,0.000483102,11.0,0.000483102,48.57372989,11.0,1106001.0,0.006016813,137.0
Italy,2004,2290106,0.150293535,18602.94431,58.45144286,0.0,0.021571054,0.0,0.0,0.001833976,41.52515211,149.6929614,5.898438209,1338600.0,0.0,494.0,0.0,0.0,42.0,950970.0,0.021571054,494.0,0.021571054,58.45144286,494.0,1338600.0,0.001833976,42.0
Italy,2005,2264661,0.148257828,19155.15036,58.83161269,0.0,0.048969823,0.0,0.0,0.023270601,41.09614688,150.0433359,5.911175317,1332336.588,0.0,1109.00049,0.0,0.0,527.0002327,930688.411,0.048969823,1109.00049,0.048969823,58.83161269,1109.00049,1332336.588,0.023270601,527.0002327
Italy,2006,2354141,0.152439952,19825.74453,58.54521883,0.0,0.092900128,0.0,0.0,0.001104437,41.36077661,149.1618033,5.881816744,1378237.0,0.0,2187.0,0.0,0.0,26.0,973691.0,0.092900128,2187.0,0.092900128,58.54521883,2187.0,1378237.0,0.001104437,26.0
Italy,2007,2512972,0.161125762,19953.8743,55.8757519,0.012375785,0.136889707,0.0,0.0,0.000835664,43.97414695,147.5706389,5.836844333,1404142.0,311.0,3440.0,0.0,0.0,21.0,1105058.0,0.136889707,3440.0,0.136889707,55.88812768,3440.0,1404453.0,0.000835664,21.0
Italy,2008,2174323,0.151646522,20403.26997,50.71100292,0.008186456,0.153611032,0.0,0.0,0.003541332,49.12365826,146.5223531,5.848614313,1102621.0,178.0,3340.0,0.0,0.0,77.0,1068107.0,0.153611032,3340.0,0.153611032,50.71918938,3340.0,1102799.0,0.003541332,77.0
Italy,2009,2165081,0.153643322,19667.31808,41.88406808,0.017458931,0.34922481,0.0,0.0,0.002032257,57.74721592,141.0942795,5.770842667,906824.0,378.0,7561.0,0.0,0.0,44.0,1250274.0,0.34922481,7561.0,0.34922481,41.90152701,7561.0,907202.0,0.002032257,44.0
Italy,2010,1967376,0.147862095,20278.05956,46.03126194,0.025821195,0.244945552,0.0,0.0,0.005286229,53.69268508,136.1480672,5.686570531,905608.0,508.0,4819.0,0.0,0.0,104.0,1056337.0,0.244945552,4819.0,0.244945552,46.05708314,4819.0,906116.0,0.005286229,104.0
