Entity,Year,p_avg_all_ages,p_avg_15_64,p_avg_65_74,p_avg_75_84,p_avg_85p,deaths_2020_all_ages,average_deaths_2015_2019_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2021_all_ages,time,time_unit,p_avg_0_14,projected_deaths_2020_2022_all_ages,excess_proj_all_ages,cum_excess_proj_all_ages,cum_proj_deaths_all_ages,cum_p_proj_all_ages,p_proj_all_ages,p_proj_0_14,p_proj_15_64,p_proj_65_74,p_proj_75_84,p_proj_85p,cum_excess_per_million_proj_all_ages,excess_per_million_proj_all_ages,deaths_2022_all_ages,deaths_2020_2022_all_ages
Italy,4,-12.65,-7.92,-12.29,-14.43,-12.5,13483.0,15436.0,15178.0,13517.0,18072.0,16245.0,14168.0,,13118.0,13668.0,13095.0,13432.0,16831.0,1,weekly,-32.43,15387.1,-1904.1,-1904.1,15387.1,-12.37,-12.37,-22.28,-4.66,-9.89,-11.15,-15.12,-32.2523972571183,-32.2523972571183,15854.0,13483.0
Italy,11,-11.18,-8.81,-6.61,-15.68,-10.01,13974.0,15733.2,15811.0,13055.0,18990.0,15947.0,14863.0,,13104.0,13919.0,12855.0,13165.0,16921.0,2,weekly,-24.78,15684.3,-1710.3,-3614.4,31071.4,-11.63,-10.9,-13.71,-5.62,-4.05,-12.54,-12.65,-61.2221336306541,-28.9697363735358,16837.0,13974.0
Italy,18,-9.43,-7.0,-9.48,-10.62,-9.15,14049.0,15511.4,15480.0,13545.0,17973.0,15234.0,15325.0,,12946.0,14098.0,12898.0,12807.0,17209.0,3,weekly,-17.1,15462.5,-1413.5,-5027.9,46533.9,-10.8,-9.14,-2.44,-3.75,-6.94,-7.2,-11.83,-85.1645544714381,-23.942420840784,16974.0,14049.0
Italy,25,-6.56,-5.47,-4.35,-11.62,-4.27,13989.0,14971.0,14922.0,13388.0,16487.0,14698.0,15360.0,,13111.0,14099.0,12849.0,12862.0,16383.0,4,weekly,-1.64,14922.1,-933.1,-5961.0,61456.0,-9.7,-6.25,16.88,-2.14,-1.59,-8.15,-7.23,-100.969770521339,-15.8052160499013,17294.0,13989.0
Italy,32,-6.5,-6.95,-3.48,-12.14,-3.75,13900.0,14866.0,15228.0,12997.0,15747.0,14551.0,15807.0,,12870.0,14693.0,13450.0,13161.0,15657.0,5,weekly,3.83,14817.1,-917.1,-6878.1,76273.1,-9.02,-6.19,23.38,-3.63,-0.7,-8.68,-6.77,-116.503972256807,-15.5342017354673,16808.0,13900.0
Italy,39,-5.94,-7.29,-5.11,-10.25,-3.1,13537.0,14392.2,15640.0,13168.0,14081.0,13844.0,15228.0,,13230.0,15672.0,13269.0,13102.0,14324.0,6,weekly,-14.8,14343.3,-806.3,-7684.4,90616.4,-8.48,-5.62,-2.06,-3.92,-2.29,-6.61,-6.25,-130.161399864818,-13.6574276080114,15533.0,13537.0
Italy,46,-4.14,-1.08,-3.16,-8.83,-2.06,13641.0,14230.6,15510.0,12685.0,13852.0,14034.0,15072.0,,13008.0,16114.0,13885.0,12981.0,14965.0,7,weekly,-8.11,14181.7,-540.7,-8225.1,104798.1,-7.85,-3.81,8.97,2.59,-0.27,-5.12,-5.29,-139.319989853224,-9.15858998840601,14608.0,13641.0
Italy,53,-5.1,-7.4,-5.1,-8.01,-2.88,13257.0,13969.6,15149.0,12709.0,13290.0,14026.0,14674.0,,12543.0,15370.0,14002.0,12606.0,14443.0,8,weekly,6.44,13920.7,-663.7,-8888.8,118718.8,-7.49,-4.77,24.28,-3.9,-2.23,-4.12,-6.11,-150.562002383842,-11.2420125306178,13844.0,13257.0
Italy,60,-1.43,-5.1,-0.62,-5.68,2.01,13696.0,13895.0,14544.0,12772.0,13148.0,14406.0,14605.0,,12960.0,14199.0,13666.0,12745.0,14751.0,9,weekly,-27.88,13846.1,-150.1,-9038.9,132564.9,-6.82,-1.08,-16.2,-1.52,2.35,-1.72,-1.45,-153.104455421126,-2.54245303728452,13891.0,13696.0
Italy,67,8.14,0.86,11.33,8.41,8.64,14706.0,13599.4,14211.0,12845.0,12917.0,14197.0,13827.0,,12880.0,12914.0,13541.0,12624.0,15259.0,10,weekly,7.14,13550.5,1155.5,-7883.4,146115.4,-5.4,8.53,27.45,4.76,14.75,13.1,4.9,-133.532140400592,19.5723150205348,14051.0,14706.0
Italy,74,37.79,14.2,42.95,45.75,36.75,18234.0,13233.2,13846.0,12887.0,12783.0,13306.0,13344.0,,12466.0,12814.0,12511.0,13050.0,15559.0,11,weekly,-0.94,13184.3,5049.7,-2833.7,159299.7,-1.78,38.3,14.75,18.69,47.41,52.29,31.91,-47.9983289257372,85.5338114748545,14015.0,18234.0
Italy,81,72.25,37.14,84.14,84.93,68.9,21929.0,12730.8,13455.0,12525.0,12602.0,12417.0,12655.0,,11723.0,12281.0,12561.0,12649.0,15982.0,12,weekly,14.13,12681.9,9247.1,6413.4,171981.6,3.73,72.92,35.48,42.67,90.14,93.41,62.62,108.632700261962,156.6310291877,13648.0,21929.0
