Entity,Year,Increase in life expectancy by hours per day (OWID calculations based on UN Population Division (2017 Revision)),Increase in life expectancy by months per year (OWID calculations based on UN Population Division (2017 Revision)),Increase in life expectancy (hours per day) between 1950-2015 (OWID calculations based on UN Population Division (2017 Revision))
Italy,1950,,,0.0
Italy,1955,9.7103767,4.8551879,
Italy,1960,7.3296018,3.6648011,
Italy,1965,5.7264042,2.8632019,
Italy,1970,6.0480099,3.0240052,
Italy,1975,6.2735958,3.1367981,
Italy,1980,6.3312016,3.1656005,
Italy,1985,6.9503903,3.4751954,
Italy,1990,6.2208252,3.1104126,
Italy,1995,5.5968018,2.7984009,
Italy,2000,6.9071774,3.453589,
Italy,2005,6.6815915,3.340796,
Italy,2010,4.8384151,2.4192078,
Italy,2015,4.147192,2.0735962,6.3662758
