Entity,Year,SSP1 (number of people in extreme poverty),SSP2 (number of people in extreme poverty),SSP3 (number of people in extreme poverty),SSP4 (number of people in extreme poverty),SSP5 (number of people in extreme poverty),SSP1 (difference in number in extreme poverty to baseline),SSP3 (difference in number in extreme poverty to baseline),SSP4 (difference in number in extreme poverty to baseline),SSP5 (difference in number in extreme poverty to baseline)
Italy,2015,628592,628592,628592,628592,628592,0,0,0,0
Italy,2016,626390,626390,626390,626390,626390,0,0,0,0
Italy,2017,624215,624215,624215,624215,624215,0,0,0,0
Italy,2018,622036,622036,622036,622036,622036,0,0,0,0
Italy,2019,619792,619792,619792,619792,619792,0,0,0,0
Italy,2020,617433,617433,617433,617433,617433,0,0,0,0
Italy,2021,614852,614852,614852,614852,614852,0,0,0,0
Italy,2022,612195,612195,612195,612195,612195,0,0,0,0
Italy,2023,614032,613377,611525,612610,616310,655,-1852,-767,2933
Italy,2024,615880,614564,610861,613028,620468,1316,-3703,-1536,5904
Italy,2025,617739,615757,610203,613447,624669,1982,-5554,-2310,8912
Italy,2026,619491,616766,608661,613352,629257,2725,-8105,-3414,12491
Italy,2027,621252,617780,607125,613257,633896,3472,-10655,-4523,16116
Italy,2028,623024,618797,605595,613164,638587,4227,-13202,-5633,19790
Italy,2029,624805,619819,604072,613071,643330,4986,-15747,-6748,23511
Italy,2030,626597,620845,602555,612980,648126,5752,-18290,-7865,27281
Italy,2031,628277,621605,600302,612580,653035,6672,-21303,-9025,31430
