Entity,Year,Oil consumption per capita (BP & UN (2017 revision)),Coal consumption per capita (BP & UN (2017 revision)),Gas consumption per capita (BP & UN (2017 revision))
Italy,1965,11756.20349,1939.357645,1425.650583
Italy,1966,12865.17113,2002.156344,1545.039248
Italy,1967,14117.92883,2178.499871,1675.667498
Italy,1968,15460.61629,2095.332816,1954.420981
Italy,1969,16901.83719,2136.169818,2131.28622
Italy,1970,18956.84502,2142.421082,2283.594765
Italy,1971,20225.0166,2055.462352,2342.866803
Italy,1972,21021.81668,1899.688143,2668.327301
Italy,1973,22024.69004,1914.774321,2977.787625
Italy,1974,21296.49972,2072.263245,3328.387271
Italy,1975,19869.54167,2066.17506,3814.008731
Italy,1976,20668.63963,2038.648747,4595.342622
Italy,1977,20005.78314,1996.121663,4672.81193
Italy,1978,20700.05053,2022.806241,4586.289586
Italy,1979,21337.35341,2212.410306,4695.982705
Italy,1980,20180.01914,2587.821489,4646.705156
Italy,1981,19663.68477,2644.765396,4493.009147
Italy,1982,18596.8612,2949.685735,4466.251927
Italy,1983,18251.17739,2754.925585,4582.922631
Italy,1984,17333.56839,3119.025103,5389.667601
Italy,1985,17215.60654,3075.366545,5470.75746
Italy,1986,17619.7357,3020.322306,5779.288592
Italy,1987,18362.90561,2996.653445,6407.576069
Italy,1988,18674.19067,2808.155098,6949.680585
Italy,1989,19101.79369,2929.433128,7516.280092
Italy,1990,19059.66658,2866.624994,7951.744285
Italy,1991,18811.48539,2813.135506,8443.757752
Italy,1992,19208.07429,2487.981782,8360.619083
Italy,1993,18828.77866,2163.961135,8525.316012
Italy,1994,18783.88057,2307.865068,8234.61997
Italy,1995,19403.58056,2493.855221,9070.020077
Italy,1996,19139.11141,2283.988288,9361.520868
Italy,1997,19229.34395,2305.015689,9728.053739
Italy,1998,19268.17534,2397.075779,10479.57578
Italy,1999,19198.45298,2393.221779,11385.11727
Italy,2000,18984.96015,2547.594212,11847.45794
Italy,2001,18767.5283,2700.166783,11836.00679
Italy,2002,18691.3349,2761.034728,11695.64049
Italy,2003,18415.93837,2972.231448,12818.05314
Italy,2004,17826.12952,3297.393573,13222.02195
Italy,2005,17140.70094,3255.257885,14074.42307
Italy,2006,17071.01957,3281.230278,13720.20205
Italy,2007,16465.34834,3201.384184,13633.31408
Italy,2008,15711.53931,3087.611917,13587.94539
Italy,2009,14645.79833,2412.409034,12460.63875
Italy,2010,14230.33329,2659.740722,13251.3237
Italy,2011,13722.48907,2988.150672,12419.03601
Italy,2012,12504.99931,3061.279793,11945.7564
Italy,2013,11582.28252,2640.45128,11185.29678
Italy,2014,10889.65041,2550.432262,9896.942568
Italy,2015,11264.3294,2404.210142,10808.54878
