Entity,Year,Agriculture,Agriculture (per capita),Aviation and shipping,Aviation and shipping (per capita),Buildings,Buildings (per capita),Electricity and heat,Electricity and heat (per capita),Energy,Energy (per capita),Fugitive emissions,Fugitive emissions (per capita),Industry,Industry (per capita),Land-use change and forestry,Land-use change and forestry (per capita),Manufacturing and construction,Manufacturing and construction (per capita),Other fuel combustion,Other fuel combustion (per capita),Total excluding LUCF,Total excluding LUCF (per capita),Total including LUCF,Total including LUCF (per capita),Transport,Transport (per capita),Waste,Waste (per capita)
Italy,1990,43.22,0.7576044812743293,13.07,0.2291043630322879,66.98,1.1740941266949232,143.46,2.514713995456161,405.33,7.105039898077831,8.87,0.155482456013496,26.01,0.4559299527520895,-34.51,-0.6049266693377395,74.03,1.2976737563336094,15.93,0.279237375906989,491.25,8.611133767376543,456.75,8.006382388293613,96.07,1.6840134779274598,16.69,0.2925594352722942
Italy,1991,41.19,0.7215160771176142,13.3,0.2329731445900526,73.06,1.2797757852443044,139.02,2.435182448188656,404.57,7.086762789984782,8.8,0.1541476445407867,25.78,0.4515825313933502,-34.51,-0.604504001488926,69.94,1.22512343854348,15.8,0.276765089061867,488.85,8.56307682201859,454.34,7.958572820529663,97.93,1.715418048849914,17.31,0.303215423522843
Italy,1992,40.58,0.7101195429728018,13.0,0.2274902429434801,68.15,1.1925738505075518,138.27,2.4196212224457696,402.04,7.035398251768982,8.86,0.1550433501907103,25.3,0.4427310112669267,-34.51,-0.6038990987676538,67.79,1.1862741207029632,16.01,0.2801629838096244,485.62,8.497985521400988,451.12,7.894261415127905,102.96,1.8017227241123623,17.7,0.3097367153922768
Italy,1993,39.29,0.6869168134822417,13.11,0.2292053811339319,67.77,1.1848397162049251,134.92,2.3588398186567585,398.86,6.973368292836012,8.7,0.1521042575030669,22.95,0.4012405413442974,-34.51,-0.6033468880954991,65.81,1.150572550146763,16.81,0.2938933986927076,479.32,8.380070426019548,444.81,7.776723537924049,104.85,1.83311855163179,18.21,0.3183699458771092
Italy,1994,38.78,0.6778116046590232,13.03,0.2277433008949735,59.22,1.0350697067536707,137.5,2.403277350196382,394.2,6.889977683253918,8.49,0.1483914523866711,22.21,0.3881948359844483,-34.51,-0.6031789189474701,67.52,1.1801402668018888,16.87,0.2948602828931851,474.03,8.285276816826116,439.52,7.682097897878645,104.61,1.8284134080294077,18.83,0.329117909121439
Italy,1995,37.89,0.6627090454380187,13.62,0.2382184533878547,65.77,1.1503397708751248,150.06,2.6246006692644257,416.8,7.28997440323479,8.18,0.1430709947659802,24.91,0.435684410711561,-34.51,-0.6035916906325157,68.52,1.198438210435815,17.39,0.3041570414401463,499.02,8.728030294391134,464.51,8.12443860375862,106.89,1.8695426198698817,19.41,0.3394875315901806
Italy,1996,38.34,0.6718626969196008,12.46,0.2183466145961978,67.52,1.183207336880841,145.43,2.5484870112941453,413.65,7.248722080876181,8.03,0.1407161569187374,23.17,0.4060265698389971,-34.5,-0.6045712843955718,66.9,1.1723425775670655,17.13,0.30018278555641,495.26,8.678839835065244,460.76,8.07426855066967,108.66,1.904136688765879,20.09,0.3520532493770156
Italy,1997,37.71,0.6626993394253052,12.97,0.2279292079646303,65.02,1.1426335467895343,147.66,2.594913403859469,416.85,7.325542817274954,7.99,0.1404128274199997,23.83,0.4187781824053307,-34.5,-0.6062881784718386,68.98,1.2122248855358673,16.95,0.2978720181187728,499.04,8.769914567669167,464.54,8.16362638919733,110.25,1.93748613555131,20.64,0.3627184928596738
Italy,1998,37.62,0.6629921300084918,14.24,0.2509571486262871,68.71,1.2109034889123729,151.55,2.6708255529714764,427.55,7.534882647132661,8.05,0.1418683319130345,24.79,0.4368839687110715,-34.49,-0.607830902817461,68.72,1.21107972286506,17.1,0.301360059094769,510.33,8.993747307475642,475.84,8.38591640465818,113.42,1.9988454913759472,20.37,0.3589885616234178
Italy,1999,37.78,0.6668357701932849,12.48,0.2202782004238273,72.94,1.287427238695029,147.45,2.602565757411324,433.21,7.646371731218445,7.8,0.137673875264892,26.17,0.4619135020105416,-34.49,-0.6087656356264265,71.91,1.2692472269613315,16.84,0.2972343665975361,517.56,9.13519113873045,483.07,8.526425503104026,116.26,2.0520467613200446,20.4,0.3600701353081791
Italy,2000,37.63,0.663759998777962,13.77,0.2428906506290867,69.19,1.2204505531609668,152.91,2.697197486397506,435.46,7.681130190482362,7.61,0.1342336856417829,28.0,0.4938952953968359,-34.47,-0.6080203868688904,73.35,1.2938292827627824,16.04,0.282931447791616,522.47,9.215909820928031,488.0,8.607889434059139,116.36,2.052487734727708,21.38,0.3771243362708696
Italy,2001,33.66,0.5918226357846137,13.38,0.2352521350801583,72.92,1.2821065538150336,149.24,2.6239931718507354,434.68,7.642705386894114,7.19,0.1264172534548833,29.74,0.5228997382125494,-34.71,-0.6102841262057024,70.87,1.246062691564337,15.97,0.2807904781188438,520.66,9.154437716803832,485.95,8.544153590598128,118.49,2.0833352380902816,22.59,0.3971857796308503
Italy,2002,35.93,0.6283388590020366,13.89,0.2429063944207706,68.96,1.205962920032854,158.91,2.778996050209119,441.06,7.71319613558136,7.25,0.126786994928048,30.13,0.5269092630595982,-34.71,-0.6070036681313858,69.96,1.22345078140224,15.24,0.2665150072694416,528.94,9.250029392723,494.23,8.643025724591611,120.75,2.111659260353352,21.82,0.3815851350800011
Italy,2003,34.91,0.6064492182859152,15.41,0.2676992968715541,73.69,1.28012726712945,164.5,2.8576595934698674,459.8,7.987549429042218,7.12,0.1236871507933462,31.14,0.5409575668124722,-34.7,-0.6028011422091454,76.46,1.328247127761131,16.22,0.2817704474533814,547.47,9.510534332139503,512.77,8.907733189930358,121.81,2.116057842435043,21.63,0.3757518359073145
Italy,2004,35.48,0.6122686241959897,15.67,0.270412890111363,75.55,1.303745618884076,178.32,3.0772193085295627,468.73,8.088744989272444,6.88,0.1187262721101581,33.34,0.5753392314175394,-34.71,-0.5989809454859866,68.28,1.1782892237909297,15.66,0.2702403228553889,558.59,9.639434351455408,523.88,9.040453405969425,124.04,2.1405242431023277,21.04,0.3630815065694369
Italy,2005,34.21,0.5869816461769006,16.21,0.2781342439207121,80.3,1.3778025778428855,177.76,3.0500396791700046,470.91,8.079962788692322,6.87,0.1178767585277786,33.66,0.5775446422190726,-34.71,-0.5955607406840171,66.47,1.1405048237760476,16.55,0.2839680281855512,559.87,9.606355283398464,525.16,9.010794542714445,122.96,2.1097709211900524,21.1,0.36203778820031
Italy,2006,34.07,0.5819691804358804,17.14,0.2927781553469618,74.71,1.2761642932305437,179.72,3.069900237978762,463.24,7.912867717790351,6.21,0.1060765662021372,29.64,0.5062978135638243,-34.71,-0.5929013869365837,61.76,1.0549579273178742,16.58,0.2832124746588464,547.47,9.351648582718855,512.76,8.758747195782272,124.26,2.1225562184021864,20.52,0.3505138709288015
Italy,2007,34.14,0.5811275310750884,17.98,0.3060536909411273,68.44,1.1649785655178395,179.47,3.0549196837154686,456.12,7.76402722536524,6.05,0.1029824710897564,30.29,0.5155932312906979,-34.66,-0.5899789170199929,60.54,1.03050558673948,16.89,0.2874998242489233,540.72,9.20407963101704,506.06,8.614100713997047,124.74,2.1233113130142502,20.17,0.3433316432860144
Italy,2008,33.82,0.5739780288949569,18.0,0.3054880106478185,72.45,1.2295892428574695,173.55,2.9454135693293844,443.95,7.534522351505502,6.11,0.1036962080587873,28.43,0.4825013412620823,-34.71,-0.5890827138658767,56.96,0.9666998381388748,16.95,0.2876678766933624,525.85,8.924492799953077,491.14,8.3354100860872,117.93,2.001455616427625,19.65,0.3334910782905352
Italy,2009,32.65,0.5524009205080356,16.55,0.280007204729188,73.2,1.2384608692553816,147.37,2.49333303691483,398.15,6.736245834617898,5.99,0.1013439973611985,26.43,0.4471655843499963,-34.7,-0.5870845923929199,43.23,0.7314025051627069,16.53,0.2796688274425062,476.97,8.069790721430866,442.26,7.482536940394604,111.84,1.892205787124616,19.74,0.3339783819549348
Italy,2010,32.73,0.551704542849491,19.08,0.3216169470689975,76.15,1.283602228475061,153.13,2.5811951312723056,406.6,6.8537447944577785,6.25,0.1053514632694567,26.57,0.4478701406511145,-34.71,-0.585079886413255,45.8,0.772015522838579,16.09,0.2712168070408894,485.46,8.183027417406477,450.75,7.59794753099322,109.19,1.8405322039027168,19.55,0.3295393771068607
Italy,2011,32.03,0.5375146818032233,17.78,0.2983768667643244,70.39,1.1812568982868838,152.01,2.550971176425475,397.24,6.666323203231733,6.12,0.1027033984588113,26.42,0.4433698998826462,-34.66,-0.5816502925788235,45.03,0.7556754955229206,14.54,0.2440044793449537,474.59,7.9643800448639315,439.93,7.382729752285108,109.15,1.831711755192689,18.9,0.317172259946329
Italy,2012,32.68,0.5457630227148473,17.25,0.2880787069103769,69.57,1.16183395013072,144.03,2.4053319510899467,380.57,6.355600781964182,6.09,0.101704308700533,24.47,0.4086542584404013,-34.63,-0.5783284417568901,43.32,0.7234533091801465,15.06,0.251505236293929,456.71,7.627155143944245,422.08,7.048826702187355,102.51,1.7119390287178398,18.98,0.3169700786758814
Italy,2013,32.11,0.533682779487727,16.02,0.2662596738521764,69.04,1.147476147487782,122.62,2.0380000753903795,351.24,5.837768279890042,5.87,0.0975620652629385,23.85,0.3963978290495886,-34.66,-0.5760649373106389,38.09,0.6330730946959677,14.9,0.2476447653181916,424.93,7.062529538701957,390.27,6.486464601391318,100.72,1.6740121317347825,17.74,0.2948468548150817
Italy,2014,31.73,0.5252474514738729,15.39,0.2547607399364293,57.79,0.9566356829711664,113.74,1.882812641999316,332.04,5.496475379369201,5.6,0.0927004641743992,23.83,0.3944735823707024,-34.66,-0.5737496586222638,35.12,0.581364339608018,14.4,0.2383726221627409,405.24,6.708202875363133,370.58,6.134453216740869,105.39,1.74458962845356,17.64,0.2920064621493576
