Entity,Year,"GHG emissions per capita (tonnes CO2e) (EDGAR, 2019)","GHG emissions per capita per day (kgCO2e) (EDGAR, 2019)"
Italy,1970,7.21,19.76
Italy,1971,7.37,20.2
Italy,1972,7.66,21.0
Italy,1973,8.08,22.14
Italy,1974,8.07,22.1
Italy,1975,7.68,21.04
Italy,1976,8.16,22.35
Italy,1977,7.99,21.88
Italy,1978,8.15,22.33
Italy,1979,8.45,23.14
Italy,1980,8.47,23.19
Italy,1981,8.26,22.64
Italy,1982,8.08,22.13
Italy,1983,7.98,21.87
Italy,1984,8.14,22.3
Italy,1985,8.18,22.41
Italy,1986,8.22,22.51
Italy,1987,8.31,22.76
Italy,1988,8.79,24.09
Italy,1989,9.13,25.02
Italy,1990,8.97,24.58
Italy,1991,8.92,24.43
Italy,1992,8.88,24.32
Italy,1993,8.73,23.92
Italy,1994,8.68,23.78
Italy,1995,9.12,24.99
Italy,1996,8.92,24.45
Italy,1997,8.94,24.48
Italy,1998,9.12,24.99
Italy,1999,9.16,25.1
Italy,2000,9.61,26.34
Italy,2001,9.54,26.13
Italy,2002,9.65,26.45
Italy,2003,9.86,27.01
Italy,2004,9.76,26.73
Italy,2005,9.73,26.66
Italy,2006,9.69,26.54
Italy,2007,9.37,25.66
Italy,2008,9.0,24.65
Italy,2009,8.13,22.29
Italy,2010,8.26,22.62
Italy,2011,8.13,22.27
Italy,2012,8.11,22.21
