Entity,Year,Natural gas production (Etemad & Luciana)
Italy,1946,0.682194097
Italy,1947,1.001972581
Italy,1948,1.247136084
Italy,1949,2.65416141
Italy,1950,5.436234213
Italy,1951,10.29686716
Italy,1952,15.27475221
Italy,1953,24.30316472
Italy,1954,31.62609198
Italy,1955,38.66121861
Italy,1956,47.59369757
Italy,1957,53.15784318
Italy,1958,55.16178834
Italy,1959,65.20283271
Italy,1960,68.72039603
Italy,1961,73.15465766
Italy,1962,76.2245311
Italy,1963,77.47166718
Italy,1964,83.82459972
Italy,1965,83.16372418
Italy,1966,93.74839198
Italy,1967,99.13132978
Italy,1968,110.8778594
Italy,1969,127.4850219
Italy,1970,139.9990199
Italy,1971,143.3460347
Italy,1972,149.8908343
Italy,1973,162.468788
Italy,1974,162.7992258
Italy,1975,155.2204757
Italy,1976,166.7431604
Italy,1977,146.2133818
Italy,1978,146.0534925
Italy,1979,143.5379018
Italy,1980,132.6785874
Italy,1981,148.6876866
Italy,1982,152.6568
Italy,1983,136.8660957
Italy,1984,144.7775354
Italy,1985,149.0572429
Italy,1986,167.0341008
Italy,1987,171.1494476
Italy,1988,174.0553284
Italy,1989,177.8306075
Italy,1990,181.3973405
Italy,1991,182.2879984
Italy,1992,190.2941972
Italy,1993,202.6376768
Italy,1994,213.8073847
Italy,1995,211.1846651
Italy,1996,211.4985097
Italy,1997,203.9995478
Italy,1998,201.2678364
Italy,1999,185.0363871
Italy,2000,176.1106805
Italy,2001,161.3827313
Italy,2002,154.8287431
Italy,2003,147.0147781
Italy,2004,137.2314397
Italy,2005,127.8080942
Italy,2006,116.2459671
Italy,2007,102.7674052
Italy,2008,97.99220582
Italy,2009,84.84187135
Italy,2010,89.00296807
Italy,2011,89.4582548
Italy,2012,91.10998726
Italy,2013,81.89840241
Italy,2014,75.69625442
