Entity,Year,WHO Region (GPEI (2017)),Polio status (GPEI (2017))
Italy,1910,Europe,endemic
Italy,1911,Europe,endemic
Italy,1912,Europe,endemic
Italy,1913,Europe,endemic
Italy,1914,Europe,endemic
Italy,1915,Europe,endemic
Italy,1916,Europe,endemic
Italy,1917,Europe,endemic
Italy,1918,Europe,endemic
Italy,1919,Europe,endemic
Italy,1920,Europe,endemic
Italy,1921,Europe,endemic
Italy,1922,Europe,endemic
Italy,1923,Europe,endemic
Italy,1924,Europe,endemic
Italy,1925,Europe,endemic
Italy,1926,Europe,endemic
Italy,1927,Europe,endemic
Italy,1928,Europe,endemic
Italy,1929,Europe,endemic
Italy,1930,Europe,endemic
Italy,1931,Europe,endemic
Italy,1932,Europe,endemic
Italy,1933,Europe,endemic
Italy,1934,Europe,endemic
Italy,1935,Europe,endemic
Italy,1936,Europe,endemic
Italy,1937,Europe,endemic
Italy,1938,Europe,endemic
Italy,1939,Europe,endemic
Italy,1940,Europe,endemic
Italy,1941,Europe,endemic
Italy,1942,Europe,endemic
Italy,1943,Europe,endemic
Italy,1944,Europe,endemic
Italy,1945,Europe,endemic
Italy,1946,Europe,endemic
Italy,1947,Europe,endemic
Italy,1948,Europe,endemic
Italy,1949,Europe,endemic
Italy,1950,Europe,endemic
Italy,1951,Europe,endemic
Italy,1952,Europe,endemic
Italy,1953,Europe,endemic
Italy,1954,Europe,endemic
Italy,1955,Europe,endemic
Italy,1956,Europe,endemic
Italy,1957,Europe,endemic
Italy,1958,Europe,endemic
Italy,1959,Europe,endemic
Italy,1960,Europe,endemic
Italy,1961,Europe,endemic
Italy,1962,Europe,endemic
Italy,1963,Europe,endemic
Italy,1964,Europe,endemic
Italy,1965,Europe,endemic
Italy,1966,Europe,endemic
Italy,1967,Europe,endemic
Italy,1968,Europe,endemic
Italy,1969,Europe,endemic
Italy,1970,Europe,endemic
Italy,1971,Europe,endemic
Italy,1972,Europe,endemic
Italy,1973,Europe,endemic
Italy,1974,Europe,endemic
Italy,1975,Europe,endemic
Italy,1976,Europe,endemic
Italy,1977,Europe,endemic
Italy,1978,Europe,endemic
Italy,1979,Europe,endemic
Italy,1980,Europe,endemic
Italy,1981,Europe,endemic
Italy,1982,Europe,endemic
Italy,1983,Europe,polio-free (not certified)
Italy,1984,Europe,polio-free (not certified)
Italy,1985,Europe,polio-free (not certified)
Italy,1986,Europe,polio-free (not certified)
Italy,1987,Europe,polio-free (not certified)
Italy,1988,Europe,polio-free (not certified)
Italy,1989,Europe,polio-free (not certified)
Italy,1990,Europe,polio-free (not certified)
Italy,1991,Europe,polio-free (not certified)
Italy,1992,Europe,polio-free (not certified)
Italy,1993,Europe,polio-free (not certified)
Italy,1994,Europe,polio-free (not certified)
Italy,1995,Europe,polio-free (not certified)
Italy,1996,Europe,polio-free (not certified)
Italy,1997,Europe,polio-free (not certified)
Italy,1998,Europe,polio-free (not certified)
Italy,1999,Europe,polio-free (not certified)
Italy,2000,Europe,polio-free (not certified)
Italy,2001,Europe,polio-free (not certified)
Italy,2002,Europe,polio-free (not certified)
Italy,2003,Europe,WHO Region certified polio-free
Italy,2004,Europe,WHO Region certified polio-free
Italy,2005,Europe,WHO Region certified polio-free
Italy,2006,Europe,WHO Region certified polio-free
Italy,2007,Europe,WHO Region certified polio-free
Italy,2008,Europe,WHO Region certified polio-free
Italy,2009,Europe,WHO Region certified polio-free
Italy,2010,Europe,WHO Region certified polio-free
Italy,2011,Europe,WHO Region certified polio-free
Italy,2012,Europe,WHO Region certified polio-free
Italy,2013,Europe,WHO Region certified polio-free
Italy,2014,Europe,WHO Region certified polio-free
Italy,2015,Europe,WHO Region certified polio-free
Italy,2016,Europe,WHO Region certified polio-free
Italy,2017,Europe,WHO Region certified polio-free
