Entity,Year,"Central Gov Expenditure (Roine, Vlachos, Waldenström (2009) and US Historical Tables (2016))"
Italy,1900,7.383167744
Italy,1905,7.261697948
Italy,1910,7.95700103
Italy,1913,8.480799943
Italy,1920,16.98261201
Italy,1922,20.30730098
Italy,1925,8.458480239
Italy,1929,8.674573898
Italy,1932,13.64474446
Italy,1935,11.29788384
Italy,1938,15.36465436
Italy,1945,14.76475149
Italy,1948,15.60547054
Italy,1950,13.35340738
Italy,1951,11.59150228
Italy,1952,12.21261844
Italy,1953,11.5826495
Italy,1954,12.08742857
Italy,1955,11.80814281
Italy,1956,11.86430305
Italy,1957,11.72786802
Italy,1958,11.97646037
Italy,1959,12.06250936
Italy,1960,13.40112835
Italy,1961,13.343665
Italy,1962,13.73198181
Italy,1963,14.5115152
Italy,1964,14.79097903
Italy,1965,15.55822492
Italy,1966,16.26955271
Italy,1967,15.90402871
Italy,1968,16.05151147
Italy,1969,15.8201158
Italy,1970,15.50320834
Italy,1971,17.04890132
Italy,1972,17.65818149
Italy,1973,17.03274399
Italy,1974,16.16507173
Italy,1975,16.53883904
Italy,1976,15.76316059
Italy,1977,16.14896655
Italy,1978,16.68871939
Italy,1979,16.77806526
Italy,1980,16.875045
Italy,1981,18.19031537
Italy,1982,18.27535629
Italy,1983,18.65749508
Italy,1984,18.44702512
Italy,1985,18.64542216
Italy,1986,18.34451705
Italy,1987,19.11057532
Italy,1988,19.54979748
Italy,1989,19.34083104
Italy,1990,20.21002024
Italy,1991,20.27966529
Italy,1992,20.10717839
Italy,1993,19.96116191
Italy,1994,19.2543596
Italy,1995,17.96096563
Italy,1996,18.25728863
Italy,1997,18.3149159
Italy,1998,18.11221987
Italy,1999,18.23004335
Italy,2000,18.44810545
Italy,2001,18.96904707
Italy,2002,19.20763105
Italy,2003,19.69086826
Italy,2004,19.83497441
Italy,2005,20.29000074
