Entity,Year,gov_transparency,gov_transparency_upper,gov_transparency_lower
Italy,1980,1.126470912274519,0.7084077727744735,1.511810036206642
Italy,1981,1.866473726638171,1.314330445375866,2.353099509883888
Italy,1982,2.336663809491278,1.787462450323752,2.882067184724696
Italy,1983,3.606509570035206,2.97630052615494,4.305270904309994
Italy,1984,4.130657896643118,3.447636447576279,4.90305795610732
Italy,1985,4.398995879216788,3.62928292553621,5.174229702207964
Italy,1986,4.31413094158089,3.54542864220832,5.106238498372635
Italy,1987,4.167805300873728,3.467649383278594,4.941345222708962
Italy,1988,4.31521418977563,3.553362427610208,5.032245175574812
Italy,1989,4.172510118913322,3.450325223512527,4.97604698670718
Italy,1990,4.317962439701048,3.559718563663144,5.102169744886862
Italy,1991,4.603264565271884,3.722547256917827,5.351578586034766
Italy,1992,5.243157848136027,4.395901550880635,6.187051550624814
Italy,1993,5.937926696354266,4.943568897623373,6.965462467042048
Italy,1994,6.279740920615347,5.243959539163026,7.301524086773793
Italy,1995,6.357354388379725,5.389210709758072,7.490445146407988
Italy,1996,6.39256114685268,5.376806288768427,7.461813163263336
Italy,1997,6.128109582543487,5.101427177241308,7.137420784759033
Italy,1998,6.523163902627313,5.528452411375129,7.604913539502731
Italy,1999,7.304321219382244,6.169019316135015,8.487424802849523
Italy,2000,7.781429114442742,6.613655710029763,9.108565572839126
Italy,2001,7.712179023602117,6.544118009329402,9.138358845220278
Italy,2002,7.466125662903457,6.394457858763696,8.825064074064432
Italy,2003,7.059359060859401,5.835355223330267,8.186784954244107
Italy,2004,7.204830195630358,6.060457753911506,8.37471693560448
Italy,2005,7.224687417351215,6.148646091815522,8.453771926870228
Italy,2006,7.161202369355033,6.055505068352392,8.324196272598803
Italy,2007,6.910885817110962,5.79944587315315,8.019675631162283
Italy,2008,6.383988846146661,5.366625362578324,7.411066958636344
Italy,2009,5.511771208660655,4.576987680098021,6.592981648798753
Italy,2010,4.830110210797199,3.800643826746595,5.983393780846523
