Entity,Year,Total government spending per capita,Expenditures on general government outsourcing (% of GDP),General government procurement expenditure (% of GDP),General government procurement expenditure (% government expenditures)
Italy,2007,,,10.41,22.25
Italy,2008,,,10.7,22.36
Italy,2009,17531.619,8.34,11.79,23.04
Italy,2010,17337.82,8.33,11.25,22.54
Italy,2011,17744.561,8.05,10.81,21.9
Italy,2012,18149.84,8.08,10.65,20.98
Italy,2013,18316.33,8.3,10.7,20.96
Italy,2014,18473.0,8.21,10.48,20.58
Italy,2015,18795.471,8.14,10.36,20.54
Italy,2016,18825.051,8.11,10.2,20.57
