Entity,Year,Healthy Life Expectancy (IHME),Life Expectancy (IHME),Years Lived With Disability (IHME)
Italy,1990,67.25,77.02,9.77
Italy,1991,67.4,77.19,9.79
Italy,1992,67.58,77.41,9.83
Italy,1993,67.75,77.62,9.86
Italy,1994,67.94,77.85,9.9
Italy,1995,68.15,78.12,9.97
Italy,1996,68.37,78.33,9.97
Italy,1997,68.69,78.69,10.01
Italy,1998,68.94,78.97,10.03
Italy,1999,69.21,79.27,10.06
Italy,2000,69.48,79.6,10.13
Italy,2001,69.75,79.93,10.18
Italy,2002,69.96,80.17,10.21
Italy,2003,70.07,80.27,10.21
Italy,2004,70.42,80.72,10.3
Italy,2005,70.58,80.91,10.34
Italy,2006,70.73,81.09,10.36
Italy,2007,70.88,81.27,10.39
Italy,2008,71.04,81.46,10.42
Italy,2009,71.13,81.57,10.44
Italy,2010,71.3,81.78,10.48
Italy,2011,71.42,81.92,10.5
Italy,2012,71.51,82.02,10.51
Italy,2013,71.67,82.24,10.56
Italy,2014,71.72,82.29,10.57
Italy,2015,71.75,82.33,10.58
Italy,2016,71.75,82.34,10.59
