Entity,Year,"Homicide rate in Europe over long-term (per 100,000)"
Italy,1300,56.0
Italy,1450,73.0
Italy,1550,47.0
Italy,1625,32.0
Italy,1725,12.0
Italy,1775,9.0
Italy,1812,18.0
Italy,1837,15.0
Italy,1862,12.0
Italy,1887,5.5
Italy,1912,3.9
Italy,1937,2.6
Italy,1962,1.3
Italy,1984,1.7
Italy,1990,1.9
Italy,1991,1.9
Italy,1992,1.8
Italy,1993,1.7
Italy,1994,1.6
Italy,1995,1.6
Italy,1996,1.5
Italy,1997,1.4
Italy,1998,1.4
Italy,1999,1.3
Italy,2000,1.3
Italy,2001,1.2
Italy,2002,1.2
Italy,2003,1.1
Italy,2004,1.1
Italy,2005,1.1
Italy,2006,1.0
Italy,2007,1.0
Italy,2008,1.0
Italy,2009,1.0
Italy,2010,0.9
Italy,2011,0.9
Italy,2012,0.9
Italy,2013,0.9
Italy,2014,0.9
Italy,2015,0.9
Italy,2016,0.9
