Entity,Year,"Household expenditure on Housing, water, electricity, gas and other fuels as a share of GDP"
Italy,1970,7.82478153420916
Italy,1971,8.2114588997937
Italy,1972,8.5378301957017
Italy,1973,8.42505855314194
Italy,1974,8.36589669593677
Italy,1975,8.45063476166877
Italy,1976,7.96650485015801
Italy,1977,7.47592740828587
Italy,1978,7.3051188232576
Italy,1979,7.62681553259124
Italy,1980,8.20133085539712
Italy,1981,8.26343182907056
Italy,1982,8.45289847616082
Italy,1983,8.80442153192343
Italy,1984,9.44827510618505
Italy,1985,9.32712977932231
Italy,1986,9.43451964478716
Italy,1987,9.43961310472289
Italy,1988,9.00045735157591
Italy,1989,9.11672985067376
Italy,1990,9.20773134213442
Italy,1991,9.77338908287478
Italy,1992,10.1205562492398
Italy,1993,10.6841143030687
Italy,1994,10.7236347395717
Italy,1995,10.9906014659739
Italy,1996,10.9171843773542
Italy,1997,10.909703659852
Italy,1998,11.0005684722891
Italy,1999,11.3255432581615
Italy,2000,11.3101034055392
Italy,2001,11.2570100228641
Italy,2002,11.4216348978172
Italy,2003,11.7213543359448
Italy,2004,12.0120878561703
Italy,2005,12.3060322186873
Italy,2006,12.4271879646108
Italy,2007,12.4225715646875
Italy,2008,12.8984221310923
Italy,2009,13.7667167256361
Italy,2010,13.8440444134347
Italy,2011,13.9735074303057
Italy,2012,14.719683375019
Italy,2013,15.0205618337939
Italy,2014,14.6645277622672
Italy,2015,14.6354238104156
Italy,2016,14.3090127780031
Italy,2017,14.2974148013759
