Entity,Year,Actual rents as share of GDP,Imputed rents as share of GDP,Actual and imputed rents as share of GDP
Italy,1995,0.0121480218634441,0.0557654229242357,0.0679134447876798
Italy,1996,0.0119108185919759,0.055785087420295,0.0676959060122709
Italy,1997,0.0115093294108072,0.0565449601517745,0.0680542895625818
Italy,1998,0.0111564577825065,0.0582017341787079,0.0693581919612144
Italy,1999,0.0110950989640042,0.0611254142558032,0.0722205132198074
Italy,2000,0.011096461422189,0.0616093477562738,0.0727058091784628
Italy,2001,0.0107049352491242,0.0619037051941177,0.0726086404432418
Italy,2002,0.0110738762766163,0.0649910917084124,0.0760649679850287
Italy,2003,0.0109260588636985,0.0672493420058261,0.0781754008695246
Italy,2004,0.0110395856557685,0.0701956663790806,0.0812352520348491
Italy,2005,0.0113346946205677,0.071313459182439,0.0826481538030067
Italy,2006,0.0114850593178225,0.0715844946965479,0.0830695540143704
Italy,2007,0.0114855975187136,0.0730985822866144,0.0845841798053281
Italy,2008,0.0117395170322466,0.075493158268239,0.0872326753004855
Italy,2009,0.0128001423231322,0.0815341378656437,0.094334280188776
Italy,2010,0.012974224085531,0.0820222116660835,0.0949964357516145
Italy,2011,0.0129775434300216,0.0828557509850761,0.0958332944150977
Italy,2012,0.0134985579231976,0.0863943413483734,0.099892899271571
Italy,2013,0.0137916490905944,0.088699044917837,0.102490694008431
Italy,2014,0.0138978875333844,0.0887646570713533,0.102662544604738
Italy,2015,0.0137546326920812,0.0884831350374995,0.102237767729581
Italy,2016,0.0134884880575789,0.0874178287034667,0.100906316761046
Italy,2017,0.0132850948132458,0.0863556499831164,0.0996407447963622
Italy,2018,0.0132114257294407,0.0865296974546365,0.0997411231840773
