Entity,Year,Primary adjusted enrolment ratio (Lee-Lee (2016)),Secondary adjusted enrolment ratio (Lee-Lee (2016)),Tertiary adjusted enrolment ratio (Lee-Lee (2016)),Share of no schooling (Lee-Lee (2016)),Share of primary schooling (Lee-Lee (2016)),Share of secondary schooling (Lee-Lee (2016)),Share of tertiary schooling (Lee-Lee (2016)),Total years of schooling (Lee-Lee (2016)),Years of primary schooling (Lee-Lee (2016)),Years of secondary schooling (Lee-Lee (2016)),Years of tertiary schooling (Lee-Lee (2016)),Male primary adjusted enrolment (Lee-Lee (2016)),Male secondary adjusted enrolment (Lee-Lee (2016)),Male tertiary adjusted enrolment (Lee-Lee (2016)),Female to male years schooling (Lee-Lee (2016)),Regional female to male years schooling (Lee-Lee (2016))
Italy,1820,15.3,0.0,0.0,,,,,,,,,20.2,0.0,0.1, ,
Italy,1825,17.5,0.0,0.0,,,,,,,,,22.9,0.0,0.1, ,
Italy,1830,19.9,0.0,0.0,,,,,,,,,25.8,0.0,0.1, ,
Italy,1835,22.5,0.0,0.0,,,,,,,,,29.0,0.0,0.1, ,
Italy,1840,25.4,0.0,0.1,,,,,,,,,32.5,0.0,0.1, ,
Italy,1845,28.4,0.0,0.1,,,,,,,,,36.1,0.0,0.2, ,
Italy,1850,31.8,0.0,0.1,,,,,,,,,40.0,0.0,0.2, ,
Italy,1855,35.3,0.0,0.1,,,,,,,,,44.0,0.0,0.2, ,
Italy,1860,39.0,0.3,0.1,,,,,,,,,48.0,0.6,0.3, ,
Italy,1865,37.6,0.3,0.2,,,,,,,,,41.8,0.6,0.3, ,
Italy,1870,49.7,0.4,0.2,71.9,27.9,0.2,0.2,0.88,0.85,0.02,0.0,55.4,0.7,0.4,0.596330275,
Italy,1875,57.0,0.4,0.2,69.4,30.3,0.2,0.2,0.95,0.93,0.02,0.01,61.2,0.8,0.3,0.643478261,
Italy,1880,60.4,0.5,0.2,65.3,34.3,0.3,0.2,1.08,1.04,0.03,0.01,63.6,1.0,0.4,0.68503937,
Italy,1885,62.4,0.6,0.3,60.7,38.7,0.3,0.3,1.22,1.18,0.03,0.01,65.0,1.1,0.5,0.735714286,
Italy,1890,64.0,0.8,0.3,56.4,42.9,0.4,0.3,1.36,1.32,0.04,0.01,66.5,1.7,0.6,0.77124183,
Italy,1895,65.7,1.1,0.4,52.5,46.7,0.6,0.3,1.51,1.45,0.05,0.01,68.1,2.2,0.7,0.807228916,
Italy,1900,68.3,1.2,0.4,48.2,49.8,1.6,0.5,1.73,1.61,0.1,0.01,70.6,2.3,0.8,0.815789474,
Italy,1905,71.1,1.3,0.4,44.7,52.6,2.1,0.6,1.89,1.74,0.14,0.02,72.7,2.6,0.7,0.843902439,
Italy,1910,78.9,1.9,0.4,43.3,53.9,2.3,0.5,1.98,1.82,0.14,0.01,80.8,3.9,0.8,0.833333333,
Italy,1915,79.9,3.2,0.4,38.6,57.7,3.2,0.5,2.24,2.04,0.19,0.02,82.1,4.0,0.7,0.836734694,
Italy,1920,79.1,3.9,0.7,33.7,61.4,4.3,0.6,2.55,2.28,0.25,0.02,70.5,4.7,1.3,0.848375451,
Italy,1925,78.3,3.0,0.5,29.1,64.9,5.4,0.7,2.85,2.53,0.3,0.02,80.8,4.3,1.0,0.854368932,
Italy,1930,96.8,3.2,0.5,26.4,67.1,5.9,0.7,3.08,2.72,0.34,0.02,99.5,4.5,0.9,0.878419453,
Italy,1935,100.0,6.0,0.8,23.0,69.1,7.0,0.9,3.36,2.92,0.41,0.03,100.0,7.4,1.3,0.849315068,
Italy,1940,100.0,8.9,1.4,18.2,72.4,8.4,1.0,3.72,3.2,0.49,0.03,100.0,10.9,2.3,0.828850856,
Italy,1945,94.8,9.0,2.1,13.7,74.8,10.2,1.2,4.15,3.5,0.62,0.04,97.8,9.9,3.1,0.828947368,
Italy,1950,98.6,11.0,1.5,11.6,75.8,11.4,1.2,4.4,3.71,0.65,0.04,100.0,13.5,2.3,0.849056604,
Italy,1955,92.7,15.1,1.5,9.9,73.9,14.5,1.7,4.71,3.85,0.81,0.05,94.3,18.2,2.1,0.850980392,
Italy,1960,100.0,32.1,6.6,7.8,72.3,18.1,1.8,5.07,4.03,0.98,0.06,100.0,36.0,9.7,0.860805861,
Italy,1965,100.0,44.3,10.7,5.9,70.0,21.9,2.3,5.43,4.18,1.17,0.07,100.0,47.8,14.1,0.872413793,
Italy,1970,100.0,57.5,16.7,4.1,66.0,27.5,2.3,5.87,4.35,1.44,0.08,100.0,61.6,20.6,0.881410256,
Italy,1975,98.0,66.0,25.6,4.9,56.6,35.0,3.5,6.45,4.45,1.89,0.11,97.0,67.9,31.2,0.886131387,
Italy,1980,96.7,67.5,27.7,5.3,45.6,45.4,3.7,7.09,4.54,2.43,0.12,96.2,65.7,31.7,0.907258065,
Italy,1985,97.0,70.0,25.5,5.9,38.0,51.1,4.9,7.63,4.57,2.9,0.16,96.0,69.0,27.2,0.923173804,
Italy,1990,92.1,70.0,30.8,4.8,30.8,57.8,6.7,8.32,4.67,3.44,0.21,92.0,66.2,31.8,0.947368421,
Italy,1995,98.0,81.8,41.4,3.8,23.2,64.5,8.5,9.04,4.73,4.04,0.27,98.0,81.8,38.1,0.965217391,
Italy,2000,100.0,90.0,49.0,2.6,16.6,71.5,9.3,9.73,4.82,4.6,0.31,100.0,91.2,43.2,0.982670744,
Italy,2005,100.0,95.8,64.0,2.0,13.1,74.2,10.7,10.2,4.87,4.98,0.35,100.0,94.9,54.4,0.987329435,
Italy,2010,100.0,95.8,64.0,1.5,9.0,76.7,12.9,10.71,4.91,5.37,0.43,100.0,94.9,52.4,1.007497657,
