Entity,Year,Human Development Index (UNDP)
Italy,1980,0.722
Italy,1985,0.738
Italy,1990,0.769
Italy,1991,0.774
Italy,1992,0.78
Italy,1993,0.786
Italy,1994,0.794
Italy,1995,0.8
Italy,1996,0.806
Italy,1997,0.814
Italy,1998,0.819
Italy,1999,0.824
Italy,2000,0.83
Italy,2001,0.837
Italy,2002,0.842
Italy,2003,0.847
Italy,2004,0.852
Italy,2005,0.857
Italy,2006,0.862
Italy,2007,0.866
Italy,2008,0.868
Italy,2009,0.868
Italy,2010,0.87
Italy,2011,0.875
Italy,2012,0.874
Italy,2013,0.876
Italy,2014,0.874
Italy,2015,0.876
Italy,2016,0.878
Italy,2017,0.88
