Entity,Year,1st (Incomes across the Distribution Database (2016)),2nd (Incomes across the Distribution Database (2016)),3rd (Incomes across the Distribution Database (2016)),4th (Incomes across the Distribution Database (2016)),5th (Incomes across the Distribution Database (2016)),6th (Incomes across the Distribution Database (2016)),7th (Incomes across the Distribution Database (2016)),8th (Incomes across the Distribution Database (2016)),9th (Incomes across the Distribution Database (2016)),mean (Incomes across the Distribution Database (2016))
Italy,1986,7563.703613,9724.760742,11445.13281,13233.72363,15451.83105,17870.28906,20570.56055,24473.86914,30592.33594,17968.12695
Italy,1987,7752.23877,9964.350586,11985.62207,13977.57715,16342.9082,18825.93555,22354.61328,27335.44141,35210.92188,19542.53711
Italy,1989,9248.413086,11493.4082,13542.6709,16107.8252,18377.43359,21027.41406,24716.5918,29186.66016,36315.23828,21380.51563
Italy,1991,9338.93457,11614.78809,13994.04102,16593.38086,19037.88477,21833.13086,24852.33398,29037.50977,35338.94531,21370.42773
Italy,1993,7658.823242,9998.759766,12352.94141,14676.92578,17470.05664,20454.25195,23910.52344,28358.68945,36019.09375,20461.64063
Italy,1995,7274.173828,9955.388672,12119.52441,14425.51074,17075.89648,19848.08594,23391.41016,27232.32813,34248.30859,20013.37891
Italy,1998,7459.995605,10532.47266,12749.52734,15159.15137,17860.7207,20777.58008,24151.73438,28839.94922,36052.26172,21247.83594
Italy,2000,7913.248535,10791.56152,12960.62109,15570.44824,18135.72266,21005.2793,24700.0625,28951.67969,36311.41406,21374.04102
Italy,2004,8552.763672,11204.3584,13479.12988,15848.79688,18741.75586,21587.52148,25208.81641,29639.7832,38030.59766,22512.66406
Italy,2008,9045.957031,11642.14551,13906.34863,16581.23828,19426.04102,22428.54492,25982.67188,30543.08398,38895.57813,22767.69727
Italy,2010,8558.602539,11418.48242,13700.83789,16053.79102,18821.36523,21771.64063,25087.02734,29728.44336,37683.64844,21868.32031
