Entity,Year,1st (Incomes across the Distribution Database (2016)),2nd (Incomes across the Distribution Database (2016)),3rd (Incomes across the Distribution Database (2016)),4th (Incomes across the Distribution Database (2016)),5th (Incomes across the Distribution Database (2016)),6th (Incomes across the Distribution Database (2016)),7th (Incomes across the Distribution Database (2016)),8th (Incomes across the Distribution Database (2016)),9th (Incomes across the Distribution Database (2016)),mean (Incomes across the Distribution Database (2016))
Italy,1986,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Italy,1987,102.4926302,102.4637094,104.7224376,105.6208936,105.7668062,105.3476834,108.6728445,111.6923575,115.0971993,108.7622386
Italy,1989,122.2736051,118.1870537,118.3269004,121.7180111,118.9336949,117.6668939,120.155169,119.25642,118.7069806,118.9913433
Italy,1991,123.4703929,119.4352067,122.2706739,125.3870893,123.2079532,122.1755887,120.8150547,118.6469929,115.5156814,118.9352
Italy,1993,101.2575801,102.81754,107.9318311,110.9054881,113.0614008,114.4595472,116.2366158,115.8733394,117.7389455,113.8774269
Italy,1995,96.1721162,102.3715538,105.8923877,109.0056823,110.5105047,111.0675148,113.713042,111.2710376,111.9506162,111.3826665
Italy,1998,98.62887266,108.3057253,111.3969366,114.5494027,115.5896712,116.2688528,117.4092185,117.8397623,117.8473647,118.2529264
Italy,2000,104.6213461,110.9699437,113.2413342,117.6573478,117.3694082,117.5430304,120.0748149,118.296292,118.69448,118.9553095
Italy,2004,113.0763989,115.2147461,117.771721,119.760676,121.2914884,120.801188,122.5480285,121.1078764,124.3141345,125.2922139
Italy,2008,119.5969262,119.7165238,121.5044758,125.2953344,125.7199937,125.5074546,126.3099847,124.798755,127.1415763,126.7115784
Italy,2010,113.1535948,117.4165897,119.7088589,121.3097044,121.8066983,121.8314967,121.9559733,121.470141,123.1800295,121.7061766
