Entity,Year,Price level ratio of PPP conversion factor (GDP) to market exchange rate (World Bank),GDP per-capita - PPP int-$ adjusted (World Bank),GDP per-capita - US $ market exchange (World Bank)
Italy,1990,1.119208145,,
Italy,1991,1.125442485,,
Italy,1992,1.156001571,,
Italy,1993,0.918695706,,
Italy,1994,0.908938521,,
Italy,1995,0.924781885,,
Italy,1996,1.002212323,,
Italy,1997,0.915019327,,
Italy,1998,0.892896175,,
Italy,1999,0.859202003,,
Italy,2000,0.742462687,,
Italy,2001,0.728685459,,
Italy,2002,0.774975532,,
Italy,2003,0.941803612,,
Italy,2004,1.05790663,,
Italy,2005,1.063473449,,
Italy,2006,1.032771296,,
Italy,2007,1.109337531,,
Italy,2008,1.147933206,,
Italy,2009,1.070263962,,
Italy,2010,1.022116556,,
Italy,2011,1.054610787,,
Italy,2012,0.96073127,,
Italy,2013,0.978058846,,
Italy,2014,0.974411636,,
Italy,2015,0.805888877,37217.38433,29957.80432
