Entity,Year,"International Historical Statistics (Births per 1,000) (Brian Mitchell (2013))"
Italy,1900,33
Italy,1901,32.5
Italy,1902,33.4
Italy,1903,31.7
Italy,1904,32.9
Italy,1905,32.7
Italy,1906,32.1
Italy,1907,31.7
Italy,1908,33.7
Italy,1909,32.8
Italy,1910,33.3
Italy,1911,31.5
Italy,1912,32.4
Italy,1913,31.7
Italy,1914,31
Italy,1915,30.5
Italy,1916,24.1
Italy,1917,19.5
Italy,1918,18.2
Italy,1919,21.5
Italy,1920,32.2
Italy,1922,30.8
Italy,1923,30
Italy,1924,29
Italy,1925,28.4
Italy,1926,27.7
Italy,1927,27.5
Italy,1928,26.7
Italy,1929,25.6
Italy,1930,26.7
Italy,1931,24.9
Italy,1932,23.8
Italy,1933,23.8
Italy,1934,23.5
Italy,1935,23.4
Italy,1936,22.4
Italy,1937,22.9
Italy,1938,23.8
Italy,1939,23.6
Italy,1940,23.5
Italy,1941,20.9
Italy,1942,20.5
Italy,1943,19.9
Italy,1944,18.3
Italy,1945,18.3
Italy,1946,23
Italy,1947,22.3
Italy,1948,22
Italy,1949,20.4
Italy,1950,19.6
Italy,1951,18.4
Italy,1952,17.8
Italy,1953,17.5
Italy,1954,18
Italy,1955,17.7
Italy,1956,17.7
Italy,1957,17.7
Italy,1958,17.6
Italy,1959,18.1
Italy,1960,18.1
Italy,1961,18.4
Italy,1962,18.4
Italy,1963,18.6
Italy,1964,19.5
Italy,1965,18.8
Italy,1966,18.4
Italy,1967,17.7
Italy,1968,17.3
Italy,1969,17.5
Italy,1970,16.8
Italy,1971,16.8
Italy,1972,16.3
Italy,1973,15.9
Italy,1974,15.7
Italy,1975,14.8
Italy,1976,13.9
Italy,1977,13.1
Italy,1978,12.6
Italy,1979,11.8
Italy,1980,11.3
Italy,1981,11
Italy,1982,10.9
Italy,1983,10.6
Italy,1984,10.3
Italy,1985,10.1
Italy,1986,9.7
Italy,1987,9.6
Italy,1988,9.9
Italy,1989,9.7
Italy,1990,9.8
Italy,1991,9.9
Italy,1992,9.9
Italy,1993,9.4
Italy,1994,9.5
Italy,1995,9.7
Italy,1996,9.8
Italy,1997,9.6
Italy,1998,9.7
Italy,1999,9.1
Italy,2000,9.4
Italy,2001,9.2
Italy,2002,9.4
Italy,2003,9.4
Italy,2004,9.7
Italy,2005,9.5
Italy,2006,9.501115674
Italy,2007,9.497772798
Italy,2008,9.501115674
Italy,2009,9.497772798
Italy,2010,9.291472098
