Entity,Year,Land under cereal production index (World Bank (2017))
Italy,1961,100.0
Italy,1962,102.0
Italy,1963,99.0
Italy,1964,98.0
Italy,1965,95.0
Italy,1966,94.0
Italy,1967,90.0
Italy,1968,93.0
Italy,1969,93.0
Italy,1970,92.0
Italy,1971,86.0
Italy,1972,84.0
Italy,1973,83.0
Italy,1974,83.0
Italy,1975,80.0
Italy,1976,81.0
Italy,1977,71.0
Italy,1978,80.0
Italy,1979,80.0
Italy,1980,80.0
Italy,1981,78.0
Italy,1982,80.0
Italy,1983,80.0
Italy,1984,79.0
Italy,1985,75.0
Italy,1986,76.0
Italy,1987,73.0
Italy,1988,72.0
Italy,1989,72.0
Italy,1990,69.0
Italy,1991,69.0
Italy,1992,66.0
Italy,1993,64.0
Italy,1994,64.0
Italy,1995,66.0
Italy,1996,66.0
Italy,1997,66.0
Italy,1998,64.0
Italy,1999,65.0
Italy,2000,65.0
Italy,2001,65.0
Italy,2002,67.0
Italy,2003,65.0
Italy,2004,67.0
Italy,2005,63.0
Italy,2006,60.0
Italy,2007,62.0
Italy,2008,63.0
Italy,2009,54.0
Italy,2010,54.0
Italy,2011,54.0
Italy,2012,55.0
Italy,2013,54.0
Italy,2014,53.0
