Entity,Year,Life Expectancy (at birth) (World Bank (2015))
Italy,1960,69.12390244
Italy,1961,69.7602439
Italy,1962,69.1497561
Italy,1963,69.24804878
Italy,1964,70.31170732
Italy,1965,70.17170732
Italy,1966,70.92609756
Italy,1967,70.95658537
Italy,1968,70.78
Italy,1969,70.81195122
Italy,1970,71.55878049
Italy,1971,71.80682927
Italy,1972,72.07536585
Italy,1973,72.02634146
Italy,1974,72.73439024
Italy,1975,72.64731707
Italy,1976,72.99195122
Italy,1977,73.36463415
Italy,1978,73.69317073
Italy,1979,74.00268293
Italy,1980,73.94317073
Italy,1981,74.35390244
Italy,1982,74.81463415
Italy,1983,74.6402439
Italy,1984,75.3895122
Italy,1985,75.47073171
Italy,1986,75.77073171
Italy,1987,76.2195122
Italy,1988,76.37073171
Italy,1989,76.8195122
Italy,1990,76.97073171
Italy,1991,77.0195122
Italy,1992,77.4195122
Italy,1993,77.72195122
Italy,1994,77.92195122
Italy,1995,78.17073171
Italy,1996,78.52195122
Italy,1997,78.82439024
Italy,1998,78.97560976
Italy,1999,79.42439024
Italy,2000,79.77804878
Italy,2001,80.12682927
Italy,2002,80.22926829
Italy,2003,79.98292683
Italy,2004,80.7804878
Italy,2005,80.78292683
Italy,2006,81.28292683
Italy,2007,81.43414634
Italy,2008,81.48536585
Italy,2009,81.63658537
Italy,2010,82.03658537
Italy,2011,82.18780488
Italy,2012,82.23902439
Italy,2013,82.2902439
