Entity,Year,"Life expectancy - interpolated (Gapminder, UN, IHME)","Life expectancy - non-interpolated (Gapminder, UN, IHME)"
Italy,1800,29.690001,29.690001
Italy,1801,29.690001,
Italy,1802,29.690001,
Italy,1803,29.690001,
Italy,1804,29.690001,
Italy,1805,29.690001,
Italy,1806,29.690001,
Italy,1807,29.690001,
Italy,1808,29.690001,
Italy,1809,29.690001,
Italy,1810,29.690001,
Italy,1811,29.690001,
Italy,1812,29.690001,
Italy,1813,29.690001,
Italy,1814,29.690001,
Italy,1815,29.690001,
Italy,1816,29.690001,
Italy,1817,29.690001,
Italy,1818,29.690001,
Italy,1819,29.690001,
Italy,1820,29.690001,
Italy,1821,29.690001,
Italy,1822,29.690001,
Italy,1823,29.690001,
Italy,1824,29.690001,
Italy,1825,29.690001,
Italy,1826,29.690001,
Italy,1827,29.690001,
Italy,1828,29.690001,
Italy,1829,29.690001,
Italy,1830,29.690001,
Italy,1831,29.690001,
Italy,1832,29.690001,
Italy,1833,29.690001,
Italy,1834,29.690001,
Italy,1835,29.690001,
Italy,1836,29.690001,
Italy,1837,29.690001,
Italy,1838,29.690001,
Italy,1839,29.690001,
Italy,1840,29.690001,
Italy,1841,29.690001,
Italy,1842,29.690001,
Italy,1843,29.690001,
Italy,1844,29.690001,
Italy,1845,29.690001,
Italy,1846,29.690001,
Italy,1847,29.690001,
Italy,1848,29.690001,
Italy,1849,29.690001,
Italy,1850,29.690001,
Italy,1851,29.690001,
Italy,1852,29.690001,
Italy,1853,29.690001,
Italy,1854,29.690001,
Italy,1855,29.690001,
Italy,1856,29.690001,
Italy,1857,29.690001,
Italy,1858,29.690001,
Italy,1859,29.690001,
Italy,1860,29.690001,
Italy,1861,29.690001,
Italy,1862,29.690001,
Italy,1863,29.690001,
Italy,1864,29.690001,
Italy,1865,29.690001,
Italy,1866,29.690001,
Italy,1867,29.690001,
Italy,1868,29.690001,
Italy,1869,29.690001,
Italy,1870,29.690001,
Italy,1871,29.690001,
Italy,1872,29.690001,29.690001
Italy,1873,31.6,31.6
Italy,1874,31.75,31.75
Italy,1875,31.309999,31.309999
Italy,1876,33.599998,33.599998
Italy,1877,34.880001,34.880001
Italy,1878,34.32,34.32
Italy,1879,33.950001,33.950001
Italy,1880,32.740002,32.740002
Italy,1881,34.200001,34.200001
Italy,1882,34.290001,34.290001
Italy,1883,35.18,35.18
Italy,1884,36.599998,36.599998
Italy,1885,36.830002,36.830002
Italy,1886,35.099998,35.099998
Italy,1887,35.970001,35.970001
Italy,1888,36.919998,36.919998
Italy,1889,39.049999,39.049999
Italy,1890,38.5,38.5
Italy,1891,38.459999,38.459999
Italy,1892,38.84,38.84
Italy,1893,39.790001,39.790001
Italy,1894,39.91,39.91
Italy,1895,39.610001,39.610001
Italy,1896,40.700001,40.700001
Italy,1897,43.290001,43.290001
Italy,1898,42.330002,42.330002
Italy,1899,43.669998,43.669998
Italy,1900,41.66,41.66
Italy,1901,43.52,43.52
Italy,1902,42.990002,42.990002
Italy,1903,43.150002,43.150002
Italy,1904,44.43,44.43
Italy,1905,43.939999,43.939999
Italy,1906,45.09,45.09
Italy,1907,45.450001,45.450001
Italy,1908,43.189999,43.189999
Italy,1909,44.669998,44.669998
Italy,1910,46.75,46.75
Italy,1911,44.77,44.77
Italy,1912,48.98,48.98
Italy,1913,48.459999,48.459999
Italy,1914,49.889999,49.889999
Italy,1915,42.34,42.34
Italy,1916,39.27,39.27
Italy,1917,37.689999,37.689999
Italy,1918,25.620001,25.620001
Italy,1919,42.099998,42.099998
Italy,1920,45.509998,45.509998
Italy,1921,49.25,49.25
Italy,1922,50.009998,50.009998
Italy,1923,51.450001,51.450001
Italy,1924,51.509998,51.509998
Italy,1925,51.310001,51.310001
Italy,1926,50.959999,50.959999
Italy,1927,52.580002,52.580002
Italy,1928,52.669998,52.669998
Italy,1929,52.290001,52.290001
Italy,1930,55.200001,55.200001
Italy,1931,54.779999,54.779999
Italy,1932,54.77,54.77
Italy,1933,56.290001,56.290001
Italy,1934,56.860001,56.860001
Italy,1935,56.220001,56.220001
Italy,1936,56.75,56.75
Italy,1937,55.490002,55.490002
Italy,1938,56.130001,56.130001
Italy,1939,57.639999,57.639999
Italy,1940,56.950001,56.950001
Italy,1941,54.619999,54.619999
Italy,1942,52.450001,52.450001
Italy,1943,49.189999,49.189999
Italy,1944,52.34,52.34
Italy,1945,54.779999,54.779999
Italy,1946,58.970001,58.970001
Italy,1947,61.18,61.18
Italy,1948,63.450001,63.450001
Italy,1949,64.110001,64.110001
Italy,1950,65.769997,65.769997
Italy,1951,65.309998,65.309998
Italy,1952,65.940002,65.940002
Italy,1953,66.580002,66.580002
Italy,1954,67.900002,67.900002
Italy,1955,68.25,68.25
Italy,1956,67.639999,67.639999
Italy,1957,67.809998,67.809998
Italy,1958,68.870003,68.870003
Italy,1959,69.32,69.32
Italy,1960,69.209999,69.209999
Italy,1961,69.849998,69.849998
Italy,1962,69.239998,69.239998
Italy,1963,69.349998,69.349998
Italy,1964,70.400002,70.400002
Italy,1965,70.269997,70.269997
Italy,1966,71.019997,71.019997
Italy,1967,71.059998,71.059998
Italy,1968,70.879997,70.879997
Italy,1969,70.900002,70.900002
Italy,1970,71.660004,71.660004
Italy,1971,71.910004,71.910004
Italy,1972,72.190002,72.190002
Italy,1973,72.129997,72.129997
Italy,1974,72.849998,72.849998
Italy,1975,72.760002,72.760002
Italy,1976,73.110001,73.110001
Italy,1977,73.480003,73.480003
Italy,1978,73.830002,73.830002
Italy,1979,74.160004,74.160004
Italy,1980,74.120003,74.120003
Italy,1981,74.510002,74.510002
Italy,1982,74.980003,74.980003
Italy,1983,74.800003,74.800003
Italy,1984,75.559998,75.559998
Italy,1985,75.669998,75.669998
Italy,1986,76.0,76.0
Italy,1987,76.419998,76.419998
Italy,1988,76.599998,76.599998
Italy,1989,77.0,77.0
Italy,1990,77.019997,77.019997
Italy,1991,77.190002,77.190002
Italy,1992,77.410004,77.410004
Italy,1993,77.620003,77.620003
Italy,1994,77.849998,77.849998
Italy,1995,78.120003,78.120003
Italy,1996,78.330002,78.330002
Italy,1997,78.690002,78.690002
Italy,1998,78.970001,78.970001
Italy,1999,79.269997,79.269997
Italy,2000,79.599998,79.599998
Italy,2001,79.93,79.93
Italy,2002,80.169998,80.169998
Italy,2003,80.269997,80.269997
Italy,2004,80.720001,80.720001
Italy,2005,80.910004,80.910004
Italy,2006,81.089996,81.089996
Italy,2007,81.269997,81.269997
Italy,2008,81.459999,81.459999
Italy,2009,81.57,81.57
Italy,2010,81.779999,81.779999
Italy,2011,81.919998,81.919998
Italy,2012,82.019997,82.019997
Italy,2013,82.239998,82.239998
Italy,2014,82.290001,82.290001
Italy,2015,82.330002,82.330002
Italy,2016,82.339996,82.339996
