Entity,Year,Share of people who are happy (Eurobarometer 2017)
Italy,1973,65.0
Italy,1975,56.558563
Italy,1976,56.195293
Italy,1977,60.807503
Italy,1978,61.395298
Italy,1979,58.743633
Italy,1980,64.157707
Italy,1981,66.863907
Italy,1982,66.953468
Italy,1983,65.423859
Italy,1984,66.710678
Italy,1985,64.409904
Italy,1986,70.451477
Italy,1987,65.512535
Italy,1988,69.561699
Italy,1989,77.277687
Italy,1990,75.038338
Italy,1991,79.310783
Italy,1992,75.001976
Italy,1993,76.863464
Italy,1994,76.549995
Italy,1996,79.964851
Italy,1997,73.420265
Italy,1998,73.319756
Italy,1999,77.095055
Italy,2000,74.110626
Italy,2001,79.965103
Italy,2002,80.091362
Italy,2003,76.018387
Italy,2004,75.784317
Italy,2005,74.702217
Italy,2006,76.183067
Italy,2007,72.725143
Italy,2008,63.697388
Italy,2009,70.077225
Italy,2010,71.141563
Italy,2011,69.031273
Italy,2012,59.234982
Italy,2013,57.187153
Italy,2014,65.72155
Italy,2015,64.64093
Italy,2016,65.210258
