Entity,Year,Coal production per capita,Oil production per capita,Gas production per capita
Italy,1900,34.75737028,0.690781658,
Italy,1901,30.66050055,0.686601529,
Italy,1902,29.87860926,1.021190657,
Italy,1903,25.06603427,0.675455918,
Italy,1904,19.12906372,1.340054731,
Italy,1905,29.08783911,1.993087915,
Italy,1906,33.3199322,2.306428337,
Italy,1907,31.83210167,2.613923723,
Italy,1908,32.85098423,2.267751219,
Italy,1909,37.68323329,1.926932345,
Italy,1910,37.93594291,2.226019933,
Italy,1911,37.31723558,3.150310182,
Italy,1912,43.88667416,2.191386299,
Italy,1913,45.84372256,2.185620731,
Italy,1914,50.76703006,1.859510766,
Italy,1915,62.20753315,1.837186062,
Italy,1916,86.07119399,2.134392559,
Italy,1917,116.0183072,1.837234433,
Italy,1918,144.5160955,1.549840112,
Italy,1919,78.75210086,1.561073852,
Italy,1920,135.5775395,1.55489601,
Italy,1921,91.18920137,1.234246902,
Italy,1922,89.76015827,1.221446201,
Italy,1923,97.62860445,1.511960504,
Italy,1924,84.439015,1.4983252,
Italy,1925,108.2652197,2.375590476,
Italy,1926,116.6482358,1.472077388,
Italy,1927,36.05663401,1.751154412,
Italy,1928,68.64484136,1.736425646,
Italy,1929,92.03530443,1.724282809,
Italy,1930,80.65180268,2.28089532,
Italy,1931,68.34653785,4.523971652,
Italy,1932,72.29290992,7.579107504,
Italy,1933,87.54758135,7.52065727,
Italy,1934,106.2752218,5.525859454,
Italy,1935,131.2081734,4.385679653,
Italy,1936,227.4377377,4.352748585,
Italy,1937,300.4522012,3.780533157,
Italy,1938,352.6905145,3.482116147,
Italy,1939,487.4196678,3.18157987,
Italy,1940,606.53939,0.262285469,
Italy,1941,612.5269971,3.11977469,
Italy,1942,647.9534373,3.35947918,
Italy,1943,369.764613,2.831750692,
Italy,1944,161.2248761,1.79752707,
Italy,1945,214.9928445,1.79151448,
Italy,1946,293.7870163,2.797813034,14.91949911
Italy,1947,337.7121655,2.526064314,21.76308821
Italy,1948,218.1504901,2.256743084,26.8889434
Italy,1949,237.3452629,2.239744955,56.79415852
Italy,1950,220.9857832,1.996626487,116.6608889
Italy,1951,247.6239975,4.451968168,218.9802445
Italy,1952,230.856577,15.69899818,322.1709815
Italy,1953,231.4544689,20.69569286,508.796548
Italy,1954,214.4888057,17.41423067,657.714789
Italy,1955,212.1366626,49.04652952,799.2339712
Italy,1956,200.5189823,136.0547238,978.5231084
Italy,1957,190.1509911,300.1875411,1087.228783
Italy,1958,161.1396931,365.8075777,1122.281558
Italy,1959,181.989184,398.8037978,1319.095771
Italy,1960,159.5400272,467.1434335,1381.531206
Italy,1961,194.8059843,457.8118957,1460.301145
Italy,1962,197.5144357,416.0194726,1509.77057
Italy,1963,159.1486266,407.5919138,1521.927248
Italy,1964,131.8638421,604.8104167,1633.286821
Italy,1965,112.5032487,512.155891,1607.691321
Italy,1966,115.6357771,412.8387468,1798.841238
Italy,1967,165.8335738,381.7692513,1888.630009
Italy,1968,135.9886524,358.0242062,2097.924988
Italy,1969,134.9265214,347.7231614,2395.757675
Italy,1970,111.9472006,326.030037,2348.238011
Italy,1971,138.3288236,291.6665508,2376.314483
Italy,1972,85.48512158,259.0581148,2501.301706
Italy,1973,96.65476948,235.0133983,2683.713421
Italy,1974,87.01752407,233.3515526,2662.279082
Italy,1975,90.6305734,259.5855747,2523.341746
Italy,1976,89.07353627,270.4393998,2698.150774
Italy,1977,80.65593621,259.4854034,2356.734528
Italy,1978,81.24963376,308.9188197,2345.022769
Italy,1979,61.20846142,355.0194856,2280.280834
Italy,1980,60.60336579,351.872812,2115.522464
Italy,1981,57.07745231,305.6712377,2364.210238
Italy,1982,89.07877062,361.5082343,2421.506179
Italy,1983,81.69359156,458.5404216,2166.649733
Italy,1984,83.24278631,464.2792442,2289.155717
Italy,1985,89.51978815,486.314264,2353.73994
Italy,1986,47.9922709,521.3566678,2635.323458
Italy,1987,45.93564142,801.6200751,2699.592434
Italy,1988,50.82203527,985.1353502,2743.120307
Italy,1989,54.73957692,937.5163437,2803.430117
Italy,1990,50.84687397,950.3164171,2856.191595
Italy,1991,45.81571107,881.5212965,2871.452763
Italy,1992,45.74044038,915.3287071,2996.224599
Italy,1993,29.7358724,942.973297,3186.933178
Italy,1994,11.98568228,994.3666498,3361.07695
Italy,1995,7.349548293,1063.566059,3320.432437
Italy,1996,2.92707807,1107.935097,3325.351168
Italy,1997,4.849446552,1209.676659,3232.651395
Italy,1998,4.245593179,1144.003398,3191.081695
Italy,1999,2.582103172,1020.015062,2932.517878
Italy,2000,0.31371902,930.9079436,2785.416224
Italy,2001,17.04253595,834.8404273,2543.148831
Italy,2002,19.83614071,1112.864499,2427.336343
Italy,2003,30.24287568,1114.056766,2291.116743
Italy,2004,11.78474474,1087.354336,2125.997424
Italy,2005,11.36303375,1208.514935,1969.497666
Italy,2006,2.500290463,1135.640128,1783.086892
Italy,2007,18.73760619,1149.107747,1558.662623
Italy,2008,13.83127308,1023.379433,1481.483129
Italy,2009,8.491649195,891.5802817,1279.704516
Italy,2010,11.89435613,994.2270481,1340.463907
Italy,2011,10.82900216,1032.815677,1346.692903
Italy,2012,9.420613785,1050.805175,1372.053918
Italy,2013,9.43100791,1083.618253,1234.748111
Italy,2014,9.444039127,1136.122227,1142.817808
Italy,2015,,1056.839111,1062.016472
Italy,2016,,728.9008124,909.1930277
