Entity,Year,age-standardized_death_rate_per_100k_both_sexes,age-standardized_death_rate_per_100k_female,age-standardized_death_rate_per_100k_male,crude_death_rate_per_100k_both_sexes,crude_death_rate_per_100k_female,crude_death_rate_per_100k_male
Italy,1951,6.26,2.84,10.25,6.38,3.07,9.88
Italy,1952,6.95,2.99,11.58,7.11,3.23,11.15
Italy,1953,7.72,3.2,12.98,7.97,3.52,12.61
Italy,1954,8.61,3.24,14.9,9.0,3.59,14.64
Italy,1955,9.2,3.64,15.71,9.78,4.09,15.71
Italy,1956,10.24,3.81,17.78,11.02,4.33,17.98
Italy,1957,10.74,3.76,18.93,11.69,4.34,19.34
Italy,1958,11.18,3.93,19.73,12.29,4.57,20.34
Italy,1959,11.74,3.76,21.16,13.06,4.41,22.08
Italy,1960,12.96,4.42,23.01,14.58,5.31,24.24
Italy,1961,13.55,4.43,24.32,15.51,5.39,26.05
Italy,1962,14.22,4.35,25.93,16.45,5.36,28.01
Italy,1963,14.85,4.67,26.97,17.27,5.82,29.22
Italy,1964,16.37,4.89,30.18,19.22,6.1,32.91
Italy,1965,17.0,4.95,31.5,20.15,6.28,34.65
Italy,1966,17.85,5.27,33.08,21.4,6.76,36.71
Italy,1967,18.66,5.06,35.18,22.51,6.58,39.16
Italy,1968,19.8,5.13,37.73,24.07,6.72,42.22
Italy,1969,20.83,5.3,39.9,25.59,7.05,44.99
Italy,1970,20.73,5.22,39.78,25.69,6.98,45.27
Italy,1971,22.09,5.18,43.05,27.57,7.06,49.06
Italy,1972,22.84,5.57,44.26,28.74,7.63,50.83
Italy,1973,23.86,5.86,46.36,30.13,8.01,53.29
Italy,1974,24.23,5.84,46.76,31.57,8.21,55.97
Italy,1975,25.0,6.0,48.26,33.02,8.69,58.44
Italy,1976,26.19,6.27,50.67,34.94,9.18,61.87
Italy,1977,27.0,6.5,52.27,36.19,9.52,64.07
Italy,1978,27.85,6.29,54.43,37.6,9.44,67.06
Italy,1979,28.98,6.63,56.72,39.58,9.99,70.56
Italy,1980,30.16,6.71,59.24,41.71,10.36,74.56
Italy,1981,29.89,6.87,58.54,42.02,10.82,74.74
Italy,1982,31.28,7.06,62.04,44.16,11.16,79.03
Italy,1983,32.03,7.36,63.38,45.45,11.76,81.06
Italy,1984,32.08,7.53,63.5,46.08,12.12,81.98
Italy,1985,32.71,7.68,64.89,47.8,12.64,84.98
Italy,1986,32.42,8.11,63.59,47.9,13.5,84.31
Italy,1987,33.44,8.04,66.16,50.21,13.59,88.95
Italy,1988,33.59,8.23,66.36,51.25,14.17,90.48
Italy,1989,32.97,8.34,64.94,51.18,14.58,89.93
Italy,1990,32.5,8.33,63.72,51.33,14.95,89.82
Italy,1991,32.45,8.34,63.48,52.5,15.33,91.85
Italy,1992,32.81,9.04,63.22,54.18,16.71,93.91
Italy,1993,32.3,8.84,62.41,54.39,16.67,94.4
Italy,1994,31.81,8.89,61.3,54.46,16.97,94.24
Italy,1995,31.16,9.08,59.68,54.37,17.65,93.37
Italy,1996,30.83,9.25,58.72,54.76,18.27,93.53
Italy,1997,30.27,9.07,57.62,54.81,18.42,93.51
Italy,1998,30.01,9.26,56.91,55.43,18.88,94.31
Italy,1999,29.56,9.2,55.93,55.56,19.23,94.24
Italy,2000,28.95,9.71,54.03,55.4,20.54,92.53
Italy,2001,28.77,9.81,53.47,56.12,20.99,93.56
Italy,2002,28.31,10.17,51.94,56.5,22.14,93.09
Italy,2003,27.56,9.83,50.7,56.01,21.66,92.53
Italy,2004,26.95,10.16,48.76,55.59,22.68,90.61
Italy,2005,26.48,10.14,47.74,55.52,22.88,90.23
Italy,2006,26.21,10.42,46.7,55.44,23.78,88.97
Italy,2007,25.91,10.77,45.54,55.47,24.59,88.18
Italy,2008,25.41,10.87,44.28,55.34,25.16,87.32
Italy,2009,25.17,11.08,43.36,55.48,25.97,86.76
Italy,2010,24.86,11.19,42.5,55.77,26.59,86.73
Italy,2011,24.95,11.74,41.96,56.95,27.99,87.88
Italy,2012,24.28,11.7,40.47,56.33,28.16,86.38
Italy,2013,23.68,11.83,38.89,55.59,28.61,84.28
Italy,2014,23.15,11.91,37.39,54.92,29.43,81.98
Italy,2015,23.07,12.17,36.9,55.94,30.62,82.79
Italy,2016,22.54,12.21,35.62,55.81,31.37,81.69
Italy,2017,22.31,12.43,34.76,56.01,32.08,81.29
