Entity,Year,GDP per capita,Population,GDP
Italy,1,1407.0,8000000.0,11256000000.0
Italy,1000,,5000000.0,
Italy,1310,2857.082,,
Italy,1311,2749.5574,,
Italy,1312,2787.959,,
Italy,1313,2787.959,,
Italy,1314,2841.7213,,
Italy,1315,2926.2049,,
Italy,1316,2926.2049,,
Italy,1317,2811.0,,
Italy,1318,2811.0,,
Italy,1319,2864.7623,,
Italy,1320,2787.959,,
Italy,1321,2818.6803,,
Italy,1322,2672.7541,,
Italy,1323,2588.2705,,
Italy,1324,2649.7131,,
Italy,1325,2734.1967,,
Italy,1326,2757.2377,,
Italy,1327,2688.1148,,
Italy,1328,2618.9918,,
Italy,1329,2473.0656,,
Italy,1330,2488.4262,,
Italy,1331,2672.7541,,
Italy,1332,2741.877,,
Italy,1333,2618.9918,,
Italy,1334,2588.2705,,
Italy,1335,2572.9098,,
Italy,1336,2642.0328,,
Italy,1337,2711.1557,,
Italy,1338,2665.0738,,
Italy,1339,2549.8689,,
Italy,1340,2642.0328,,
Italy,1341,2787.959,,
Italy,1342,2680.4344,,
Italy,1343,2450.0246,,
Italy,1344,2450.0246,,
Italy,1345,2511.4672,,
Italy,1346,2388.582,,
Italy,1347,2450.0246,,
Italy,1348,2672.7541,,
Italy,1349,2634.3525,,
Italy,1350,2972.2869,,
Italy,1351,2734.1967,,
Italy,1352,2511.4672,,
Italy,1353,2634.3525,,
Italy,1354,2780.2787,,
Italy,1355,2841.7213,,
Italy,1356,2910.8443,,
Italy,1357,2933.8852,,
Italy,1358,3026.0492,,
Italy,1359,2795.6393,,
Italy,1360,2880.123,,
Italy,1361,3195.0164,,
Italy,1362,3241.0984,,
Italy,1363,3072.1311,,
Italy,1364,3179.6557,,
Italy,1365,3271.8197,,
Italy,1366,3064.4508,,
Italy,1367,3156.6148,,
Italy,1368,2726.5164,,
Italy,1369,2757.2377,,
Italy,1370,2096.7295,,
Italy,1371,2242.6557,,
Italy,1372,2388.582,,
Italy,1373,2480.7459,,
Italy,1374,2073.6885,,
Italy,1375,2849.4016,,
Italy,1376,2557.5492,,
Italy,1377,2649.7131,,
Italy,1378,2450.0246,,
Italy,1379,2373.2213,,
Italy,1380,2949.2459,,
Italy,1381,2795.6393,,
Italy,1382,2841.7213,,
Italy,1383,2657.3934,,
Italy,1384,2642.0328,,
Italy,1385,2703.4754,,
Italy,1386,2680.4344,,
Italy,1387,2926.2049,,
Italy,1388,2626.6721,,
Italy,1389,2511.4672,,
Italy,1390,2572.9098,,
Italy,1391,2595.9508,,
Italy,1392,2488.4262,,
Italy,1393,2711.1557,,
Italy,1394,3033.7295,,
Italy,1395,2941.5656,,
Italy,1396,2849.4016,,
Italy,1397,2826.3607,,
Italy,1398,2764.918,,
Italy,1399,2803.3197,,
Italy,1400,3087.4918,,
Italy,1401,3118.2131,,
Italy,1402,3026.0492,,
Italy,1403,3325.582,,
Italy,1404,3241.0984,,
Italy,1405,2933.8852,,
Italy,1406,2995.3279,,
Italy,1407,2895.4836,,
Italy,1408,2857.082,,
Italy,1409,2880.123,,
Italy,1410,3148.9344,,
Italy,1411,2841.7213,,
Italy,1412,2665.0738,,
Italy,1413,3694.2377,,
Italy,1414,3425.4262,,
Italy,1415,3118.2131,,
Italy,1416,2857.082,,
Italy,1417,2956.9262,,
Italy,1418,3271.8197,,
Italy,1419,3141.2541,,
Italy,1420,2933.8852,,
Italy,1421,3187.3361,,
Italy,1422,3548.3115,,
Italy,1423,3440.7869,,
Italy,1424,3602.0738,,
Italy,1425,3317.9016,,
Italy,1426,3241.0984,,
Italy,1427,3287.1803,,
Italy,1428,3648.1557,,
Italy,1429,3632.7951,,
Italy,1430,3433.1066,,
Italy,1431,3010.6885,,
Italy,1432,2849.4016,,
Italy,1433,3256.459,,
Italy,1434,3325.582,,
Italy,1435,3271.8197,,
Italy,1436,3087.4918,,
Italy,1437,3287.1803,,
Italy,1438,3279.5,,
Italy,1439,2979.9672,,
Italy,1440,2979.9672,,
Italy,1441,2964.6066,,
Italy,1442,2741.877,,
Italy,1443,3287.1803,,
Italy,1444,3110.5328,,
Italy,1445,3287.1803,,
Italy,1446,3195.0164,,
Italy,1447,3609.7541,,
Italy,1448,3486.8689,,
Italy,1449,3494.5492,,
Italy,1450,3218.0574,,
Italy,1451,3210.377,,
Italy,1452,3325.582,,
Italy,1453,3325.582,,
Italy,1454,3248.7787,,
Italy,1455,3079.8115,,
Italy,1456,2926.2049,,
Italy,1457,2903.1639,,
Italy,1458,3317.9016,,
Italy,1459,3494.5492,,
Italy,1460,3663.5164,,
Italy,1461,3663.5164,,
Italy,1462,3502.2295,,
Italy,1463,3356.3033,,
Italy,1464,2956.9262,,
Italy,1465,2933.8852,,
Italy,1466,2933.8852,,
Italy,1467,2987.6475,,
Italy,1468,3141.2541,,
Italy,1469,3187.3361,,
Italy,1470,3387.0246,,
Italy,1471,3333.2623,,
Italy,1472,3148.9344,,
Italy,1473,2880.123,,
Italy,1474,2811.0,,
Italy,1475,2849.4016,,
Italy,1476,2757.2377,,
Italy,1477,2811.0,,
Italy,1478,2964.6066,,
Italy,1479,2895.4836,,
Italy,1480,2933.8852,,
Italy,1481,2926.2049,,
Italy,1482,2680.4344,,
Italy,1483,2572.9098,,
Italy,1484,2741.877,,
Italy,1485,2941.5656,,
Italy,1486,2818.6803,,
Italy,1487,2787.959,,
Italy,1488,2818.6803,,
Italy,1489,2903.1639,,
Italy,1490,2795.6393,,
Italy,1491,2872.4426,,
Italy,1492,2979.9672,,
Italy,1493,2910.8443,,
Italy,1494,2718.8361,,
Italy,1495,2718.8361,,
Italy,1496,2480.7459,,
Italy,1497,2542.1885,,
Italy,1498,2695.7951,,
Italy,1499,2734.1967,,
Italy,1500,2703.4754,10500000.0,28386491700.0
Italy,1501,2595.9508,,
Italy,1502,2557.5492,,
Italy,1503,2580.5902,,
Italy,1504,2434.6639,,
Italy,1505,2634.3525,,
Italy,1506,2887.8033,,
Italy,1507,2864.7623,,
Italy,1508,2979.9672,,
Italy,1509,2995.3279,,
Italy,1510,3072.1311,,
Italy,1511,2872.4426,,
Italy,1512,2926.2049,,
Italy,1513,3010.6885,,
Italy,1514,2926.2049,,
Italy,1515,2849.4016,,
Italy,1516,2895.4836,,
Italy,1517,3079.8115,,
Italy,1518,3102.8525,,
Italy,1519,3010.6885,,
Italy,1520,2887.8033,,
Italy,1521,2665.0738,,
Italy,1522,2634.3525,,
Italy,1523,2680.4344,,
Italy,1524,3010.6885,,
Italy,1525,2995.3279,,
Italy,1526,2711.1557,,
Italy,1527,2488.4262,,
Italy,1528,2457.7049,,
Italy,1529,2603.6311,,
Italy,1530,2465.3852,,
Italy,1531,2542.1885,,
Italy,1532,2534.5082,,
Italy,1533,2503.7869,,
Italy,1534,2864.7623,,
Italy,1535,2964.6066,,
Italy,1536,2880.123,,
Italy,1537,2933.8852,,
Italy,1538,2665.0738,,
Italy,1539,2442.3443,,
Italy,1540,2549.8689,,
Italy,1541,2834.041,,
Italy,1542,2864.7623,,
Italy,1543,2734.1967,,
Italy,1544,2757.2377,,
Italy,1545,2703.4754,,
Italy,1546,2872.4426,,
Italy,1547,2557.5492,,
Italy,1548,2565.2295,,
Italy,1549,2695.7951,,
Italy,1550,2526.8279,,
Italy,1551,2618.9918,,
Italy,1552,2826.3607,,
Italy,1553,2711.1557,,
Italy,1554,2419.3033,,
Italy,1555,2373.2213,,
Italy,1556,2480.7459,,
Italy,1557,2403.9426,,
Italy,1558,2457.7049,,
Italy,1559,2411.623,,
Italy,1560,2519.1475,,
Italy,1561,2534.5082,,
Italy,1562,2365.541,,
Italy,1563,2634.3525,,
Italy,1564,2503.7869,,
Italy,1565,2534.5082,,
Italy,1566,2572.9098,,
Italy,1567,2734.1967,,
Italy,1568,2588.2705,,
Italy,1569,2419.3033,,
Italy,1570,2572.9098,,
