Entity,Year,Maternal Mortality Ratio (Gapminder (2010) and World Bank (2015)),maternal_mortality_rate_who_2019,maternal_mortality_rate_oecd,maternal_mortality_rate_gapminder
Italy,1970,54.5,,54.5,
Italy,1971,51.5,,51.5,
Italy,1972,46.1,,46.1,
Italy,1973,42.5,,42.5,
Italy,1974,29.4,,29.4,
Italy,1975,25.4,,25.4,
Italy,1976,23.3,,23.3,
Italy,1977,16.9,,16.9,
Italy,1978,17.1,,17.1,
Italy,1979,12.2,,12.2,
Italy,1980,12.8,,12.8,
Italy,1981,13.1,,13.1,
Italy,1982,9.3,,9.3,
Italy,1983,9.0,,9.0,
Italy,1984,9.0,,9.0,
Italy,1985,8.0,,8.0,
Italy,1986,5.5,,5.5,
Italy,1987,4.5,,4.5,
Italy,1988,7.6,,7.6,
Italy,1989,4.6,,4.6,
Italy,1990,8.6,,8.6,
Italy,1991,4.9,,4.9,
Italy,1992,7.2,,7.2,
Italy,1993,4.3,,4.3,
Italy,1994,3.6,,3.6,
Italy,1995,3.2,,3.2,
Italy,1996,3.8,,3.8,
Italy,1997,4.3,,4.3,
Italy,1998,3.0,,3.0,
Italy,1999,2.7,,2.7,
Italy,2000,3.0,4.0,3.0,
Italy,2001,2.1,3.0,2.1,
Italy,2002,3.4,3.0,3.4,
Italy,2003,5.2,3.0,5.2,
Italy,2004,3.7,3.0,3.7,
Italy,2005,2.6,3.0,2.6,
Italy,2006,2.0,2.0,2.0,
Italy,2007,2.3,2.0,2.3,
Italy,2008,2.3,2.0,2.3,
Italy,2009,3.4,2.0,3.4,
Italy,2010,2.9,2.0,2.9,
Italy,2011,2.6,2.0,2.6,
Italy,2012,2.1,2.0,2.1,
Italy,2013,2.8,2.0,2.8,
Italy,2014,1.2,2.0,1.2,
Italy,2015,3.4,2.0,3.4,
Italy,2016,2.8,2.0,2.8,
Italy,2017,3.5,2.0,3.5,
Italy,2018,2.5,,2.5,
Italy,2019,2.9,,2.9,
