Entity,Year,Annual maternal deaths to 2030 (business-as-usual),Annual maternal deaths to 2030 (required rate for SDGs),Annual maternal lives at stake to 2030,Cumulative maternal deaths (business-as-usual),Cumulative maternal deaths (required rate),Cumulative maternal lives saved
Italy,2015,19.80644,,,,,
Italy,2016,19.58984,,,39.39628,,
Italy,2017,19.40912,,,58.8054,,
Italy,2018,19.25036,,,78.05576,,
Italy,2019,19.11164,,,97.1674,,
Italy,2020,18.99292,,,116.16032,,
Italy,2021,18.89584,,,135.05616,,
Italy,2022,18.82204,,,153.8782,,
Italy,2023,18.77184,,,172.65004,,
Italy,2024,18.74364,,,191.39368,,
Italy,2025,18.73632,,,210.13,,
Italy,2026,18.74876,,,228.87876,,
Italy,2027,18.77804,,,247.6568,,
Italy,2028,18.82016,,,266.47696,,
Italy,2029,18.87092,,,285.34788,,
Italy,2030,18.9268,,,304.27468,,
