Entity,Year,Mean BMI (male),Mean BMI (female)
Italy,1975,24.47078426,24.55413614
Italy,1976,24.52964947,24.56514558
Italy,1977,24.58751236,24.57397569
Italy,1978,24.64511044,24.58131995
Italy,1979,24.7030655,24.58827935
Italy,1980,24.76122544,24.59584925
Italy,1981,24.81893066,24.60267877
Italy,1982,24.87628754,24.6089275
Italy,1983,24.93323965,24.61522073
Italy,1984,24.99001717,24.62145922
Italy,1985,25.04700423,24.62773419
Italy,1986,25.10389968,24.63434431
Italy,1987,25.16105068,24.64167981
Italy,1988,25.22010906,24.6508074
Italy,1989,25.28119631,24.66217936
Italy,1990,25.34437097,24.67581391
Italy,1991,25.41036595,24.69247505
Italy,1992,25.47977964,24.71255704
Italy,1993,25.55296687,24.73566891
Italy,1994,25.62952151,24.76150202
Italy,1995,25.70991392,24.79011462
Italy,1996,25.79354002,24.82143549
Italy,1997,25.8778452,24.85340732
Italy,1998,25.96182032,24.88504242
Italy,1999,26.04532529,24.91511532
Italy,2000,26.12721843,24.94322858
Italy,2001,26.20842772,24.96881146
Italy,2002,26.28709016,24.99142223
Italy,2003,26.36282806,25.01043919
Italy,2004,26.43355829,25.025516
Italy,2005,26.49692152,25.03647608
Italy,2006,26.55247751,25.04329557
Italy,2007,26.59870306,25.04672495
Italy,2008,26.63442679,25.04520705
Italy,2009,26.65907754,25.03790389
Italy,2010,26.67294813,25.02360754
Italy,2011,26.67785406,25.00323561
Italy,2012,26.67577112,24.97805283
Italy,2013,26.67018428,24.95007696
Italy,2014,26.66303918,24.91999841
Italy,2015,26.65554418,24.88883559
Italy,2016,26.64890335,24.85762136
