Entity,Year,Prevalence - Mental health disorders: Both (age-standardized percent),Prevalence - Mental health disorders: Male (age-standardized percent),Prevalence - Mental health disorders: Female (age-standardized percent),Prevalence - Mental health disorders: Both (Number),Prevalence - Mental health disorders: Male (Number),Prevalence - Mental health disorders: Female (Number),Prevalence - Alcohol and substance use disorders: Both (age-standardized percent),Prevalence - Alcohol and substance use disorders: Male (age-standardized percent),Prevalence - Alcohol and substance use disorders: Female (age-standardized percent),Prevalence - Alcohol and substance use disorders: Both (Number),Prevalence - Alcohol and substance use disorders: Male (Number),Prevalence - Alcohol and substance use disorders: Female (Number),Deaths - Alcohol and substance use disorders,Deaths - Alcohol and substance use disorders (Age-standardized rate),DALYs (Disability-Adjusted Life Years) - Alcohol and substance use disorders (Age-standardized percent),DALYs (Disability-Adjusted Life Years) - Mental health disorders (Age-standardized percent),DALYs (Disability-Adjusted Life Years) - Alcohol and substance use disorders (Age-standardized rate),DALYs (Disability-Adjusted Life Years) - Mental health disorders (Age-standardized rate)
Italy,1990,15.63098699,14.19150192,16.88811943,8709686.37,3703743.328,5005943.043,1.784691392,2.416609151,1.178898941,975461.344,643520.0017,331941.3422,984.0970802,2.186490056,1.434319196,7.306191675,399.1645937,2000.716585
Italy,1991,15.52709691,14.11406258,16.76516864,8672456.666,3688835.483,4983621.183,1.811793784,2.446722148,1.202632568,994868.2481,655106.5163,339761.7317,1069.784367,2.301995679,1.500326928,7.255137626,415.5940867,1987.127065
Italy,1992,15.43973012,14.05170452,16.65905312,8638665.133,3675796.789,4962868.344,1.841858147,2.478280535,1.230837634,1014115.138,665845.4147,348269.7231,1104.261604,2.330118028,1.555804063,7.231046202,427.8731428,1973.071862
Italy,1993,15.33328121,13.9717879,16.53047206,8573661.227,3648485.281,4925175.946,1.877022811,2.517993028,1.260939097,1030970.819,675359.3938,355611.4247,1091.134059,2.277986659,1.597184033,7.190797646,437.581984,1956.831343
Italy,1994,15.22374854,13.88433967,16.40301709,8504027.742,3619102.159,4884925.583,1.907319501,2.545145,1.29404991,1043648.775,680361.0547,363287.7198,1111.785887,2.290508081,1.650947637,7.15161864,450.655171,1940.786332
Italy,1995,15.12313485,13.81904831,16.27331136,8441389.724,3596885.662,4844504.063,1.948826044,2.59027334,1.331818528,1061693.386,689785.8829,371907.5033,1149.007766,2.322084493,1.71612696,7.113896835,467.7704861,1925.785868
Italy,1996,15.09267708,13.7935265,16.23649815,8406259.998,3575552.242,4830707.756,1.960410007,2.606611741,1.339545849,1058989.118,687770.9245,371218.1939,1161.585194,2.294551933,1.701212967,7.117134613,463.0434861,1921.4332
Italy,1997,15.05389157,13.75315287,16.19734122,8375525.831,3555299.915,4820225.916,1.974997117,2.624114233,1.351828752,1057504.482,685883.978,371620.5037,1131.374211,2.220392942,1.694269604,7.186483438,456.7102311,1916.279464
Italy,1998,15.01536503,13.7215513,16.15030917,8347898.642,3539429.714,4808468.927,1.986872757,2.642123507,1.358206053,1053936.823,683731.9016,370204.9218,1086.12202,2.126161915,1.664833014,7.222840869,447.1844248,1911.559794
Italy,1999,14.97881895,13.68001407,16.11732458,8321021.725,3521393.111,4799628.614,2.001702032,2.654934444,1.375356014,1051025.558,679471.1526,371554.4054,991.4476622,1.953756543,1.628509879,7.276063653,435.5751827,1907.091013
Italy,2000,14.93625772,13.64320281,16.06884024,8298777.661,3507769.274,4791008.388,2.018339028,2.675226017,1.388600998,1048429.272,677072.817,371356.4548,908.6457512,1.805526178,1.592725939,7.322882787,425.5388546,1902.488015
Italy,2001,14.91945846,13.63398672,16.04831391,8289104.653,3504441.964,4784662.69,2.009427138,2.668096063,1.377309403,1033674.499,668620.2095,365054.2895,813.8459715,1.639188638,1.547480087,7.375433141,412.6586419,1899.276968
Italy,2002,14.90665692,13.62657716,16.0335376,8286392.957,3504685.776,4781707.181,2.002339362,2.664688644,1.365999683,1020560.739,661269.1341,359291.6054,750.2679802,1.525820461,1.507659383,7.398533456,403.4654894,1896.292577
Italy,2003,14.88993021,13.62519819,16.00671074,8307235.267,3518813.621,4788421.645,1.998845816,2.662683383,1.360008884,1013323.261,657272.5374,356050.7239,756.0423601,1.538930836,1.487935419,7.372370514,401.1767226,1892.67234
Italy,2004,14.87326152,13.61553839,15.98773228,8344741.062,3538806.6,4805934.462,1.998180071,2.661828345,1.357902041,1011529.07,656530.1122,354998.9582,747.3036759,1.510187045,1.498689224,7.489783028,399.8018425,1890.47076
Italy,2005,14.85455152,13.59708224,15.97315007,8369999.802,3551594.502,4818405.299,2.000147398,2.666760636,1.356026174,1007515.408,654683.9004,352831.5071,743.1715153,1.496410859,1.482011868,7.485985901,398.5172002,1885.780352
Italy,2006,14.91575316,13.66135146,16.03258549,8424572.759,3577320.927,4847251.832,1.968936072,2.627905446,1.33309632,986104.1948,640462.2365,345641.9583,742.0959009,1.491538776,1.445108286,7.50728193,391.2413158,1890.521628
Italy,2007,14.97404494,13.72409401,16.08679694,8495350.154,3609768.321,4885581.833,1.939277761,2.591185276,1.311273817,969599.0852,629345.0363,340254.0489,742.825192,1.483450485,1.417474686,7.548048544,385.0000386,1896.691436
Italy,2008,15.02657803,13.77929196,16.13557547,8578935.842,3645266.923,4933668.919,1.911807884,2.557491219,1.290664183,956602.3141,620716.9925,335885.3216,730.8477667,1.450679749,1.388074012,7.603248517,377.2956754,1901.675748
Italy,2009,15.08574414,13.85313406,16.18001714,8650491.78,3680884.928,4969606.853,1.883557359,2.521429404,1.270747579,940664.7103,610128.2573,330536.4529,717.0684323,1.417739434,1.355039932,7.61900399,371.3324125,1908.157735
Italy,2010,15.14894139,13.92123275,16.23813831,8715016.535,3709825.35,5005191.184,1.855605383,2.486606464,1.250107354,923704.2087,599008.0037,324696.205,696.8759411,1.371419833,1.323804781,7.664736,364.2199875,1913.000192
Italy,2011,15.1413209,13.91124954,16.23438517,8721049.857,3711295.312,5009754.545,1.82067675,2.441104921,1.225112058,905846.6092,587643.4547,318203.1545,685.0161373,1.338102071,1.29026024,7.655592076,355.6847165,1913.199119
Italy,2012,15.14489446,13.91404751,16.24313197,8740570.046,3722933.798,5017636.248,1.792858297,2.402626543,1.206306226,891826.6144,578597.8783,313228.736,700.0506348,1.337667912,1.265622766,7.631127164,349.9490583,1912.622314
Italy,2013,15.13936499,13.91244123,16.23765112,8776761.15,3742137.009,5034624.141,1.762811475,2.362395582,1.185178631,878828.0046,570254.3318,308573.6728,713.765672,1.34945713,1.250465119,7.661232067,345.4950056,1914.257127
Italy,2014,15.13717079,13.91605964,16.23227323,8813766.447,3759359.965,5054406.481,1.739173588,2.327285795,1.171724755,868496.8941,562833.2832,305663.611,733.4850334,1.373852871,1.228407797,7.613921067,342.4379498,1914.264259
Italy,2015,15.12307595,13.89273108,16.23034358,8847669.829,3772999.923,5074669.907,1.709719533,2.291687196,1.147412002,856470.139,556119.0829,300351.0561,753.0288735,1.397018108,1.20766304,7.562999383,339.1797644,1914.70648
Italy,2016,15.12199644,13.89997631,16.22397566,8892483.479,3795100.044,5097383.435,1.683797108,2.25505074,1.131042759,845519.6255,548732.531,296787.0945,771.9635311,1.416545729,1.181032639,7.503629397,335.3562849,1914.104426
