Entity,Year,Nickel Production (Clio-Infra & USGS),Tungsten Production (Clio-Infra & USGS),Zinc Production (Clio-Infra & USGS),Silver Production (Clio-Infra & USGS),Bauxite Production (Clio-Infra & USGS),Iron Ore Production (Clio-Infra & USGS),Gold Production (Clio-Infra & USGS),Tin Production (Clio-Infra & USGS),Lead Production (Clio-Infra & USGS),Copper Production (Clio-Infra & USGS),Aluminium Production (Clio-Infra & USGS),Manganese Production (Clio-Infra & USGS)
Italy,1681,,,,0.0,,,0.0,,,,,
Italy,1682,,,,0.0,,,0.0,,,,,
Italy,1683,,,,0.0,,,0.0,,,,,
Italy,1684,,,,0.0,,,0.0,,,,,
Italy,1685,,,,0.0,,,0.0,,,,,
Italy,1686,,,,0.0,,,0.0,,,,,
Italy,1687,,,,0.0,,,0.0,,,,,
Italy,1688,,,,0.0,,,0.0,,,,,
Italy,1689,,,,0.0,,,0.0,,,,,
Italy,1690,,,,0.0,,,0.0,,,,,
Italy,1691,,,,0.0,,,0.0,,,,,
Italy,1692,,,,0.0,,,0.0,,,,,
Italy,1693,,,,0.0,,,0.0,,,,,
Italy,1694,,,,0.0,,,0.0,,,,,
Italy,1695,,,,0.0,,,0.0,,,,,
Italy,1696,,,,0.0,,,0.0,,,,,
Italy,1697,,,,0.0,,,0.0,,,,,
Italy,1698,,,,0.0,,,0.0,,,,,
Italy,1699,,,,0.0,,,0.0,,,,,
Italy,1700,,,,0.0,,,0.0,0.0,,,,
Italy,1701,,,,0.0,,,0.0,0.0,,,,
Italy,1702,,,,0.0,,,0.0,0.0,,,,
Italy,1703,,,,0.0,,,0.0,0.0,,,,
Italy,1704,,,,0.0,,,0.0,0.0,,,,
Italy,1705,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1706,,,,0.0,,,0.0,0.0,,,,
Italy,1707,,,,0.0,,,0.0,0.0,,,,
Italy,1708,,,,0.0,,,0.0,0.0,,,,
Italy,1709,,,,0.0,,,0.0,0.0,,,,
Italy,1710,,,,0.0,,,0.0,0.0,,,,
Italy,1711,,,,0.0,,,0.0,0.0,,,,
Italy,1712,,,,0.0,,,0.0,0.0,,,,
Italy,1713,,,,0.0,,,0.0,0.0,,,,
Italy,1714,,,,0.0,,,0.0,0.0,,,,
Italy,1715,,,,0.0,,,0.0,0.0,,,,
Italy,1716,,,,0.0,,,0.0,0.0,,,,
Italy,1717,,,,0.0,,,0.0,0.0,,,,
Italy,1718,,,,0.0,,,0.0,0.0,,,,
Italy,1719,,,,0.0,,,0.0,0.0,,,,
