Entity,Year,Universal suffrage to women (OWID based on Paxton et al (2006)),First women in parliament (OWID based on Paxton et al (2006)),10% Share of women in parliament (OWID based on Paxton et al (2006)),20% Share of women in parliament (OWID based on Paxton et al (2006)),30% Share of women in parliament (OWID based on Paxton et al (2006))
Italy,1893,No,No,No,No,No
Italy,1894,No,No,No,No,No
Italy,1895,No,No,No,No,No
Italy,1896,No,No,No,No,No
Italy,1897,No,No,No,No,No
Italy,1898,No,No,No,No,No
Italy,1899,No,No,No,No,No
Italy,1900,No,No,No,No,No
Italy,1901,No,No,No,No,No
Italy,1902,No,No,No,No,No
Italy,1903,No,No,No,No,No
Italy,1904,No,No,No,No,No
Italy,1905,No,No,No,No,No
Italy,1906,No,No,No,No,No
Italy,1907,No,No,No,No,No
Italy,1908,No,No,No,No,No
Italy,1909,No,No,No,No,No
Italy,1910,No,No,No,No,No
Italy,1911,No,No,No,No,No
Italy,1912,No,No,No,No,No
Italy,1913,No,No,No,No,No
Italy,1914,No,No,No,No,No
Italy,1915,No,No,No,No,No
Italy,1916,No,No,No,No,No
Italy,1917,No,No,No,No,No
Italy,1918,No,No,No,No,No
Italy,1919,No,No,No,No,No
Italy,1920,No,No,No,No,No
Italy,1921,No,No,No,No,No
Italy,1922,No,No,No,No,No
Italy,1923,No,No,No,No,No
Italy,1924,No,No,No,No,No
Italy,1925,No,No,No,No,No
Italy,1926,No,No,No,No,No
Italy,1927,No,No,No,No,No
Italy,1928,No,No,No,No,No
Italy,1929,No,No,No,No,No
Italy,1930,No,No,No,No,No
Italy,1931,No,No,No,No,No
Italy,1932,No,No,No,No,No
Italy,1933,No,No,No,No,No
Italy,1934,No,No,No,No,No
Italy,1935,No,No,No,No,No
Italy,1936,No,No,No,No,No
Italy,1937,No,No,No,No,No
Italy,1938,No,No,No,No,No
Italy,1939,No,No,No,No,No
Italy,1940,No,No,No,No,No
Italy,1941,No,No,No,No,No
Italy,1942,No,No,No,No,No
Italy,1943,No,No,No,No,No
Italy,1944,No,No,No,No,No
Italy,1945,Yes,No,No,No,No
Italy,1946,Yes,Yes,No,No,No
Italy,1947,Yes,Yes,No,No,No
Italy,1948,Yes,Yes,No,No,No
Italy,1949,Yes,Yes,No,No,No
Italy,1950,Yes,Yes,No,No,No
Italy,1951,Yes,Yes,No,No,No
Italy,1952,Yes,Yes,No,No,No
Italy,1953,Yes,Yes,No,No,No
Italy,1954,Yes,Yes,No,No,No
Italy,1955,Yes,Yes,No,No,No
Italy,1956,Yes,Yes,No,No,No
Italy,1957,Yes,Yes,No,No,No
Italy,1958,Yes,Yes,No,No,No
Italy,1959,Yes,Yes,No,No,No
Italy,1960,Yes,Yes,No,No,No
Italy,1961,Yes,Yes,No,No,No
Italy,1962,Yes,Yes,No,No,No
Italy,1963,Yes,Yes,No,No,No
Italy,1964,Yes,Yes,No,No,No
Italy,1965,Yes,Yes,No,No,No
Italy,1966,Yes,Yes,No,No,No
Italy,1967,Yes,Yes,No,No,No
Italy,1968,Yes,Yes,No,No,No
Italy,1969,Yes,Yes,No,No,No
Italy,1970,Yes,Yes,No,No,No
Italy,1971,Yes,Yes,No,No,No
Italy,1972,Yes,Yes,No,No,No
Italy,1973,Yes,Yes,No,No,No
Italy,1974,Yes,Yes,No,No,No
Italy,1975,Yes,Yes,No,No,No
Italy,1976,Yes,Yes,No,No,No
Italy,1977,Yes,Yes,No,No,No
Italy,1978,Yes,Yes,No,No,No
Italy,1979,Yes,Yes,No,No,No
Italy,1980,Yes,Yes,No,No,No
Italy,1981,Yes,Yes,No,No,No
Italy,1982,Yes,Yes,No,No,No
Italy,1983,Yes,Yes,No,No,No
Italy,1984,Yes,Yes,No,No,No
Italy,1985,Yes,Yes,No,No,No
Italy,1986,Yes,Yes,No,No,No
Italy,1987,Yes,Yes,Yes,No,No
Italy,1988,Yes,Yes,Yes,No,No
Italy,1989,Yes,Yes,Yes,No,No
Italy,1990,Yes,Yes,Yes,No,No
Italy,1991,Yes,Yes,Yes,No,No
Italy,1992,Yes,Yes,Yes,No,No
Italy,1993,Yes,Yes,Yes,No,No
Italy,1994,Yes,Yes,Yes,No,No
Italy,1995,Yes,Yes,Yes,No,No
Italy,1996,Yes,Yes,Yes,No,No
Italy,1997,Yes,Yes,Yes,No,No
Italy,1998,Yes,Yes,Yes,No,No
Italy,1999,Yes,Yes,Yes,No,No
Italy,2000,Yes,Yes,Yes,No,No
Italy,2001,Yes,Yes,Yes,No,No
Italy,2002,Yes,Yes,Yes,No,No
Italy,2003,Yes,Yes,Yes,No,No
Italy,2004,Yes,Yes,Yes,No,No
Italy,2005,Yes,Yes,Yes,No,No
Italy,2006,Yes,Yes,Yes,No,No
Italy,2007,Yes,Yes,Yes,No,No
Italy,2008,Yes,Yes,Yes,Yes,No
Italy,2009,Yes,Yes,Yes,Yes,No
Italy,2010,Yes,Yes,Yes,Yes,No
Italy,2011,Yes,Yes,Yes,Yes,No
Italy,2012,Yes,Yes,Yes,Yes,No
Italy,2013,Yes,Yes,Yes,Yes,Yes
Italy,2014,Yes,Yes,Yes,Yes,Yes
Italy,2015,Yes,Yes,Yes,Yes,Yes
Italy,2016,Yes,Yes,Yes,Yes,Yes
Italy,2017,Yes,Yes,Yes,Yes,Yes
