Entity,Year,Cadmium (BGS (2016)),Cobalt (BGS (2016)),Diamond (BGS (2016)),Graphite (BGS (2016)),Lithium (BGS (2016)),Mercury (BGS (2016)),Platinum (BGS (2016)),Uranium (BGS (2016)),Silicon (BGS (2016))
Italy,1970,425.0,,,2088.0,,1533000.0,,,
Italy,1971,356.0,,,636.0,,1469000.0,,,
Italy,1972,416.0,,,773.0,,1441000.0,,,73381.0
Italy,1973,397.0,,,4150.0,,1127000.0,,,75400.0
Italy,1974,505.0,,,2530.0,,897000.0,,,65372.0
Italy,1975,411.0,,,1492.0,,1092000.0,,,70970.0
Italy,1976,436.0,,,3848.0,,757000.0,,,78934.0
Italy,1977,449.0,,,3819.0,,14351.0,,,76511.0
Italy,1978,378.0,,,4108.0,,5000.0,,,67700.0
Italy,1979,526.0,,,4102.0,,0.0,,,80521.0
Italy,1980,568.0,,,3957.0,,3303.0,,,71857.0
Italy,1981,489.0,,,3545.0,,251643.0,,,55144.0
Italy,1982,475.0,,,3209.0,,159350.0,,,63947.0
Italy,1983,386.0,,,2299.0,,,,,51913.0
Italy,1984,520.0,,,0.0,,,,,71157.0
Italy,1985,360.0,,,0.0,,,,,74616.0
Italy,1986,300.0,,,0.0,,,,,62799.0
Italy,1987,320.0,,,,,,,,47075.0
Italy,1988,705.0,,,,,,,,51131.0
Italy,1989,775.0,,,,,,,,65171.0
Italy,1990,691.0,,,,,,,,39761.0
Italy,1991,658.0,,,,,,,,12648.0
Italy,1992,742.0,,,,,,,,3350.0
Italy,1993,517.0,,,,,,,,2089.0
Italy,1994,475.0,,,,,,,,2347.0
Italy,1995,308.0,,,,,,,,0.0
Italy,1996,296.0,,,,,,,,11741.0
Italy,1997,287.0,,,,,,,,
Italy,1998,470.0,,,,,,,,19909.0
Italy,1999,359.0,,,,,,,,
Italy,2000,287.0,,,,,,,,
Italy,2001,352.0,,,,,,,,
Italy,2002,362.0,,,,,,,,
Italy,2003,22.0,,,,,,,,
