Entity,Year,Age-standardized death rate from all forms of violence (IHME (2016)),Total deaths from all forms of violence (IHME (2016)),Death rate from all forms of violence (IHME (2016))
Italy,1990,1.84,1097,1.93
Italy,1991,1.84,1106,1.94
Italy,1992,1.74,1057,1.85
Italy,1993,1.63,990,1.74
Italy,1994,1.53,936,1.64
Italy,1995,1.47,904,1.59
Italy,1996,1.4,859,1.51
Italy,1997,1.33,822,1.44
Italy,1998,1.28,792,1.39
Italy,1999,1.22,757,1.33
Italy,2000,1.16,720,1.26
Italy,2001,1.1,684,1.2
Italy,2002,1.07,666,1.17
Italy,2003,1.05,662,1.15
Italy,2004,1.0,636,1.1
Italy,2005,0.97,622,1.07
Italy,2006,0.95,610,1.05
Italy,2007,0.93,600,1.03
Italy,2008,0.91,587,1.0
Italy,2009,0.88,574,0.97
Italy,2010,0.84,554,0.93
Italy,2011,0.82,542,0.91
Italy,2012,0.8,534,0.9
Italy,2013,0.78,523,0.87
Italy,2014,0.78,524,0.87
Italy,2015,0.78,523,0.87
Italy,2016,0.78,524,0.87
