Entity,Year,Neonatal Mortality Rate (via Childmortality.org (2015))
Italy,1960,24.3
Italy,1961,23.6
Italy,1962,23.0
Italy,1963,22.7
Italy,1964,22.7
Italy,1965,22.8
Italy,1966,22.5
Italy,1967,21.8
Italy,1968,21.2
Italy,1969,20.9
Italy,1970,20.8
Italy,1971,20.4
Italy,1972,19.7
Italy,1973,18.7
Italy,1974,17.4
Italy,1975,16.0
Italy,1976,14.9
Italy,1977,14.0
Italy,1978,13.2
Italy,1979,12.3
Italy,1980,11.4
Italy,1981,10.5
Italy,1982,9.9
Italy,1983,9.4
Italy,1984,8.8
Italy,1985,8.3
Italy,1986,7.8
Italy,1987,7.4
Italy,1988,7.1
Italy,1989,6.8
Italy,1990,6.4
Italy,1991,6.1
Italy,1992,5.6
Italy,1993,5.3
Italy,1994,5.0
Italy,1995,4.7
Italy,1996,4.5
Italy,1997,4.2
Italy,1998,3.9
Italy,1999,3.7
Italy,2000,3.4
Italy,2001,3.2
Italy,2002,3.1
Italy,2003,2.9
Italy,2004,2.8
Italy,2005,2.7
Italy,2006,2.6
Italy,2007,2.5
Italy,2008,2.5
Italy,2009,2.5
Italy,2010,2.4
Italy,2011,2.4
Italy,2012,2.3
Italy,2013,2.2
Italy,2014,2.1
Italy,2015,2.1
