Entity,Year,"Agriculture (N2O emissions, CAIT)","Energy (N2O emissions, CAIT)","Fugitive Emissions (N2O emissions, CAIT)","Industry (N2O emissions, CAIT)","Land-Use Change and Forestry (N2O emissions, CAIT)","Other Fuel Combustion (N2O emissions, CAIT)","Total excluding LUCF (N2O emissions, CAIT)","Total including LUCF (N2O emissions, CAIT)","Waste (N2O emissions, CAIT)",Agriculture (per capita) (CAIT),Fugitive Emissions (per capita) (CAIT),Industry (per capita) (CAIT),Land-Use Change and Forestry (per capita) (CAIT),Total excluding LUCF (per capita) (CAIT),Total including LUCF (per capita),Waste (per capita) (CAIT)
Italy,1990,15.49,4.65,0.05,7.19,0.02,4.6,28.59,28.61,1.27,0.271525732716309,0.0008764549151591,0.1260342167998878,0.0003505819660636,0.5011569204880101,0.5015075024540737,0.0222619548450427
Italy,1991,15.23,4.78,0.05,7.52,0.02,4.72,28.81,28.83,1.28,0.2667811098654709,0.0008758408071748,0.1317264573991031,0.0003503363228699,0.5046594730941704,0.5050098094170403,0.0224215246636771
Italy,1992,15.07,4.76,0.05,7.01,0.02,4.7,28.1,28.12,1.27,0.2637151106833493,0.0008749671887304,0.1226703998600052,0.0003499868754921,0.4917315600664975,0.4920815469419897,0.0222241665937527
Italy,1993,14.72,4.69,0.05,7.19,0.02,4.64,27.82,27.85,1.24,0.2573516556522955,0.0008741564390363,0.1257036959334242,0.0003496625756145,0.486380642679814,0.4869051365432358,0.0216790796881009
Italy,1994,14.39,4.63,0.05,6.79,0.02,4.58,27.05,27.07,1.24,0.2515118677246828,0.0008739119795854,0.1186772468276995,0.0003495647918341,0.4727863809557102,0.4731359457475443,0.0216730170937183
Italy,1995,14.19,4.84,0.05,7.69,0.02,4.8,27.96,27.98,1.23,0.2481897365935564,0.0008745233847553,0.1345016965753664,0.0003498093539021,0.4890334767551684,0.4893832861090706,0.0215132752649805
Italy,1996,14.49,4.85,0.05,7.62,0.01,4.8,28.23,28.24,1.27,0.2539209673179707,0.0008761938140716,0.1335319372645229,0.0001752387628143,0.4946990274248664,0.4948742661876806,0.0222553228774204
Italy,1997,14.08,4.9,0.05,7.66,0.01,4.85,27.9,27.91,1.26,0.2474342752706312,0.0008786728525235,0.1346126810066076,0.0001757345705047,0.49029945170814,0.4904751862786447,0.0221425558835934
Italy,1998,14.15,5.01,0.05,7.88,0.01,4.96,28.33,28.34,1.29,0.2493699663394603,0.0008811659587966,0.1388717551063567,0.0001762331917593,0.4992686322541986,0.4994448654459581,0.0227340817369543
Italy,1999,14.24,5.01,0.05,8.0,0.01,4.96,28.57,28.58,1.31,0.2513414289748658,0.0008825190624117,0.1412030499858796,0.0001765038124823,0.504271392262073,0.5044478960745552,0.0231219994351878
Italy,2000,13.97,4.98,0.04,8.59,0.02,4.95,28.85,28.87,1.31,0.24641924786566,0.0007055669230226,0.1515204967191138,0.0003527834615113,0.5088901432300854,0.5092429266915967,0.0231073167289917
Italy,2001,12.6,5.01,0.04,8.8,0.01,4.97,27.71,27.72,1.3,0.2215384615384615,0.0007032967032967,0.1547252747252747,0.0001758241758241,0.4872087912087912,0.4873846153846154,0.0228571428571428
Italy,2002,13.59,4.81,0.04,8.48,0.01,4.77,28.18,28.19,1.3,0.2376580452232307,0.0006995085952118,0.1482958221849151,0.0001748771488029,0.492803805326758,0.492978682475561,0.0227340293443855
Italy,2003,13.22,5.2,0.04,8.1,0.02,5.16,27.82,27.84,1.29,0.229653435247112,0.0006948666724572,0.1407105011725875,0.0003474333362286,0.4832797706939981,0.4836272040302267,0.0224094501867454
Italy,2004,13.65,5.1,0.04,8.93,0.01,5.06,29.0,29.0,1.32,0.235556015738248,0.0006902740387934,0.1541036791606267,0.0001725685096983,0.5004486781252157,0.5004486781252157,0.0227790432801822
Italy,2005,12.99,5.35,0.04,8.25,0.0,5.32,27.92,27.92,1.32,0.2228856745766201,0.0006863300217909,0.1415555669943892,0.0,0.4790583552101028,0.4790583552101028,0.0226488907191022
Italy,2006,12.87,5.41,0.04,3.32,0.01,5.37,22.92,22.93,1.32,0.219838409374306,0.0006832584595938,0.0567104521462856,0.0001708146148984,0.391507097347249,0.3916779119621475,0.0225475291665954
Italy,2007,12.96,5.63,0.04,2.58,0.11,5.59,22.49,22.6,1.33,0.2206032545788792,0.0006808742425274,0.0439163886430176,0.0018724041669503,0.3828215428610335,0.384693947027984,0.0226390685640362
Italy,2008,12.34,5.63,0.04,1.72,0.02,5.59,21.03,21.05,1.34,0.2094294151590238,0.0006788635823631,0.0291911340416143,0.0003394317911815,0.3569125284274125,0.357251960218594,0.0227419300091646
Italy,2009,11.13,5.28,0.04,1.74,0.02,5.24,19.49,19.5,1.34,0.1883057557608364,0.0006767502453219,0.0294386356715054,0.0003383751226609,0.3297465570331269,0.3299157445944574,0.0226711332182857
Italy,2010,11.09,5.25,0.03,1.22,0.0,5.21,18.91,18.91,1.34,0.1869363674673409,0.0005056890012642,0.0205646860514117,0.0,0.3187526337968816,0.3187526337968816,0.0225874420564686
Italy,2011,11.09,4.67,0.03,0.84,0.02,4.63,17.9,17.91,1.3,0.1861081743274765,0.000503448623068,0.0140965614459044,0.0003356324153786,0.3003910117639161,0.3005588279716055,0.021816106999614
Italy,2012,11.57,4.81,0.03,0.83,0.06,4.77,18.52,18.58,1.32,0.1932229997160941,0.0005010103709146,0.0138612869286394,0.0010020207418293,0.3092904023113278,0.3102924230531571,0.0220444563202458
