Entity,Year,Agriculture,Agriculture (per capita),Energy,Energy (per capita),Fugitive emissions,Fugitive emissions (per capita),Industry,Industry (per capita),Land-use change and forestry,Land-use change and forestry (per capita),Other fuel combustion,Other fuel combustion (per capita),Total excluding LUCF,Total excluding LUCF (per capita),Total including LUCF,Total including LUCF (per capita),Waste,Waste (per capita)
Italy,1990,15.49,0.2715246046954965,4.65,0.0815099684850909,0.05,0.0008764512740332,7.19,0.1260336932059793,0.01,0.0001752902548066,4.6,0.0806335172110577,28.59,0.5011548384922044,28.6,0.5013301287470111,1.27,0.0222618623604441
Italy,1991,15.23,0.2667805257222934,4.78,0.0837301978301091,0.05,0.0008758388894362,7.52,0.1317261689712177,0.01,0.0001751677778872,4.72,0.0826791911627856,28.81,0.5046583680931893,28.82,0.5048335358710765,1.28,0.0224214755695689
Italy,1992,15.07,0.263713689319865,4.76,0.0832964274162281,0.05,0.0008749624728595,7.01,0.1226697386949073,0.01,0.0001749924945719,4.7,0.0822464724487966,28.11,0.4919039022416328,28.11,0.4919039022416328,1.27,0.0222240468106322
Italy,1993,14.72,0.2573534103959938,4.69,0.0819964330677453,0.05,0.0008741623994429,7.19,0.125704553039891,0.01,0.0001748324798885,4.64,0.0811222706683024,27.83,0.4865587915299257,27.83,0.4865587915299257,1.24,0.0216792275061842
Italy,1994,14.39,0.2515138986860068,4.63,0.0809249027738854,0.05,0.000873919036435,6.79,0.1186782051478795,0.01,0.000174783807287,4.58,0.0800509837374503,27.06,0.4729649825186479,27.06,0.4729649825186479,1.24,0.0216731921035891
Italy,1995,14.19,0.2481879481331614,4.84,0.0846532536268147,0.05,0.0008745170829216,7.69,0.1345007273533482,0.01,0.0001749034165843,4.8,0.0839536399604774,27.96,0.489029952769781,27.97,0.4892048561863653,1.23,0.0215131202398723
Italy,1996,14.49,0.2539199394461401,4.85,0.084990455922276,0.05,0.0008761902672399,7.62,0.1335313967273697,0.01,0.0001752380534479,4.8,0.084114265655036,28.23,0.4946970248836809,28.24,0.4948722629371289,1.27,0.0222552327878949
Italy,1997,14.08,0.247435871098072,4.9,0.0861104949133915,0.05,0.0008786785195244,7.66,0.1346135491911386,0.01,0.0001757357039048,4.85,0.0852318163938671,27.9,0.4903026138946172,27.91,0.4904783495985221,1.26,0.0221426986920149
Italy,1998,14.15,0.2493710430521042,5.01,0.0882932102961867,0.05,0.0008811697634349,7.88,0.1388723547173555,0.01,0.0001762339526869,4.96,0.0874120405327517,28.33,0.4992707879622693,28.34,0.4994470219149563,1.29,0.0227341798966229
Italy,1999,14.24,0.2513430748425721,5.01,0.0884289891124498,0.05,0.0008825248414416,8.0,0.1412039746306585,0.01,0.0001765049682883,4.96,0.0875464642710082,28.56,0.5040981894314508,28.58,0.5044511993680274,1.31,0.0231221508457703
Italy,2000,13.97,0.2464184741676356,4.98,0.0878428061098658,0.04,0.0007055647077097,8.59,0.1515200209806721,0.02,0.0003527823538548,4.95,0.0873136325790834,28.85,0.5088885454356684,28.87,0.5092413277895232,1.31,0.0231072441774948
Italy,2001,12.6,0.2215378850530639,5.01,0.0880876828663373,0.04,0.0007032948731843,8.8,0.1547248721005526,0.0,0.0,4.97,0.087384387993153,27.71,0.4872075233984446,27.71,0.4872075233984446,1.3,0.0228570833784907
Italy,2002,13.58,0.237485157396261,4.81,0.0841166131867463,0.04,0.0006995144547754,8.48,0.1482970644123927,0.0,0.0,4.77,0.0834170987319709,28.18,0.4928079333892956,28.18,0.4928079333892956,1.3,0.0227342197802017
Italy,2003,13.22,0.2296550749280951,5.2,0.0903333123771629,0.04,0.0006948716336704,8.1,0.1407115058182731,0.0,0.0,5.16,0.0896384407434924,27.82,0.4832832212178219,27.82,0.4832832212178219,1.29,0.0224096101858731
