Entity,Year,Number of deaths from tetanus (GBD 2016)
Italy,1990,58.381611
Italy,1991,52.84874
Italy,1992,47.920303
Italy,1993,45.087948
Italy,1994,41.358559
Italy,1995,40.014561
Italy,1996,36.416706
Italy,1997,36.077248
Italy,1998,37.252148
Italy,1999,34.686527
Italy,2000,32.731937
Italy,2001,28.106913
Italy,2002,25.377039
Italy,2003,25.03874
Italy,2004,23.540228
Italy,2005,22.315023
Italy,2006,20.377041
Italy,2007,20.018036
Italy,2008,18.052805
Italy,2009,18.084179
Italy,2010,16.670151
Italy,2011,16.238972
Italy,2012,15.802049
Italy,2013,14.801804
Italy,2014,14.714795
Italy,2015,14.460504
Italy,2016,14.179884
