Entity,Year,"Number of people without access to safe drinking water (WHO Wash, 2019)","Number of people without access to safe sanitation (WHO Wash, 2019)"
Italy,2000,7529827.795,56942108.0
Italy,2001,7051943.936,56974100.0
Italy,2002,6550623.235,57059007.0
Italy,2003,6171281.551,57313203.0
Italy,2004,5905922.67,57685327.0
Italy,2005,5581972.608,57969484.0
Italy,2006,5187901.602,1740521.591
Italy,2007,4947767.506,1846962.652
Italy,2008,4835163.495,2085443.578
Italy,2009,4630640.653,2235535.681
Italy,2010,4362872.987,2325098.325
Italy,2011,4041365.622,2363246.804
Italy,2012,3807157.455,2490529.884
Italy,2013,4130035.647,3175870.451
Italy,2014,4652319.657,3737146.265
Italy,2015,4712900.473,3667831.715
