Entity,Year,Number of departures (per 1000 people)
Italy,1996,319.6079879
Italy,1997,303.285062
Italy,1998,311.000046
Italy,1999,305.0267641
Italy,2000,352.6388591
Italy,2001,360.9885896
Italy,2002,402.7059216
Italy,2003,428.7319276
Italy,2004,373.6998839
Italy,2005,399.2962918
Italy,2006,413.1468196
Italy,2007,441.302974
Italy,2008,449.8635153
Italy,2009,465.1803064
Italy,2010,475.5267929
Italy,2011,468.6975118
Italy,2012,459.7939221
Italy,2013,436.7138611
Italy,2014,441.8881399
Italy,2015,452.7208384
Italy,2016,479.4359154
Italy,2017,525.2560898
